Team1,Team2,Score1,Score2
Grand Canyon,Coastal Carolina,60,58
Ball St.,Columbia,69,67
Florida,George Washington,82,77
UC-Irvine,Louisiana-Lafayette,66,67
Vermont,Nevada,86,72
Morehead St.,Ohio,72,77
Georgia Tech,San Diego St.,72,56
