Team,Opponent,Result,Score
Oklahoma State,Arizona,L,79-78
Milwaukee,Illinois,L,77-63
Washington,Louisville,L,93-79
Georgetown,South Carolina,L,69-66
West Virginia,Texas Tech,W,65-60
