Team1,Team2,Score1,Score2
Minnesota,Miami (FL),60,78
Texas Christian,Oregon St.,101,81
Butler,Penn,53,63
Princeton,Pitt,82,61
Middle Tennessee,Tennessee,64,71
Wyoming,Washington St.,61,41
