Team1,Team2,Score1,Score2
Evansville,Eastern Illinois,68,83
Oral Roberts,Loyola (IL),86,78
Louisiana-Monroe,Mercer,69,71
Cleveland St.,NJIT,80,77
Illinois St.,Old Dominion,50,49
Colorado,Seattle,72,65
Louisiana Tech,Texas A&M,72,84
Kent St.,Texas A&M-Corpus Christi,65,69
Murray St.,Tulsa,62,83
Radford,Vermont,78,71
