Team1,Team2,Score1,Score2
UT-Martin,Eastern Kentucky,69,70
Vermont,Louisiana-Monroe,71,65
Seattle,Loyola (IL),63,48
Murray St.,Old Dominion,72,69
Louisiana Tech,Temple,77,59
