Team1,Team2,Score1,Score2
Iona,BYU,78,72
Princeton,Evansville,86,95
Tennessee Tech,Georgia St.,74,43
Robert Morris,Indiana St.,60,67
Dayton,Iowa,84,75
Tennessee St.,Mercer,68,60
Marshall,Middle Tennessee,86,78
Western Kentucky,Mississippi Valley St.,58,59
Akron,Northwestern,76,74
Coastal Carolina,Old Dominion,68,66
LSU,Oregon,96,76
Washington St.,San Francisco,75,89
Stony Brook,Seton Hall,63,61
Cleveland St.,Stanford,76,65
Savannah St.,Tennessee,65,51
Milwaukee,Texas Christian,83,73
McNeese St.,Toledo,76,63
Texas-Arlington,Washington,82,72
Utah Valley,Weber St.,72,69
