Team1,Team2,Score1,Score2
Detroit,Arizona St.,83,68
Long Beach St.,Baylor,112,66
La Salle,Boise St.,71,80
Green Bay,Bradley,75,69
Richmond,Bryant,71,76
High Point,UC-Irvine,80,71
Elon,Canisius,69,53
Texas,Houston,73,72
Chicago St.,UIC,80,69
Indiana St.,Iowa,68,52
LIU-Brooklyn,James Madison,68,55
Fairfield,Kent St.,73,71
Stony Brook,UMass,58,71
North Dakota,Northern Iowa,77,66
Charlotte,Providence,75,66
Western Illinois,Purdue,81,67
Charleston Southern,Southern Miss,78,71
Mercer,Tennessee,67,75
Oral Roberts,Texas-Arlington,76,84
South Alabama,Tulane,84,73
Cal Poly,Weber St.,85,43
Tulsa,Wright St.,72,52
