Team1,Team2,Score1,Score2
Eastern Michigan,Columbia,69,56
Villanova,UConn,77,65
Syracuse,Dayton,55,53
Pitt,Florida,61,45
Louisiana Tech,Georgia,71,79
Michigan St.,Harvard,73,80
Yale,Holy Cross,66,71
Saint Louis,Louisville,66,51
Texas,Michigan,79,65
San Diego St.,North Dakota St.,44,63
Wright St.,Ohio,56,54
Wisconsin,Oregon,77,85
Texas A&M-Corpus Christi,Pacific,89,60
San Diego,Sam Houston St.,72,77
IPFW,Virginia Military Institute,106,95
