Team1,Team2,Score1,Score2
Sam Houston St.,Baylor,68,59
UTEP,Butler,77,59
Kentucky,ETSU,71,100
Ohio,Georgetown,83,97
Lehigh,Kansas,90,74
North Texas,Kansas St.,82,62
Southern Miss,Louisiana Tech,66,57
Washington,Marquette,78,80
New Mexico,Montana,57,62
Vanderbilt,Murray St.,66,65
Northern Iowa,UNLV,66,69
Old Dominion,Notre Dame,50,51
Saint Mary's,Richmond,71,80
Tennessee,San Diego St.,59,62
