Team,Opponent,Result,Score
VCU ,Akron ,W,88-42
Belmont ,Arizona ,L,81-64
Butler ,Bucknell ,W,68-56
UNLV ,University of California ,L,64-61
Missouri ,Colorado State ,L,84-72
Marquette ,Davidson ,W,59-58
Southern ,Gonzaga ,L,64-58
New Mexico ,Harvard ,L,68-62
Air Force,Hawaii,W,69-65
North Carolina A&T ,Louisville ,L,79-48
Denver,Maryland,L,62-52
Saint Mary's ,Memphis ,L,54-52
South Dakota State ,Michigan ,L,71-56
Valparaiso ,Michigan State ,L,65-54
Syracuse ,Montana ,W,81-34
Saint Louis ,New Mexico State ,W,64-44
Oregon ,Oklahoma State ,W,68-55
Wichita State ,Pitt ,W,73-55
