Team1,Team2,Score1,Score2
Louisiana Tech,Clemson,69,53
Old Dominion,Colorado,61,79
BYU,Houston,77,67
Oklahoma St.,Miami (FL),62,59
Wake Forest,Minnesota,73,58
Vanderbilt,Notre Dame,79,69
Western Kentucky,South Carolina,74,55
