Team,Opponent,Result,Score
Miami (OH),Butler,L,53-52
Georgia Southern,Charlotte,L,77-61
Monmouth,Hampton,W,71-49
Fairleigh Dickinson,Manhattan,L,80-77
Delaware State,Northern Arizona,W,58-53
Rutgers,Penn State,W,76-71
Virginia,Stanford,L,65-49
Lipscomb,UTEP,L,85-66
