Team1,Team2,Score1,Score2
Kentucky,Alabama-Birmingham,64,69
UConn,Albany,59,72
Wisconsin,Arizona,94,75
Bucknell,Arkansas,55,59
Kansas,Bradley,77,73
North Carolina St.,University of California,52,58
Charlotte,Cincinnati,86,80
Ohio St.,Davidson,62,70
Butler,Florida St.,67,63
Michigan St.,George Mason,75,65
Northern Iowa,Georgetown,54,49
Northwestern St.,Iowa,63,64
Pitt,Kent St.,64,79
Delaware St.,Louisville,71,54
Oral Roberts,Memphis,94,78
Stanford,Missouri St.,76,67
Villanova,Monmouth,45,58
UNC,Murray St.,65,69
Texas,Penn,52,60
West Virginia,Southern Illinois,46,64
