Team,Opponent,Result,Score
Wisconsin ,Belmont ,W,72-58
Wofford ,BYU ,L,74-66
UConn ,Bucknell ,W,81-52
Old Dominion ,Butler ,L,60-58
Florida ,UCSB ,W,79-51
Missouri ,Cincinnati ,L,78-63
West Virginia ,Clemson ,W,84-76
St. John's ,Gonzaga ,L,86-71
Utah State ,Kansas State ,L,73-68
Princeton ,Kentucky ,L,59-57
Morehead State ,Louisville ,W,62-61
UCLA ,Michigan State ,W,78-76
Pitt ,North Carolina-Asheville ,W,74-51
San Diego State ,Northern Colorado ,W,68-50
Temple ,Penn State ,W,66-64
Vanderbilt ,Richmond ,L,69-66
