Team,Opponent,Result,Score
Creighton ,Alabama ,W,58-57
Georgetown ,Belmont ,W,74-59
Texas ,Cincinnati ,L,65-59
Kansas ,Detroit ,W,65-50
Lehigh ,Duke ,W,75-70
Virginia ,Florida ,L,71-45
St. Bonaventure ,Florida State ,L,66-63
Michigan State ,LIU-Brooklyn ,W,89-67
Saint Louis ,Memphis ,W,61-54
Ohio ,Michigan ,W,65-60
Norfolk State ,Missouri ,W,86-84
Vermont ,UNC ,L,77-58
San Diego State ,North Carolina State ,L,79-65
Xavier ,Notre Dame ,W,67-63
Saint Mary's ,Purdue ,L,72-69
Temple ,South Florida ,L,58-44
Northwestern,Washington,L,76-55
