Team1,Team2,Score1,Score2
Northwestern,Boston College,67,85
Gonzaga,BYU,89,67
Pitt,Butler,71,70
UConn,Cincinnati,58,69
College of Charleston,Cleveland St.,56,64
UCLA,Florida,73,65
Wisconsin,Kansas St.,65,70
West Virginia,Kentucky,71,63
Richmond,Morehead St.,48,65
Jacksonville,SMU,63,62
Buffalo,Western Michigan,48,49
