Team1,Team2,Score1,Score2
Stanford,Alabama,66,54
Harvard,Arizona,74,51
Tulane,Bradley,77,72
Marquette,Butler,72,74
Syracuse,University of California,60,66
Louisville,Colorado St.,56,82
Rider,East Carolina,75,54
Eastern Kentucky,Evansville,86,72
Wichita St.,Gonzaga,70,76
Michigan St.,Memphis,48,70
VCU,Michigan,78,53
UIC,Northern Iowa,63,51
Saint Louis,Oregon,74,57
Air Force,Weber St.,78,57
