Team1,Team2,Score1,Score2
North Carolina St.,Drexel,56,63
Niagara,Florida A&M,69,77
Toledo,Florida St.,77,61
Utah St.,Michigan,68,58
Mississippi Valley St.,Mississippi St.,82,63
Marist,Oklahoma St.,64,67
Delaware St.,West Virginia,74,50
