,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,
219,Oregon St.,220,31,2333,75.3,2324,75,0.3,51.6,584,839,69.6,1628,48.5,435,39,36.1,415,13.4,421,13.6,1069,34.5,1037,33.5,1,765,151,4.9,590,19.0,,
220,Pacific,221,30,2176,72.5,2238,74.6,-2.1,50,528,685,77.1,1661,43.8,531,36,39.1,365,12.2,367,12.2,1041,34.7,966,32.2,2.5,706,152,5.1,686,22.9,,
221,Penn,222,28,1911,68.3,2095,74.8,-6.6,28.6,403,594,67.8,1518,45.1,436,32,38.3,408,14.6,451,16.1,939,33.5,1022,36.5,-3,671,163,5.8,633,22.6,,
222,Penn St.,223,32,2288,71.5,2269,70.9,0.6,46.9,517,692,74.7,1816,43.3,625,32,35,369,11.5,337,10.5,1119,35.0,1116,34.9,0.1,788,144,4.5,669,20.9,,
223,Pepperdine,224,31,2206,71.2,2247,72.5,-1.3,48.4,463,661,70,1701,45.4,551,36,36.7,428,13.8,379,12.2,1075,34.7,1068,34.5,0.2,761,148,4.8,584,18.8,,
224,Pittsburgh,225,34,2464,72.5,2120,62.4,10.1,73.5,599,843,71.1,1832,46.1,491,36,33.1,531,15.6,359,10.6,1227,36.1,1012,29.8,6.3,814,238,7.0,595,17.5,,
225,Portland,226,31,2327,75.1,2233,72,3,48.4,516,702,73.5,1778,45.6,485,39,36.9,472,15.2,366,11.8,1116,36.0,1038,33.5,2.5,777,184,5.9,620,20.0,,
226,Portland St.,227,31,2255,72.7,2224,71.7,1,54.8,503,689,73,1674,46.7,525,36,36.2,406,13.1,356,11.5,946,30.5,1041,33.6,-3.1,670,188,6.1,598,19.3,,
227,Prairie View,228,34,2362,69.5,2623,77.1,-7.7,32.4,513,791,64.9,1949,41.7,651,34,34.7,362,10.6,490,14.4,1164,34.2,1322,38.9,-4.6,761,243,7.1,746,21.9,,
228,Presbyterian,229,32,2092,65.4,2445,76.4,-11,18.8,358,529,67.7,1724,44.8,538,35,37.4,372,11.6,398,12.4,980,30.6,1185,37,-6.4,736,141,4.4,494,15.4,,
229,Princeton,230,28,2006,71.6,1804,64.4,7.2,71.4,416,578,72,1480,44.8,725,36,32.2,405,14.5,311,11.1,920,32.9,904,32.3,0.6,685,175,6.3,479,17.1,,
230,Providence,231,34,2489,73.2,2364,69.5,3.7,67.6,633,810,78.1,1931,42.5,612,35,32.9,464,13.6,396,11.6,1252,36.8,1122,33,3.8,829,190,5.6,589,17.3,,
231,Purdue,232,32,2312,72.3,2293,71.7,0.6,46.9,492,733,67.1,1926,42.7,538,33,32.6,419,13.1,393,12.3,1256,39.3,1143,35.7,3.5,811,179,5.6,662,20.7,,
232,Quinnipiac,233,31,2453,79.1,2379,76.7,2.4,64.5,664,929,71.5,1909,42.5,473,35,34.4,396,12.8,388,12.5,1410,45.5,1043,33.6,11.8,888,109,3.5,608,19.6,,
233,Radford,234,33,2574,78,2426,73.5,4.5,63.6,543,780,69.6,1916,47.8,568,35,38,428,13.0,365,11.1,1155,35.0,1116,33.8,1.2,781,236,7.2,624,18.9,,
234,Rhode Island,235,32,2169,67.8,2178,68.1,-0.3,43.8,509,779,65.3,1703,44.3,474,32,28.7,385,12.0,451,14.1,1152,36.0,1082,33.8,2.2,798,158,4.9,651,20.3,,
235,Rice,236,30,1853,61.8,2083,69.4,-7.7,23.3,342,526,65,1582,40.3,733,32,34.3,414,13.8,394,13.1,971,32.4,1132,37.7,-5.4,738,140,4.7,569,19.0,,
236,Richmond,237,33,2196,66.5,2150,65.2,1.4,57.6,487,728,66.9,1777,42.2,649,32,30.1,349,10.6,351,10.6,1074,32.5,1272,38.5,-6,770,193,5.8,636,19.3,,
237,Rider,238,31,2292,73.9,2374,76.6,-2.6,45.2,569,778,73.1,1704,43.6,597,40,38.5,377,12.2,409,13.2,1039,33.5,1062,34.3,-0.7,702,188,6.1,623,20.1,,
238,Robert Morris,239,34,2433,71.6,2423,71.3,0.3,61.8,513,706,72.7,1911,43.8,642,38,33.1,418,12.3,385,11.3,1127,33.1,1162,34.2,-1,761,242,7.1,626,18.4,,
239,Rutgers,240,33,2347,71.1,2515,76.2,-5.1,36.4,502,711,70.6,1931,42.6,593,34,37.1,418,12.7,417,12.6,1169,35.4,1190,36.1,-0.6,770,190,5.8,681,20.6,,
240,Sacramento St.,241,30,2070,69,2079,69.3,-0.3,46.7,417,575,72.5,1598,46,491,37,34.4,402,13.4,338,11.3,947,31.6,947,31.6,0,666,158,5.3,634,21.1,,
241,Sacred Heart,242,31,2162,69.7,2378,76.7,-7,16.1,449,655,68.5,1836,41.3,603,33,34.2,388,12.5,378,12.2,1070,34.5,1133,36.5,-2,691,166,5.4,618,19.9,,
242,Saint Francis (PA),243,31,1916,61.8,2150,69.4,-7.5,32.3,346,539,64.2,1649,40.9,688,32,37.5,361,11.6,333,10.7,934,30.1,1109,35.8,-5.6,654,176,5.7,481,15.5,,
243,Saint Joseph's,244,33,2352,71.3,2209,66.9,4.3,72.7,483,753,64.1,1735,46.9,639,38,33.7,464,14.1,407,12.3,1185,35.9,1089,33,2.9,868,148,4.5,522,15.8,,
244,Saint Louis,245,32,2240,70,1959,61.2,8.8,81.3,505,713,70.8,1752,44.3,568,32,28.4,456,14.3,404,12.6,1160,36.3,1102,34.4,1.8,833,237,7.4,552,17.3,,
245,Saint Mary's (CA),246,33,2377,72,2171,65.8,6.2,66.7,584,825,70.8,1724,45.2,609,38,33,412,12.5,381,11.5,1131,34.3,987,29.9,4.4,740,185,5.6,632,19.2,,
246,Saint Peter's,247,31,1961,63.3,2042,65.9,-2.6,45.2,480,682,70.4,1619,40.7,516,32,33.3,303,9.8,373,12.0,1053,34.0,1071,34.5,-0.6,724,199,6.4,568,18.3,,
247,Sam Houston St.,248,33,2504,75.9,2305,69.8,6,69.7,616,927,66.5,1786,46.3,600,39,33.8,512,15.5,422,12.8,1148,34.8,1093,33.1,1.7,752,222,6.7,713,21.6,,
248,Samford,249,33,2327,70.5,2521,76.4,-5.9,39.4,468,692,67.6,1792,47.4,488,33,37,450,13.6,421,12.8,1058,32.1,1156,35,-3,759,185,5.6,694,21.0,,
249,San Diego,250,32,2138,66.8,2071,64.7,2.1,50,457,661,69.1,1658,44.5,547,37,33.4,357,11.2,378,11.8,1062,33.2,1049,32.8,0.4,749,186,5.8,592,18.5,,
250,San Diego St.,251,33,2330,70.6,1869,56.6,14,87.9,541,828,65.3,1852,43.7,472,36,28.7,335,10.2,328,9.9,1249,37.8,1083,32.8,5,815,260,7.9,546,16.5,,
251,San Francisco,252,32,2406,75.2,2286,71.4,3.8,65.6,517,797,64.9,1754,47.5,595,37,34.9,465,14.5,373,11.7,1136,35.5,1051,32.8,2.7,778,172,5.4,628,19.6,,
252,San Jose St.,253,31,1938,62.5,2222,71.7,-9.2,22.6,411,569,72.2,1686,37.4,797,33,35.2,346,11.2,416,13.4,1106,35.7,1138,36.7,-1,785,133,4.3,637,20.5,,
253,Santa Clara,254,33,2340,70.9,2325,70.5,0.5,42.4,516,704,73.3,1853,42.5,678,37,35.7,403,12.2,329,10.0,1057,32.0,1176,35.6,-3.6,716,200,6.1,663,20.1,,
254,Savannah St.,255,32,1968,61.5,2057,64.3,-2.8,40.6,425,652,65.2,1653,41.9,502,31,30.9,334,10.4,502,15.7,1072,33.5,1127,35.2,-1.7,720,223,7.0,669,20.9,,
255,Seattle U,256,30,2139,71.3,2119,70.6,0.7,43.3,397,609,65.2,1798,42.3,657,34,33.8,394,13.1,419,14.0,1151,38.4,994,33.1,5.2,730,192,6.4,662,22.1,,
256,Seton Hall,257,34,2442,71.8,2375,69.9,2,50,558,774,72.1,1797,45.4,704,36,34.9,452,13.3,415,12.2,1103,32.4,1123,33,-0.6,815,226,6.6,675,19.9,,
257,SFA,258,33,2524,76.5,2067,62.6,13.8,93.9,539,761,70.8,1884,46.4,675,35,34.3,547,16.6,368,11.2,1115,33.8,959,29.1,4.7,686,250,7.6,691,20.9,,
258,Siena,259,32,2237,69.9,2292,71.6,-1.7,46.9,552,768,71.9,1836,42.1,429,32,33.6,438,13.7,453,14.2,1210,37.8,1122,35.1,2.8,759,188,5.9,735,23.0,,
259,SIUE,260,31,2264,73,2364,76.3,-3.2,35.5,429,645,66.5,1715,47,590,38,34.5,435,14.0,429,13.8,963,31.1,1054,34,-2.9,665,212,6.8,627,20.2,,
260,SMU,261,32,2284,71.4,1993,62.3,9.1,71.9,508,743,68.4,1674,48.7,392,37,31.8,487,15.2,438,13.7,1160,36.3,1011,31.6,4.7,820,240,7.5,621,19.4,,
261,South Ala.,262,31,2134,68.8,2182,70.4,-1.5,35.5,463,679,68.2,1775,40.3,724,33,34,349,11.3,380,12.3,1155,37.3,1122,36.2,1.1,776,153,4.9,621,20.0,,
262,South Carolina,263,34,2323,68.3,2376,69.9,-1.6,41.2,598,847,70.6,1853,41.3,516,38,32.6,416,12.2,485,14.3,1202,35.4,1097,32.3,3.1,734,214,6.3,771,22.7,,
263,South Carolina St.,264,30,1883,62.8,2180,72.7,-9.9,30,383,587,65.2,1708,39.6,524,28,33.7,364,12.1,452,15.1,1089,36.3,1102,36.7,-0.4,689,168,5.6,577,19.2,,
264,South Dakota,265,30,2084,69.5,2152,71.7,-2.3,40,467,622,75.1,1613,44.2,539,35,38.3,381,12.7,371,12.4,983,32.8,1003,33.4,-0.7,720,163,5.4,522,17.4,,
265,South Dakota St.,266,31,2250,72.6,2126,68.6,4,61.3,560,739,75.8,1661,44.9,584,34,35.6,409,13.2,367,11.8,1090,35.2,928,29.9,5.2,792,170,5.5,545,17.6,,
266,South Fla.,267,32,2100,65.6,2264,70.8,-5.1,37.5,501,757,66.2,1729,43.4,376,26,37,402,12.6,411,12.8,1122,35.1,1124,35.1,-0.1,768,186,5.8,566,17.7,,
267,Southeast Mo. St.,268,32,2654,82.9,2514,78.6,4.4,56.3,514,743,69.2,1924,49.9,607,36,37.3,533,16.7,419,13.1,1191,37.2,1063,33.2,4,831,228,7.1,641,20.0,,
268,Southeastern La.,269,30,2085,69.5,2172,72.4,-2.9,40,453,650,69.7,1612,44.3,560,36,34.1,351,11.7,363,12.1,958,31.9,1088,36.3,-4.3,702,137,4.6,593,19.8,,
269,Southern California,270,32,2258,70.6,2410,75.3,-4.8,34.4,510,761,67,1824,43.9,501,29,32.3,404,12.6,449,14.0,1185,37.0,1182,36.9,0.1,831,174,5.4,629,19.7,,
270,Southern Ill.,271,33,2208,66.9,2208,66.9,0,42.4,498,741,67.2,1717,45.5,449,33,33.5,330,10.0,404,12.2,1104,33.5,1040,31.5,1.9,733,237,7.2,632,19.2,,
271,Southern Miss.,272,33,2386,72.3,2077,62.9,9.4,81.8,608,883,68.9,1721,46.5,509,35,34,457,13.8,446,13.5,1176,35.6,966,29.3,6.4,755,274,8.3,688,20.8,,
272,Southern U.,273,32,2278,71.2,2006,62.7,8.5,59.4,444,718,61.8,1822,45.2,554,34,29.7,419,13.1,425,13.3,1242,38.8,1120,35,3.8,862,199,6.2,685,21.4,,
273,Southern Utah,274,29,1710,59,2171,74.9,-15.9,6.9,397,576,68.9,1462,40.4,401,33,38,313,10.8,403,13.9,827,28.5,1040,35.9,-7.3,593,129,4.4,675,23.3,,
274,St. Bonaventure,275,33,2421,73.4,2313,70.1,3.3,54.5,554,774,71.6,1881,45.5,475,33,35.5,443,13.4,423,12.8,1164,35.3,1075,32.6,2.7,746,230,7.0,668,20.2,,
275,St. Francis Brooklyn,276,32,2207,69,2139,66.8,2.1,56.3,450,659,68.3,1813,43.1,619,32,33.3,399,12.5,421,13.2,1189,37.2,1087,34,3.2,806,181,5.7,639,20.0,,
276,St. John's (NY),277,32,2325,72.7,2145,67,5.6,62.5,501,717,69.9,1870,44.8,433,34,33.7,418,13.1,347,10.8,1174,36.7,1158,36.2,0.5,814,218,6.8,603,18.8,,
277,Stanford,278,33,2426,73.5,2265,68.6,4.9,63.6,563,801,70.3,1796,46.4,526,37,35.5,389,11.8,371,11.2,1150,34.8,1086,32.9,1.9,831,168,5.1,596,18.1,,
278,Stetson,279,31,1916,61.8,2252,72.6,-10.8,22.6,391,590,66.3,1628,42,541,29,37.5,370,11.9,383,12.4,925,29.8,1126,36.3,-6.5,632,174,5.6,529,17.1,,
279,Stony Brook,280,33,2371,71.8,2187,66.3,5.6,69.7,512,711,72,1845,45.5,500,36,33,424,12.8,412,12.5,1213,36.8,1022,31,5.8,834,196,5.9,623,18.9,,
280,Syracuse,281,32,2181,68.2,1904,59.5,8.7,84.4,481,684,70.3,1762,43.7,478,33,34.6,382,11.9,285,8.9,1128,35.3,1012,31.6,3.6,706,257,8.0,509,15.9,,
281,TCU,282,31,1973,63.6,2247,72.5,-8.8,29,519,709,73.2,1623,40.3,454,32,34.3,354,11.4,362,11.7,928,29.9,1218,39.3,-9.4,669,185,6.0,534,17.2,,
282,Temple,283,31,2291,73.9,2421,78.1,-4.2,29,434,614,70.7,1934,42.8,594,34,35.9,421,13.6,327,10.5,1102,35.5,1171,37.8,-2.2,719,180,5.8,573,18.5,,
283,Tennessee,284,33,2354,71.3,2015,61.1,10.3,63.6,533,751,71,1826,44.7,563,34,34.1,417,12.6,354,10.7,1281,38.8,1000,30.3,8.5,829,173,5.2,563,17.1,,
284,Tennessee St.,285,30,2061,68.7,2265,75.5,-6.8,16.7,500,714,70,1647,42.9,502,29,33.8,314,10.5,371,12.4,1007,33.6,1029,34.3,-0.7,663,163,5.4,641,21.4,,
285,Tennessee Tech,286,33,2376,72,2376,72,0,51.5,547,808,67.7,1811,45.4,565,33,35.1,408,12.4,498,15.1,1169,35.4,1068,32.4,3.1,757,245,7.4,730,22.1,,
286,Texas,287,33,2446,74.1,2311,70,4.1,69.7,575,866,66.4,1975,43.1,521,32,34.2,421,12.8,408,12.4,1378,41.8,1141,34.6,7.2,881,190,5.8,629,19.1,,
287,Texas A&M,288,32,2085,65.2,2030,63.4,1.7,53.1,429,667,64.3,1714,42.9,579,32,29.3,409,12.8,361,11.3,1071,33.5,1174,36.7,-3.2,769,208,6.5,580,18.1,,
288,Texas Southern,289,33,2515,76.2,2431,73.7,2.5,57.6,636,888,71.6,1804,46.2,590,36,35.9,464,14.1,441,13.4,1219,36.9,1113,33.7,3.2,844,152,4.6,538,16.3,,
289,Texas St.,290,31,1903,61.4,2047,66,-4.6,25.8,364,549,66.3,1604,43.5,474,31,39.6,344,11.1,425,13.7,1004,32.4,958,30.9,1.5,691,182,5.9,561,18.1,,
290,Texas Tech,291,32,2190,68.4,2190,68.4,0,43.8,484,665,72.8,1718,45.6,450,31,33,366,11.4,385,12.0,1054,32.9,957,29.9,3,677,196,6.1,605,18.9,,
291,The Citadel,292,33,2211,67,2453,74.3,-7.3,21.2,473,655,72.2,1778,43,582,36,34.9,442,13.4,412,12.5,1092,33.1,1208,36.6,-3.5,797,137,4.2,630,19.1,,
292,Toledo,293,33,2635,79.8,2424,73.5,6.4,81.8,634,873,72.6,1940,46.7,538,35,35.1,497,15.1,339,10.3,1189,36.0,1098,33.3,2.8,772,223,6.8,574,17.4,,
293,Towson,294,33,2414,73.2,2253,68.3,4.9,69.7,647,934,69.3,1735,45.3,548,36,31,331,10.0,376,11.4,1283,38.9,1103,33.4,5.5,887,134,4.1,663,20.1,,
294,Troy,295,31,2121,68.4,2171,70,-1.6,35.5,496,750,66.1,1688,41.6,645,34,32.2,343,11.1,391,12.6,1102,35.5,1099,35.5,0.1,729,181,5.8,493,15.9,,
295,Tulane,296,33,2109,63.9,2301,69.7,-5.8,51.5,562,811,69.3,1633,41.3,565,35,35.3,303,9.2,420,12.7,1113,33.7,1126,34.1,-0.4,770,154,4.7,617,18.7,,
296,Tulsa,297,33,2412,73.1,2223,67.4,5.7,63.6,594,880,67.5,1842,44.2,584,33,35.3,413,12.5,378,11.5,1198,36.3,1178,35.7,0.6,842,230,7.0,707,21.4,,
297,UAB,298,31,2266,73.1,2180,70.3,2.8,58.1,508,772,65.8,1919,41.7,525,30,31.3,392,12.6,403,13.0,1381,44.5,1129,36.4,8.1,873,169,5.5,543,17.5,,
298,UC Davis,299,31,2174,70.1,2408,77.7,-7.5,29,439,631,69.6,1701,43.8,687,36,38.4,372,12.0,373,12.0,878,28.3,1132,36.5,-8.2,626,159,5.1,606,19.5,,
299,UC Irvine,300,34,2414,71,2163,63.6,7.4,67.6,443,693,63.9,1880,47.3,537,36,32.9,535,15.7,424,12.5,1307,38.4,1169,34.4,4.1,940,192,5.6,620,18.2,,
300,UC Riverside,301,31,2117,68.3,2214,71.4,-3.1,32.3,499,711,70.2,1711,43.2,457,30,37.8,349,11.3,408,13.2,1051,33.9,1084,35,-1.1,731,199,6.4,599,19.3,,
301,UC Santa Barbara,302,30,2137,71.2,1960,65.3,5.9,70,465,657,70.8,1574,46.4,546,38,35.1,478,15.9,335,11.2,1059,35.3,988,32.9,2.4,753,149,5.0,564,18.8,,
302,UCF,303,31,2253,72.7,2281,73.6,-0.9,41.9,432,704,61.4,1831,43.9,642,33,34.9,389,12.5,424,13.7,1184,38.2,1085,35,3.2,743,213,6.9,556,17.9,,
303,UCLA,304,34,2782,81.8,2406,70.8,11.1,76.5,589,786,74.9,2016,49,555,39,34.6,585,17.2,358,10.5,1212,35.6,1136,33.4,2.2,869,319,9.4,603,17.7,,
304,UConn,305,34,2443,71.9,2146,63.1,8.7,76.5,543,714,76.1,1849,44.8,625,39,32.9,428,12.6,397,11.7,1203,35.4,1187,34.9,0.5,860,237,7.0,621,18.3,,
305,UMass Lowell,306,28,1718,61.4,1938,69.2,-7.9,35.7,386,548,70.4,1447,39.4,588,33,32.1,335,12.0,377,13.5,880,31.4,1020,36.4,-5,612,166,5.9,517,18.5,,
306,UMBC,307,30,1968,65.6,2185,72.8,-7.2,30,457,698,65.5,1667,40.1,570,30,36.6,355,11.8,450,15.0,1017,33.9,1102,36.7,-2.8,675,240,8.0,702,23.4,,
307,UMES,308,30,1996,66.5,2251,75,-8.5,20,504,699,72.1,1637,40.1,558,32,37.1,339,11.3,379,12.6,979,32.6,1064,35.5,-2.8,625,196,6.5,584,19.5,,
308,UMKC,309,30,2085,69.5,2295,76.5,-7,33.3,460,725,63.4,1697,43,552,30,34.8,349,11.6,397,13.2,982,32.7,1124,37.5,-4.7,692,217,7.2,621,20.7,,
309,UNC Asheville,310,32,2486,77.7,2424,75.8,1.9,53.1,591,793,74.5,1832,45.6,601,37,35.1,402,12.6,438,13.7,1202,37.6,1106,34.6,3,817,207,6.5,612,19.1,,
310,UNCG,311,32,2267,70.8,2373,74.2,-3.3,43.8,484,704,68.8,1835,44,488,34,33.7,380,11.9,447,14.0,1172,36.6,1122,35.1,1.6,836,180,5.6,681,21.3,,
311,UNCW,312,32,2018,63.1,2221,69.4,-6.3,28.1,397,606,65.5,1841,40.2,509,27,33.8,346,10.8,367,11.5,1148,35.9,1204,37.6,-1.8,758,191,6.0,581,18.2,,
312,UNI,313,31,2256,72.8,2149,69.3,3.5,51.6,468,646,72.4,1693,45,732,36,36.1,436,14.1,330,10.6,1022,33.0,1047,33.8,-0.8,750,175,5.6,568,18.3,,
313,UNLV,314,33,2355,71.4,2164,65.6,5.8,60.6,492,752,65.4,1905,43.8,592,33,30.2,437,13.2,367,11.1,1314,39.8,1201,36.4,3.4,899,160,4.8,520,15.8,,
314,USC Upstate,315,33,2432,73.7,2286,69.3,4.4,57.6,493,731,67.4,1915,45.2,653,32,34.4,511,15.5,399,12.1,1261,38.2,1120,33.9,4.3,843,223,6.8,601,18.2,,
315,UT Arlington,316,32,2443,76.3,2488,77.8,-1.4,46.9,554,785,70.6,1865,43.7,748,35,37.2,390,12.2,431,13.5,1185,37.0,1173,36.7,0.4,812,163,5.1,634,19.8,,
316,UT Martin,317,31,2304,74.3,2526,81.5,-7.2,25.8,502,692,72.5,1870,42.4,636,34,37.6,426,13.7,361,11.6,982,31.7,1129,36.4,-4.7,632,234,7.5,654,21.1,,
317,Utah,318,32,2421,75.7,2052,64.1,11.5,65.6,521,703,74.1,1740,48.9,569,35,30.6,493,15.4,375,11.7,1132,35.4,1014,31.7,3.7,838,215,6.7,540,16.9,,
318,Utah St.,319,32,2215,69.2,2132,66.6,2.6,56.3,431,587,73.4,1732,45.2,542,41,31.3,510,15.9,353,11.0,1166,36.4,979,30.6,5.8,819,110,3.4,565,17.7,,
319,Utah Valley,320,31,2097,67.6,2016,65,2.6,64.5,483,637,75.8,1615,43.7,582,35,31.8,442,14.3,349,11.3,1055,34.0,1011,32.6,1.4,768,156,5.0,528,17.0,,
320,UTEP,321,33,2291,69.4,2091,63.4,6.1,69.7,585,857,68.3,1663,46.8,446,33,29.2,445,13.5,441,13.4,1196,36.2,1147,34.8,1.5,861,166,5.0,605,18.3,,
321,UTRGV,322,32,2101,65.7,2262,70.7,-5,28.1,436,660,66.1,1828,41.3,555,28,32.6,400,12.5,391,12.2,1058,33.1,1205,37.7,-4.6,709,224,7.0,663,20.7,,
322,UTSA,323,30,2066,68.9,2304,76.8,-7.9,26.7,577,836,69,1545,42.3,547,33,37.1,316,10.5,473,15.8,1038,34.6,1001,33.4,1.2,678,181,6.0,619,20.6,,
323,Valparaiso,324,33,2383,72.2,2225,67.4,4.8,54.5,571,777,73.5,1684,47,609,37,32.9,427,12.9,500,15.2,1190,36.1,1048,31.8,4.3,866,185,5.6,695,21.1,,
324,Vanderbilt,325,31,2002,64.6,2032,65.5,-1,48.4,433,658,65.8,1598,43.1,599,32,30.4,404,13.0,414,13.4,1069,34.5,1119,36.1,-1.6,764,145,4.7,541,17.5,,
325,VCU,326,34,2549,75,2205,64.9,10.1,76.5,513,761,67.4,2131,41.9,723,35,30.1,446,13.1,417,12.3,1288,37.9,1249,36.7,1.1,807,380,11.2,665,19.6,,
326,Vermont,327,32,2278,71.2,1937,60.5,10.7,68.8,563,770,73.1,1627,46.9,474,40,32.8,415,13.0,382,11.9,1113,34.8,948,29.6,5.2,794,224,7.0,595,18.6,,
327,Villanova,328,32,2513,78.5,2131,66.6,11.9,87.5,576,808,71.3,1794,45.9,801,36,35.4,500,15.6,379,11.8,1187,37.1,1064,33.3,3.8,826,222,6.9,631,19.7,,
328,Virginia,329,34,2242,65.9,1880,55.3,10.6,82.4,487,734,66.3,1733,45.2,513,36,31.9,445,13.1,347,10.2,1209,35.6,997,29.3,6.2,838,181,5.3,546,16.1,,
329,Virginia Tech,330,31,1950,62.9,2077,67,-4.1,29,405,625,64.8,1639,40.6,596,36,32.6,338,10.9,392,12.6,1138,36.7,1059,34.2,2.5,802,101,3.3,524,16.9,,
330,VMI,331,31,2718,87.7,2531,81.6,6,61.3,513,729,70.4,2186,44,873,32,33.6,425,13.7,328,10.6,1308,42.2,1336,43.1,-0.9,851,234,7.5,581,18.7,,
331,Wagner,332,31,2217,71.5,2122,68.5,3.1,61.3,496,679,73,1849,42,505,33,30,356,11.5,395,12.7,1221,39.4,1146,37,2.4,818,195,6.3,634,20.5,,
332,Wake Forest,333,33,2300,69.7,2341,70.9,-1.2,51.5,566,871,65,1740,45.1,504,33,31.4,440,13.3,410,12.4,1143,34.6,1187,36,-1.3,807,181,5.5,636,19.3,,
333,Washington,334,32,2384,74.5,2390,74.7,-0.2,53.1,527,695,75.8,1871,44.6,552,34,31.8,427,13.3,365,11.4,1105,34.5,1056,33,1.5,751,172,5.4,618,19.3,,
334,Washington St.,335,31,1934,62.4,2081,67.1,-4.7,32.3,392,596,65.8,1633,40,713,33,36.8,325,10.5,355,11.5,1016,32.8,1041,33.6,-0.8,708,159,5.1,565,18.2,,
335,Weber St.,336,30,2195,73.2,1993,66.4,6.7,63.3,548,744,73.7,1488,48.1,549,39,32.6,400,13.3,372,12.4,1033,34.4,932,31.1,3.4,781,123,4.1,541,18.0,,
336,West Virginia,337,32,2481,77.5,2345,73.3,4.3,53.1,541,747,72.4,1924,43.9,657,38,34.4,422,13.2,311,9.7,1147,35.8,1162,36.3,-0.5,762,205,6.4,657,20.5,,
337,Western Caro.,338,34,2524,74.2,2469,72.6,1.6,55.9,540,754,71.6,2042,42.5,706,35,33.4,415,12.2,414,12.2,1226,36.1,1173,34.5,1.6,765,248,7.3,759,22.3,,
338,Western Ill.,339,30,1838,61.3,1880,62.7,-1.4,33.3,362,545,66.4,1467,45.5,418,34,33.5,373,12.4,400,13.3,914,30.5,930,31,-0.5,676,180,6.0,553,18.4,,
339,Western Ky.,340,32,2194,68.6,2162,67.6,1,62.5,495,755,65.6,1766,41.4,698,34,35.2,361,11.3,434,13.6,1171,36.6,1061,33.2,3.4,770,165,5.2,608,19.0,,
340,Western Mich.,341,32,2320,72.5,2158,67.4,5.1,71.9,605,836,72.4,1635,46.6,575,33,30.7,364,11.4,451,14.1,1118,34.9,1042,32.6,2.4,803,190,5.9,586,18.3,,
341,Wichita St.,342,34,2566,75.5,2026,59.6,15.9,100,640,877,73,1842,45.9,672,35,31,460,13.5,353,10.4,1313,38.6,1048,30.8,7.8,909,237,7.0,573,16.9,,
342,William & Mary,343,32,2340,73.1,2281,71.3,1.8,62.5,463,667,69.4,1676,47.6,705,40,37.5,447,14.0,331,10.3,994,31.1,1082,33.8,-2.8,744,177,5.5,519,16.2,,
343,Winthrop,344,33,2442,74,2355,71.4,2.6,60.6,528,741,71.3,1843,44.5,686,40,36.2,378,11.5,412,12.5,1072,32.5,1127,34.2,-1.7,739,211,6.4,649,19.7,,
344,Wisconsin,345,33,2427,73.5,2131,64.6,9,78.8,573,770,74.4,1745,45.8,686,37,34.3,400,12.1,266,8.1,1095,33.2,1058,32.1,1.1,805,165,5.0,493,14.9,,
345,Wofford,346,32,2165,67.7,1997,62.4,5.3,62.5,390,588,66.3,1751,45.1,525,37,31.7,413,12.9,342,10.7,1064,33.3,1015,31.7,1.5,720,202,6.3,564,17.6,,
346,Wright St.,347,34,2292,67.4,2119,62.3,5.1,58.8,544,736,73.9,1691,45.6,576,36,33.1,459,13.5,454,13.4,993,29.2,1079,31.7,-2.5,745,242,7.1,672,19.8,,
347,Wyoming,348,32,2087,65.2,1976,61.8,3.5,56.3,483,677,71.3,1486,47.8,514,36,31.6,401,12.5,331,10.3,926,28.9,1051,32.8,-3.9,760,148,4.6,541,16.9,,
348,Xavier,349,33,2383,72.2,2242,67.9,4.3,63.6,519,754,68.8,1795,47.1,486,35,35.4,490,14.8,408,12.4,1182,35.8,1040,31.5,4.3,814,193,5.8,657,19.9,,
349,Yale,350,28,1865,66.6,1852,66.1,0.5,53.6,532,764,69.6,1431,41.7,443,31,36.3,319,11.4,366,13.1,986,35.2,858,30.6,4.6,655,172,6.1,558,19.9,,
350,Youngstown St.,351,32,2461,76.9,2370,74.1,2.8,46.9,540,736,73.4,1822,45.9,712,35,35.3,499,15.6,357,11.2,1065,33.3,1094,34.2,-0.9,768,213,6.7,607,19.0,,
