,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG,,
124,Iowa,125,32,2624,82,2243,70.1,11.9,62.5,647,883,73.3,1926,46.5,530,35,32,518,16.2,365,11.4,1302,40.7,1064,33.3,7.4,862,232,7.3,575,18.0,,
125,Iowa St.,126,33,2735,82.9,2439,73.9,9,78.8,529,762,69.4,2049,47.1,781,35,33.6,612,18.5,348,10.5,1280,38.8,1236,37.5,1.3,943,199,6.0,575,17.4,,
126,IUPUI,127,32,2126,66.4,2383,74.5,-8,18.8,422,569,74.2,1784,43.8,450,31,35.8,333,10.4,354,11.1,995,31.1,1134,35.4,-4.3,734,161,5.0,516,16.1,,
127,Jackson St.,128,31,2036,65.7,2131,68.7,-3.1,35.5,498,688,72.4,1698,41.8,408,29,34.7,293,9.5,463,14.9,1099,35.5,1048,33.8,1.6,731,184,5.9,708,22.8,,
128,Jacksonville,129,30,2231,74.4,2385,79.5,-5.1,40,531,749,70.9,1729,43.7,553,34,38.1,393,13.1,409,13.6,1027,34.2,1106,36.9,-2.6,665,220,7.3,565,18.8,,
129,Jacksonville St.,130,31,2014,65,2176,70.2,-5.2,32.3,469,695,67.5,1633,41.9,541,32,38,366,11.8,351,11.3,950,30.6,1046,33.7,-3.1,614,195,6.3,601,19.4,,
130,James Madison,131,31,1959,63.2,2130,68.7,-5.5,35.5,514,750,68.5,1582,40.9,553,27,35.1,272,8.8,379,12.2,1046,33.7,1089,35.1,-1.4,732,182,5.9,607,19.6,,
131,Kansas,132,33,2627,79.6,2325,70.5,9.2,72.7,635,893,71.1,1826,49.5,533,35,35.9,499,15.1,435,13.2,1258,38.1,1017,30.8,7.3,869,193,5.8,696,21.1,,
132,Kansas St.,133,32,2231,69.7,2103,65.7,4,62.5,480,729,65.8,1787,43.6,577,33,29.4,495,15.5,394,12.3,1152,36.0,1109,34.7,1.3,755,198,6.2,694,21.7,,
133,Kennesaw St.,134,31,2016,65,2304,74.3,-9.3,19.4,408,628,65,1676,42.2,559,34,33.5,344,11.1,494,15.9,1019,32.9,1108,35.7,-2.9,673,182,5.9,673,21.7,,
134,Kent St.,135,32,2228,69.6,2188,68.4,1.3,50,464,660,70.3,1786,42.9,668,35,33.8,362,11.3,390,12.2,1075,33.6,1105,34.5,-0.9,734,199,6.2,670,20.9,,
135,Kentucky,136,34,2581,75.9,2266,66.6,9.3,70.6,696,1020,68.2,1897,45.1,532,33,31.7,391,11.5,415,12.2,1399,41.1,1066,31.4,9.8,901,162,4.8,646,19.0,,
136,La Salle,137,31,2100,67.7,2120,68.4,-0.6,48.4,483,682,70.8,1743,41.3,544,33,33.1,385,12.4,360,11.6,1100,35.5,1100,35.5,0,730,173,5.6,495,16.0,,
137,La.-Monroe,138,27,1738,64.4,1851,68.6,-4.2,37,339,536,63.2,1470,42.7,450,32,32.6,341,12.6,358,13.3,943,34.9,944,35,0,656,154,5.7,498,18.4,,
138,Lafayette,139,31,2212,71.4,2315,74.7,-3.3,35.5,419,563,74.4,1661,47,580,40,37.3,400,12.9,383,12.4,927,29.9,1033,33.3,-3.4,663,162,5.2,555,17.9,,
139,Lamar University,140,30,2001,66.7,2318,77.3,-10.6,13.3,482,648,74.4,1628,43.7,315,31,37.9,361,12.0,420,14.0,945,31.5,1075,35.8,-4.3,667,160,5.3,554,18.5,,
140,Lehigh,141,32,2121,66.3,2207,69,-2.7,43.8,406,574,70.7,1756,43.2,555,36,34,416,13.0,383,12.0,1067,33.3,1175,36.7,-3.4,787,159,5.0,572,17.9,,
141,Liberty,142,32,2250,70.3,2234,69.8,0.5,34.4,438,622,70.4,1781,45.8,502,36,34.5,423,13.2,424,13.3,1186,37.1,980,30.6,6.4,783,150,4.7,564,17.6,,
142,Lipscomb,143,30,2276,75.9,2355,78.5,-2.6,50,547,800,68.4,1682,43.2,777,35,35.3,421,14.0,376,12.5,991,33.0,1124,37.5,-4.4,700,202,6.7,662,22.1,,
143,Little Rock,144,32,2288,71.5,2371,74.1,-2.6,46.9,556,754,73.7,1844,42.5,505,32,35,376,11.8,422,13.2,1174,36.7,1136,35.5,1.2,805,190,5.9,689,21.5,,
144,LIU Brooklyn,145,29,2080,71.7,2315,79.8,-8.1,31,448,625,71.7,1653,42.8,631,35,39,408,14.1,371,12.8,1001,34.5,1068,36.8,-2.3,676,125,4.3,509,17.6,,
145,Long Beach St.,146,32,2236,69.9,2255,70.5,-0.6,46.9,401,607,66.1,1904,43.2,613,31,33.3,405,12.7,390,12.2,1178,36.8,1132,35.4,1.4,750,186,5.8,571,17.8,,
146,Longwood,147,32,2235,69.8,2570,80.3,-10.5,25,431,591,72.9,1845,44,513,35,36.8,430,13.4,408,12.8,998,31.2,1193,37.3,-6.1,689,216,6.8,623,19.5,,
147,Louisiana,148,34,2769,81.4,2555,75.1,6.3,67.6,601,896,67.1,2061,46.7,654,37,33.2,464,13.6,463,13.6,1299,38.2,1179,34.7,3.5,829,247,7.3,717,21.1,,
148,Louisiana Tech,149,34,2755,81,2223,65.4,15.6,79.4,599,888,67.5,2079,45.6,795,33,30,540,15.9,394,11.6,1339,39.4,1232,36.2,3.1,903,309,9.1,645,19.0,,
149,Louisville,150,34,2792,82.1,2071,60.9,21.2,85.3,552,838,65.9,2075,47.4,738,37,29.1,533,15.7,350,10.3,1288,37.9,1187,34.9,3,822,344,10.1,663,19.5,,
