,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
292,Toledo,293,33,2606,79,2494,75.6,3.4,51.5,520,748,69.5,1909,47.9,704,36.4,31.9,540,16.4,438,13.3,1243,37.7,1111,33.7,4,909,133,4,564,17.1
293,Towson,294,33,2447,74.2,2283,69.2,5,60.6,592,868,68.2,1900,44.7,499,31.1,34,348,10.5,426,12.9,1305,39.5,1043,31.6,7.9,860,226,6.8,686,20.8
294,Troy,295,36,2824,78.4,2580,71.7,6.8,61.1,602,834,72.2,2095,45.7,845,36.2,33.6,474,13.2,445,12.4,1330,36.9,1235,34.3,2.6,934,220,6.1,635,17.6
295,Tulane,296,31,2179,70.3,2434,78.5,-8.2,19.4,456,636,71.7,1856,40.5,683,32.4,38.1,398,12.8,420,13.5,1064,34.3,1186,38.3,-3.9,715,192,6.2,648,20.9
296,Tulsa,297,32,2158,67.4,2249,70.3,-2.8,46.9,522,716,72.9,1673,41.9,683,34.3,35.9,366,11.4,473,14.8,1113,34.8,1061,33.2,1.6,802,145,4.5,579,18.1
297,UAB,298,33,2369,71.8,2316,70.2,1.6,51.5,496,674,73.6,1808,46.2,582,34.9,34.2,503,15.2,444,13.5,1188,36,1080,32.7,3.3,867,157,4.8,528,16
298,UC Davis,299,34,2396,70.5,2343,68.9,1.6,64.7,524,788,66.5,1898,43.7,599,35.4,33.1,440,12.9,481,14.1,1212,35.6,1166,34.3,1.4,863,193,5.7,658,19.4
299,UC Irvine,300,35,2443,69.8,2246,64.2,5.6,60,417,601,69.4,1996,44.4,704,35.8,31.7,444,12.7,471,13.5,1392,39.8,1147,32.8,7,1004,170,4.9,732,20.9
300,UC Riverside,301,28,1814,64.8,1971,70.4,-5.6,25,336,481,69.9,1596,41.1,522,31.8,34.4,319,11.4,387,13.8,960,34.3,1020,36.4,-2.1,696,185,6.6,554,19.8
301,UC Santa Barbara,302,28,1701,60.8,1987,71,-10.2,21.4,303,478,63.4,1651,37.7,531,29,33.8,338,12.1,341,12.2,1028,36.7,1049,37.5,-0.8,672,148,5.3,502,17.9
302,UCF,303,32,2151,67.2,1940,60.6,6.6,65.6,444,673,66,1693,43.6,666,34.7,31,362,11.3,469,14.7,1318,41.2,1038,32.4,8.8,965,124,3.9,497,15.5
303,UCLA,304,33,2982,90.4,2486,75.3,15,87.9,429,576,74.5,2144,51.9,807,40.5,36.2,709,21.5,381,11.5,1294,39.2,1155,35,4.2,972,202,6.1,543,16.5
304,UConn,305,33,2220,67.3,2189,66.3,0.9,48.5,441,619,71.2,1809,43,628,35.5,33.4,432,13.1,402,12.2,1209,36.6,1163,35.2,1.4,873,146,4.4,575,17.4
305,UMass Lowell,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,UMBC,307,30,2443,81.4,2315,77.2,4.3,60,452,616,73.4,1821,46.8,725,39.6,34.8,441,14.7,350,11.7,1058,35.3,1085,36.2,-0.9,776,202,6.7,576,19.2
307,UMES,308,34,2426,71.4,2585,76,-4.7,41.2,456,668,68.3,2013,42.4,765,34.2,35.3,449,13.2,437,12.9,1143,33.6,1321,38.9,-5.2,793,191,5.6,666,19.6
308,UMKC,309,33,2538,76.9,2599,78.8,-1.8,51.5,521,731,71.3,1956,44,797,37,34,426,12.9,482,14.6,1141,34.6,1249,37.8,-3.3,812,221,6.7,734,22.2
309,UNC Asheville,310,32,2469,77.2,2172,67.9,9.3,71.9,455,667,68.2,1850,47.5,652,39.6,34.7,499,15.6,369,11.5,1078,33.7,1111,34.7,-1,804,300,9.4,531,16.6
310,UNCG,311,34,2551,75,2334,68.6,6.4,73.5,422,595,70.9,1972,46.3,778,38.7,35.7,503,14.8,462,13.6,1213,35.7,1083,31.9,3.8,821,237,7,614,18.1
311,UNCW,312,34,2896,85.2,2548,74.9,10.2,85.3,478,691,69.2,2170,48.2,891,36.6,33.6,550,16.2,354,10.4,1221,35.9,1151,33.9,2.1,813,232,6.8,679,20
312,UNI,313,30,1854,61.8,1931,64.4,-2.6,46.7,381,520,73.3,1559,39.9,702,32.6,36.3,298,9.9,342,11.4,883,29.4,1102,36.7,-7.3,701,197,6.6,464,15.5
313,UNLV,314,32,2202,68.8,2405,75.2,-6.3,34.4,495,711,69.6,1893,39.5,666,32,37.8,412,12.9,410,12.8,1205,37.7,1215,38,-0.3,840,189,5.9,539,16.8
314,USC Upstate,315,32,2518,78.7,2449,76.5,2.2,53.1,410,627,65.4,1985,46,797,35.1,33.2,500,15.6,405,12.7,1249,39,1167,36.5,2.6,860,169,5.3,537,16.8
315,UT Arlington,316,33,2552,77.3,2278,69,8.3,75.8,469,693,67.7,1968,45.8,829,33.7,31.4,508,15.4,434,13.2,1285,38.9,1150,34.8,4.1,886,237,7.2,625,18.9
316,UT Martin,317,33,2548,77.2,2482,75.2,2,63.6,446,643,69.4,1961,46.8,763,34.9,34.8,529,16,501,15.2,1247,37.8,1085,32.9,4.9,811,218,6.6,585,17.7
