Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,29,1857,64,2030,70,-6,31,413,634,21.9,65.1,1554,53.6,41.8,0,0,0,0,330,11.379,531,18.31,1097,37.8,988,34.1,3.8,0,155,5.3,608,21
Air Force,3,30,1760,58.7,1715,57.2,1.5,53.3,406,583,19.4,69.6,1285,42.8,44.4,567,18.9,37.7,0,365,12.167,380,12.667,796,26.5,935,31.2,-4.6,0,193,6.4,510,17
Akron,4,33,2351,71.2,2105,63.8,7.5,69.7,501,709,21.5,70.7,1774,53.8,44.4,717,21.7,38.5,0,444,13.455,421,12.758,1037,31.4,1056,32,-0.6,0,233,7.1,646,19.6
Alabama,5,33,2484,75.3,2404,72.8,2.4,51.5,418,674,20.4,62,2010,60.9,45.6,640,19.4,36.3,0,515,15.606,429,13,1261,38.2,1161,35.2,3,0,246,7.5,554,16.8
Alabama A&M,6,29,1910,65.9,1952,67.3,-1.4,48.3,475,694,23.9,68.4,1645,56.7,38.4,521,18.0,33.2,0,287,9.8966,481,16.586,1061,36.6,1108,38.2,-1.6,0,214,7.4,550,19
Alabama St.,7,30,2149,71.6,1952,65.1,6.6,66.7,372,581,19.4,64,1725,57.5,46.1,525,17.5,35.2,0,443,14.767,404,13.467,1157,38.6,989,33,5.6,0,169,5.6,583,19.4
Albany (NY),8,30,2048,68.3,1992,66.4,1.9,50,432,595,19.8,72.6,1650,55.0,43.8,498,16.6,34.5,0,370,12.333,428,14.267,1124,37.5,905,30.2,7.3,0,160,5.3,614,20.5
Alcorn,9,31,2100,67.7,2445,78.9,-11.1,22.6,445,646,20.8,68.9,1783,57.5,41.3,530,17.1,34.5,0,299,9.6452,532,17.161,1021,32.9,1101,35.5,-2.6,0,205,6.6,680,21.9
American,10,32,2083,65.1,1977,61.8,3.3,65.6,478,643,20.1,74.3,1528,47.8,44.3,613,19.2,40.9,0,381,11.906,436,13.625,1025,32,948,29.6,2.4,0,147,4.6,561,17.5
Appalachian St.,11,31,2214,71.4,2147,69.3,2.2,58.1,422,608,19.6,69.4,1644,53.0,47.4,603,19.5,38.5,0,420,13.548,470,15.161,1089,35.1,1057,34.1,1,0,189,6.1,532,17.2
Arizona,12,33,2378,72.1,2201,66.7,5.4,57.6,519,695,21.1,74.7,1719,52.1,47.8,551,16.7,39,0,514,15.576,402,12.182,1025,31.1,1077,32.6,-1.6,0,186,5.6,542,16.4
Arizona St.,13,31,2085,67.3,1932,62.3,4.9,61.3,452,610,19.7,74.1,1519,49.0,46.5,615,19.8,35.6,0,447,14.419,396,12.774,937,30.2,951,30.7,-0.5,0,223,7.2,503,16.2
Ark.-Pine Bluff,14,31,1869,60.3,1999,64.5,-4.2,41.9,328,534,17.2,61.4,1720,55.5,40,526,17.0,31.4,0,349,11.258,440,14.194,1097,35.4,1148,37,-1.6,0,158,5.1,572,18.5
Arkansas,15,33,2430,73.6,2212,67,6.6,66.7,472,702,21.3,67.2,1894,57.4,46.6,572,17.3,33.9,0,480,14.545,510,15.455,1213,36.8,1065,32.3,4.5,0,231,7,631,19.1
Arkansas St.,16,30,2118,70.6,2185,72.8,-2.2,33.3,385,536,17.9,71.8,1673,55.8,45.5,527,17.6,39.7,0,375,12.5,413,13.767,934,31.1,973,32.4,-1.3,0,198,6.6,532,17.7
Army West Point,17,30,1770,59,1862,62.1,-3.1,46.7,310,456,15.2,68,1521,50.7,43.3,0,0.0,0,0,416,13.867,478,15.933,895,29.8,991,33,-3.2,0,259,8.6,588,19.6
Auburn,18,30,2141,71.4,2183,72.8,-1.4,46.7,358,535,17.8,66.9,1698,56.6,45.8,674,22.5,34,0,453,15.1,409,13.633,971,32.4,1004,33.5,-1.1,0,259,8.6,492,16.4
Austin Peay,19,34,2536,74.6,2403,70.7,3.9,70.6,593,829,24.4,71.5,1858,54.6,45.1,692,20.4,38.6,0,491,14.441,433,12.735,1072,31.5,1153,33.9,-2.4,0,331,9.7,597,17.6
Ball St.,20,30,1733,57.8,1918,63.9,-6.2,20,362,554,18.5,65.3,1558,51.9,40,0,0.0,0,0,311,10.367,365,12.167,936,31.2,1002,33.4,-2.2,0,186,6.2,515,17.2
Baylor,21,31,2522,81.4,2306,74.4,7,67.7,513,691,22.3,74.2,1910,61.6,45.6,699,22.5,38.2,0,377,12.161,392,12.645,1159,37.4,1157,37.3,0.1,0,228,7.4,650,21
Belmont,22,33,2644,80.1,2426,73.5,6.6,75.8,471,674,20.4,69.9,2019,61.2,45.2,956,29.0,36.5,0,575,17.424,484,14.667,1215,36.8,1154,35,1.8,0,283,8.6,605,18.3
Bethune-Cookman,23,32,1862,58.2,1976,61.8,-3.6,34.4,439,658,20.6,66.7,1470,45.9,44.1,0,0.0,0,0,331,10.344,506,15.812,945,29.5,1018,31.8,-2.3,0,224,7,561,17.5
Binghamton,24,30,1976,65.9,2001,66.7,-0.8,46.7,377,515,17.2,73.2,1646,54.9,43.4,510,17.0,33.5,0,359,11.967,408,13.6,973,32.4,994,33.1,-0.7,0,216,7.2,583,19.4
Boise St.,25,33,2706,82,2488,75.4,6.6,75.8,503,756,22.9,66.5,1902,57.6,50.9,673,20.4,39.7,0,590,17.879,515,15.606,1187,36,1112,33.7,2.3,0,210,6.4,578,17.5
Boston College,26,31,2203,71.1,2243,72.4,-1.3,45.2,467,677,21.8,69,1705,55.0,45.5,511,16.5,36,0,458,14.774,479,15.452,1103,35.6,1079,34.8,0.8,0,186,6,520,16.8
Boston U.,27,31,1954,63,2009,64.8,-1.8,45.2,372,548,17.7,67.9,1675,54.0,40.3,699,22.5,33.2,0,408,13.161,436,14.065,1005,32.4,1057,34.1,-1.7,0,219,7.1,623,20.1
Bowling Green,28,30,1904,63.5,2038,67.9,-4.5,43.3,363,554,18.5,65.5,1584,52.8,43.9,0,0.0,0,0,376,12.533,452,15.067,1027,34.2,1048,34.9,-0.7,0,166,5.5,550,18.3
Bradley,29,32,2345,73.3,2282,71.3,2,53.1,482,647,20.2,74.5,1782,55.7,44,779,24.3,37.9,0,506,15.812,471,14.719,1077,33.7,1097,34.3,-0.6,0,247,7.7,634,19.8
