,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
32,Buffalo,33,65.5,2108,72.7,1945,67.1,5.6,431,652,66.1,1609,46.2,553,34.5,33.3,476,16.4,436,15,1170,40.3,964,33.2,7.1,,158,5.4,517,17.8
33,Butler,34,58.8,2152,63.3,2066,60.8,2.5,470,729,64.5,1841,41.1,607,28,31.2,416,12.2,447,13.1,1205,35.4,1078,31.7,3.7,,218,6.4,659,19.4
34,BYU,35,75.8,2581,78.2,2198,66.6,11.6,514,729,70.5,1976,46.8,640,34.2,31.1,562,17,436,13.2,1270,38.5,1129,34.2,4.3,,279,8.5,601,18.2
35,Cal Poly,36,54.5,2136,64.7,1998,60.5,4.2,366,524,69.8,1800,42.9,642,35.2,33.5,417,12.6,351,10.6,1139,34.5,959,29.1,5.5,,188,5.7,594,18
36,Cal St. Fullerton,37,70,2338,77.9,2117,70.6,7.4,469,674,69.6,1687,47.8,631,40.7,37.3,448,14.9,462,15.4,1117,37.2,949,31.6,5.6,,170,5.7,576,19.2
37,California,38,72.7,2365,71.7,2039,61.8,9.9,468,627,74.6,1820,47.9,,,32.7,530,16.1,404,12.2,1151,34.9,1005,30.5,4.4,,158,4.8,475,14.4
38,Campbell,39,53.1,2370,74.1,2361,73.8,0.3,509,761,66.9,1748,48.4,452,37.4,32.4,496,15.5,454,14.2,1129,35.3,1092,34.1,1.2,,196,6.1,648,20.3
39,Canisius,40,16.7,1965,65.5,2271,75.7,-10.2,366,503,72.8,1731,40.7,580,32.9,34.5,327,10.9,442,14.7,1043,34.8,1110,37,-2.2,,192,6.4,539,18
40,Central Ark.,41,27.6,2058,71,2371,81.8,-10.8,336,605,55.5,1884,41.7,490,30.6,34.8,426,14.7,445,15.3,1091,37.6,1204,41.5,-3.9,,235,8.1,588,20.3
41,Central Conn. St.,42,44.8,2029,70,2038,70.3,-0.3,415,547,75.9,1689,42.5,524,34.4,35.3,393,13.6,424,14.6,975,33.6,1054,36.3,-2.7,,235,8.1,541,18.7
42,Central Mich.,43,34.4,1980,61.9,2134,66.7,-4.8,377,594,63.5,1772,39.5,608,33.4,37,329,10.3,393,12.3,1062,33.2,1174,36.7,-3.5,,214,6.7,631,19.7
43,Charleston So.,44,61.3,2383,76.9,2242,72.3,4.5,454,658,69,1866,44.7,681,38,36.1,396,12.8,416,13.4,1103,35.6,1062,34.3,1.3,,251,8.1,563,18.2
44,Charlotte,45,43.3,2010,67,2066,68.9,-1.9,432,656,65.9,1684,41.2,590,32.5,33.5,392,13.1,421,14,1074,35.8,1104,36.8,-1,,243,8.1,548,18.3
45,Chattanooga,46,34.4,2260,70.6,2204,68.9,1.8,490,714,68.6,1849,41.4,723,33.2,32.4,456,14.3,443,13.8,1254,39.2,1162,36.3,2.9,,202,6.3,555,17.3
46,Chicago St.,47,13.3,1884,62.8,2313,77.1,-14.3,353,541,65.2,1732,39.7,526,29.5,36,320,10.7,507,16.9,1062,35.4,1145,38.2,-2.8,,214,7.1,626,20.9
47,Cincinnati,48,70.6,2329,68.5,2080,61.2,7.3,382,596,64.1,2029,42,709,34.3,31.7,441,13,361,10.6,1231,36.2,1224,36,0.2,,276,8.1,515,15.1
48,Clemson,49,51.6,2001,64.5,1880,60.6,3.9,358,534,67,1701,43.3,532,32.1,36,392,12.6,375,12.1,1018,32.8,994,32.1,0.8,,231,7.5,499,16.1
49,Cleveland St.,50,68.8,2112,66,1907,59.6,6.4,345,483,71.4,1731,45,576,36.3,31.8,437,13.7,437,13.7,1021,31.9,1021,31.9,0,,273,8.5,665,20.8
50,Coastal Caro.,51,63.3,2182,72.7,1974,65.8,6.9,381,565,67.4,1698,48.8,,,35.1,390,13,415,13.8,1138,37.9,952,31.7,6.2,,194,6.5,522,17.4
51,Col. of Charleston,52,61.3,2191,70.7,2117,68.3,2.4,438,683,64.1,1769,42.6,725,33.8,32,370,11.9,411,13.3,1111,35.8,1230,39.7,-3.8,,229,7.4,497,16
52,Colgate,53,26.7,1893,63.1,2209,73.6,-10.5,375,544,68.9,1532,43.1,515,38.4,37.9,363,12.1,439,14.6,980,32.7,1013,33.8,-1.1,,111,3.7,572,19.1
53,Colorado,54,67.6,2298,67.6,2125,62.5,5.1,531,765,69.4,1775,44.5,545,34.3,32.3,397,11.7,432,12.7,1215,35.7,1108,32.6,3.1,,200,5.9,580,17.1
54,Colorado St.,55,64.5,2202,71,2119,68.4,2.7,520,676,76.9,1573,47.6,459,40.5,35.7,382,12.3,386,12.5,971,31.3,939,30.3,1,,166,5.4,584,18.8
55,Columbia,56,50,1955,65.2,1863,62.1,3.1,378,509,74.3,1586,43.1,565,37.3,36,380,12.7,365,12.2,1022,34.1,960,32,2.1,,182,6.1,511,17
56,Coppin St.,57,46.7,2213,73.8,2257,75.2,-1.5,412,596,69.1,1749,43.2,792,36.5,34.5,443,14.8,387,12.9,1042,34.7,1152,38.4,-3.7,,173,5.8,501,16.7
57,Cornell,58,42.9,1833,65.5,1898,67.8,-2.3,338,494,68.4,1567,40.8,636,34.1,30.7,379,13.5,377,13.5,913,32.6,1069,38.2,-5.6,,218,7.8,558,19.9
58,Creighton,59,84.8,2641,80,2295,69.5,10.5,521,712,73.2,1817,50.9,636,42.5,35.6,591,17.9,405,12.3,1193,36.2,992,30.1,6.1,,158,4.8,563,17.1
59,CSU Bakersfield,60,53.3,2052,68.4,2079,69.3,-0.9,385,565,68.1,1619,45.6,521,36.7,34.5,427,14.2,444,14.8,939,31.3,924,30.8,0.5,,237,7.9,587,19.6
60,CSUN,61,25,1908,68.1,2101,75,-6.9,456,604,75.5,1671,38.4,554,30.7,36.7,375,13.4,384,13.7,982,35.1,1021,36.5,-1.4,,175,6.3,627,22.4
61,Dartmouth,62,16.7,1727,57.6,1904,63.5,-5.9,389,552,70.5,1504,39.4,463,33.3,36.7,291,9.7,418,13.9,970,32.3,982,32.7,-0.4,,163,5.4,558,18.6
62,Davidson,63,78.1,2509,78.4,2169,67.8,10.6,542,709,76.4,1909,44.9,741,33.9,34.3,443,13.8,378,11.8,1246,38.9,1031,32.2,6.7,,180,5.6,650,20.3
63,Dayton,64,62.5,2294,71.7,2147,67.1,4.6,470,605,77.7,1794,43.9,720,34.4,33.3,462,14.4,421,13.2,1142,35.7,1026,32.1,3.6,,171,5.3,602,18.8
64,Delaware,65,58.1,2148,69.3,2113,68.2,1.1,527,729,72.3,1710,42.5,534,31.3,32,296,9.5,395,12.7,1160,37.4,1201,38.7,-1.3,,144,4.6,549,17.7
65,Delaware St.,66,51.7,1917,66.1,1868,64.4,1.7,349,498,70.1,1596,43.5,515,35,32.7,342,11.8,299,10.3,877,30.2,1075,37.1,-6.8,,228,7.9,472,16.3
66,Denver,67,71,2112,68.1,1876,60.5,7.6,401,526,76.2,1493,48.8,640,39.8,36.3,484,15.6,375,12.1,820,26.5,943,30.4,-4,,223,7.2,564,18.2
67,DePaul,68,38.7,2298,74.1,2378,76.7,-2.6,360,517,69.6,1956,43.8,669,33.5,35.4,474,15.3,414,13.4,1025,33.1,1229,39.6,-6.6,,245,7.9,637,20.5
68,Detroit Mercy,69,62.9,2547,72.8,2367,67.6,5.1,619,843,73.4,1945,45.4,,,36.8,454,13,436,12.5,1191,34,1120,32,2,,263,7.5,663,18.9
69,Drake,70,53.1,2141,66.9,2133,66.7,0.3,453,701,64.6,1685,44.3,550,35.6,30.6,334,10.4,419,13.1,1046,32.7,1104,34.5,-1.8,,218,6.8,653,20.4
70,Drexel,71,81.8,2134,64.7,1829,55.4,9.2,488,652,74.8,1660,43.5,537,37.6,28.2,408,12.4,385,11.7,1172,35.5,974,29.5,6,,161,4.9,589,17.8
71,Duke,72,81.8,2558,77.5,2259,68.5,9.1,590,841,70.2,1857,45.8,713,37.6,31.7,411,12.5,402,12.2,1207,36.6,1125,34.1,2.5,,206,6.2,600,18.2
72,Duquesne,73,51.6,2252,72.6,2232,72,0.6,441,660,66.8,1786,45.1,594,33.5,36.4,473,15.3,374,12.1,954,30.8,1186,38.3,-7.5,,240,7.7,541,17.5
73,East Carolina,74,48.4,2136,68.9,2019,65.1,3.8,406,593,68.5,1714,43.6,676,34.9,31.7,452,14.6,426,13.7,1064,34.3,1071,34.5,-0.2,,241,7.8,558,18
74,Eastern Ill.,75,41.4,1896,65.4,1984,68.4,-3,373,493,75.7,1579,43.6,430,34.2,37.2,383,13.2,380,13.1,929,32,979,33.8,-1.7,,165,5.7,501,17.3
75,Eastern Ky.,76,50,2123,66.3,2117,66.2,0.2,404,551,73.3,1715,43.4,681,33.9,31.7,378,11.8,346,10.8,941,29.4,1073,33.5,-4.1,,239,7.5,629,19.7
76,Eastern Mich.,77,43.8,1704,53.3,1878,58.7,-5.4,385,556,69.2,1555,37.5,,,31.3,309,9.7,438,13.7,991,31,1086,33.9,-3,,227,7.1,549,17.2
77,Eastern Wash.,78,46.9,2326,72.7,2284,71.4,1.3,467,659,70.9,1914,41.2,793,35.7,36.7,390,12.2,377,11.8,1090,34.1,1171,36.6,-2.5,,228,7.1,723,22.6
78,Elon,79,48.4,2175,70.2,2226,71.8,-1.6,397,589,67.4,1831,42.1,671,35.5,33.1,407,13.1,429,13.8,1139,36.7,1215,39.2,-2.5,,149,4.8,570,18.4
79,ETSU,80,54.8,2098,67.7,2017,65.1,2.6,434,684,63.5,1743,44.1,,,35.4,323,10.4,419,13.5,1070,34.5,1048,33.8,0.7,,316,10.2,521,16.8
80,Evansville,81,51.6,2265,73.1,2230,71.9,1.1,555,728,76.2,1686,45.7,439,38.7,38,490,15.8,392,12.6,905,29.2,1067,34.4,-5.2,,239,7.7,663,21.4
81,Fairfield,82,57.6,2154,65.3,2021,61.2,4,373,566,65.9,1759,44.4,615,35.6,35,496,15,493,14.9,1111,33.7,1066,32.3,1.4,,268,8.1,610,18.5
82,Fairleigh Dickinson,83,10.3,1762,60.8,2108,72.7,-11.9,343,520,66,1589,41.2,,,37,322,11.1,440,15.2,968,33.4,1065,36.7,-3.3,,167,5.8,544,18.8
