,Team name,Team ID,Win %,Pts, PPG,OPP PTS,OPP PPG,SCR MAR,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,OPP 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
130,James Madison,131,37.5,2115,66.1,2235,69.8,-3.8,371,557,66.6,1774,42.2,676,36.7,36.3,428,13.4,414,12.9,1015,31.7,1181,36.9,-5.2,,213,6.7,624,19.5
131,Kansas,132,81.8,2474,75,2044,61.9,13,518,744,69.6,1812,48.5,553,35.8,34.7,515,15.6,438,13.3,1218,36.9,1024,31,5.9,,244,7.4,582,17.6
132,Kansas St.,133,67.7,2214,71.4,1975,63.7,7.7,497,746,66.6,1740,44.3,517,34.2,31.8,448,14.5,449,14.5,1155,37.3,1004,32.4,4.9,,191,6.2,624,20.1
133,Kennesaw St.,134,9.7,1920,61.9,2330,75.2,-13.2,332,531,62.5,1665,41.5,604,34.1,36.9,374,12.1,429,13.8,910,29.4,1120,36.1,-6.8,,192,6.2,533,17.2
134,Kent St.,135,65.6,2264,70.8,2105,65.8,5,451,653,69.1,1786,45.2,562,35.1,34.2,478,14.9,438,13.7,1101,34.4,1117,34.9,-0.5,,276,8.6,541,16.9
135,Kentucky,136,94.1,2607,76.7,2006,59,17.7,554,769,72,1924,48.3,525,37.1,32.1,450,13.2,386,11.4,1330,39.1,1085,31.9,7.2,,215,6.3,495,14.6
136,La Salle,137,63.6,2417,73.2,2179,66,7.2,409,565,72.4,1886,46.3,643,40.4,32,480,14.5,425,12.9,1090,33,1201,36.4,-3.4,,265,8,577,17.5
137,La.-Monroe,138,10.3,1750,60.3,2078,71.7,-11.3,288,441,65.3,1555,41,516,36.4,38.5,331,11.4,378,13,901,31.1,1019,35.1,-4.1,,157,5.4,512,17.7
138,Lafayette,139,41.9,2161,69.7,2260,72.9,-3.2,432,566,76.3,1650,43.8,735,38.5,38.4,385,12.4,391,12.6,907,29.3,1086,35,-5.8,,164,5.3,600,19.4
139,Lamar University,140,67.6,2514,73.9,2225,65.4,8.5,601,834,72.1,2027,43.5,,,34.3,442,13,412,12.1,1347,39.6,1170,34.4,5.2,,280,8.2,587,17.3
140,Lehigh,141,78.8,2515,76.2,2148,65.1,11.1,552,711,77.6,1914,44.9,686,35.7,32.7,440,13.3,375,11.4,1185,35.9,1117,33.8,2.1,,256,7.8,587,17.8
141,Liberty,142,43.8,2201,68.8,2283,71.3,-2.6,454,637,71.3,1790,45.3,,,35.2,439,13.7,386,12.1,1106,34.6,1058,33.1,1.5,,169,5.3,555,17.3
142,Lipscomb,143,41.9,2242,72.3,2303,74.3,-2,403,634,63.6,1852,43.3,637,36.9,33.1,438,14.1,467,15.1,1107,35.7,1208,39,-3.3,,225,7.3,536,17.3
143,Little Rock,144,48.4,1974,63.7,1990,64.2,-0.5,469,672,69.8,1655,40.6,492,32.7,33.2,324,10.5,387,12.5,1032,33.3,1112,35.9,-2.6,,198,6.4,609,19.6
144,LIU Brooklyn,145,75.8,2702,81.9,2552,77.3,4.5,689,942,73.1,1890,47.5,589,36.8,32.8,490,14.8,534,16.2,1275,38.6,1191,36.1,2.5,,200,6.1,521,15.8
145,Long Beach St.,146,75.8,2442,74,2100,63.6,10.4,521,777,67.1,1815,46.9,602,36,33.6,463,14,425,12.9,1176,35.6,1078,32.7,3,,236,7.2,508,15.4
146,Longwood,147,32.3,2276,73.4,2617,84.4,-11,359,531,67.6,1905,43.4,759,34.9,39.7,481,15.5,410,13.2,1060,34.2,1227,39.6,-5.4,,163,5.3,495,16
147,Louisiana,148,51.6,2126,68.6,2087,67.3,1.3,470,738,63.7,1732,43,504,32.9,33.9,361,11.6,506,16.3,1191,38.4,1097,35.4,3,,178,5.7,623,20.1
148,Louisiana Tech,149,52.9,2358,69.4,2355,69.3,0.1,402,620,64.8,2012,42.2,777,33.2,32.6,441,13,442,13,1173,34.5,1261,37.1,-2.6,,230,6.8,677,19.9
149,Louisville,150,74.3,2409,68.8,2141,61.2,7.7,507,739,68.6,1997,42.5,663,31.1,30.8,482,13.8,513,14.7,1338,38.2,1271,36.3,1.9,,319,9.1,625,17.9
150,Loyola Chicago,151,23.3,1717,57.2,1887,62.9,-5.7,376,540,69.6,1452,42.1,,,35.1,368,12.3,432,14.4,924,30.8,916,30.5,0.3,,136,4.5,491,16.4
151,Loyola Maryland,152,75,2163,67.6,2042,63.8,3.8,531,740,71.8,1721,42.8,470,34,36.1,384,12,431,13.5,1131,35.3,1012,31.6,3.7,,249,7.8,604,18.9
152,Loyola Marymount,153,61.3,2161,69.7,2067,66.7,3,471,639,73.7,1747,42.7,571,34.7,30.4,367,11.8,414,13.4,1090,35.2,1098,35.4,-0.3,,230,7.4,540,17.4
153,LSU,154,56.3,2081,65,2023,63.2,1.8,385,558,69,1888,40.5,511,32.5,31.3,397,12.4,412,12.9,1184,37,1150,35.9,1.1,,229,7.2,569,17.8
154,Maine,155,41.4,1989,68.6,1982,68.3,0.2,320,437,73.2,1698,44.2,519,32.6,34.9,408,14.1,380,13.1,1019,35.1,1087,37.5,-2.3,,178,6.1,539,18.6
155,Manhattan,156,62.5,2274,71.1,2082,65.1,6,524,716,73.2,1754,43.1,650,36.6,32.7,468,14.6,509,15.9,1153,36,1058,33.1,3,,258,8.1,659,20.6
156,Marist,157,43.8,2176,68,2333,72.9,-4.9,531,734,72.3,1734,41.6,569,35.7,36.8,385,12,481,15,1090,34.1,1132,35.4,-1.3,,188,5.9,520,16.3
157,Marquette,158,78.1,2430,75.9,2119,66.2,9.7,552,766,72.1,1847,45.9,540,33.7,32.1,539,16.8,424,13.3,1146,35.8,1156,36.1,-0.3,,282,8.8,572,17.9
158,Marshall,159,61.8,2394,70.4,2297,67.6,2.9,463,756,61.2,1993,43.6,630,31,31.7,436,12.8,445,13.1,1352,39.8,1105,32.5,7.3,,208,6.1,682,20.1
159,Maryland,160,53.1,2198,68.7,2263,70.7,-2,539,812,66.4,1747,42.5,510,33.9,33.2,339,10.6,425,13.3,1173,36.7,1112,34.8,1.9,,137,4.3,563,17.6
160,Massachusetts,161,66.7,2533,76.8,2373,71.9,4.8,470,694,67.7,2076,43.3,747,35.5,31.3,520,15.8,494,15,1296,39.3,1277,38.7,0.6,,293,8.9,671,20.3
161,McNeese,162,53.1,2144,67,2109,65.9,1.1,422,624,67.6,1843,42.2,521,31.9,31.9,335,10.5,389,12.2,1164,36.4,1122,35.1,1.3,,214,6.7,569,17.8
162,Memphis,163,76.5,2560,75.3,2147,63.1,12.1,553,768,72,1845,49.4,496,36.9,31,502,14.8,433,12.7,1170,34.4,1118,32.9,1.5,,270,7.9,648,19.1
163,Mercer,164,66.7,2244,68,2070,62.7,5.3,451,642,70.2,1700,46.2,623,35.5,30.4,442,13.4,497,15.1,1132,34.3,1084,32.8,1.5,,225,6.8,635,19.2
164,Miami (FL),165,61.3,2206,71.2,2053,66.2,4.9,436,602,72.4,1776,43.2,667,35.4,32.9,369,11.9,366,11.8,1089,35.1,1079,34.8,0.3,,196,6.3,514,16.6
165,Miami (OH),166,30,1821,60.7,1927,64.2,-3.5,323,463,69.8,1472,43.4,619,35.5,33.8,351,11.7,406,13.5,885,29.5,955,31.8,-2.3,,165,5.5,504,16.8
166,Michigan,167,72.7,2195,66.5,2025,61.4,5.2,354,492,72,1723,45.6,765,35.2,34.4,420,12.7,360,10.9,1018,30.8,1050,31.8,-1,,166,5,514,15.6
167,Michigan St.,168,79.4,2453,72.1,2010,59.1,13,503,721,69.8,1849,47.6,515,36.5,29.2,521,15.3,443,13,1292,38,1019,30,8,,249,7.3,599,17.6
168,Middle Tenn.,169,80.6,2230,71.9,1908,61.5,10.4,476,755,63,1616,49.6,,,31.5,479,15.5,430,13.9,1081,34.9,1009,32.5,2.3,,220,7.1,606,19.5
169,Milwaukee,170,60.6,2110,63.9,2043,61.9,2,414,676,61.2,1725,41.7,734,34.9,28.3,410,12.4,451,13.7,1144,34.7,1115,33.8,0.9,,199,6,561,17
170,Minnesota,171,57.6,2224,67.4,2127,64.5,2.9,466,671,69.4,1712,46,510,36.1,35,505,15.3,466,14.1,1150,34.8,1023,31,3.8,,236,7.2,611,18.5
171,Mississippi St.,172,65.6,2281,71.3,2135,66.7,4.6,416,589,70.6,1805,45.5,622,35.5,35,419,13.1,381,11.9,1167,36.5,1056,33,3.5,,192,6,440,13.8
172,Mississippi Val.,173,63.6,2274,68.9,2286,69.3,-0.4,446,686,65,1964,40.2,755,32.8,38.8,439,13.3,478,14.5,1225,37.1,1222,37,0.1,,289,8.8,674,20.4
173,Missouri,174,88.2,2730,80.3,2235,65.7,14.6,546,713,76.6,1890,50.4,708,39.5,36.2,551,16.2,350,10.3,1095,32.2,1072,31.5,0.7,,279,8.2,480,14.1
174,Missouri St.,175,50,2108,65.9,2015,63,2.9,372,516,72.1,1778,43.6,549,33.9,35,433,13.5,338,10.6,1101,34.4,1078,33.7,0.7,,148,4.6,592,18.5
175,Monmouth,176,37.5,2140,66.9,2420,75.6,-8.8,392,603,65,1855,41.9,583,33.3,37.6,441,13.8,449,14,995,31.1,1232,38.5,-7.4,,253,7.9,663,20.7
176,Montana,177,80.6,2190,70.6,1912,61.7,9,472,658,71.7,1642,46.5,515,37.3,32.4,428,13.8,392,12.6,1023,33,1034,33.4,-0.4,,222,7.2,570,18.4
177,Montana St.,178,41.4,2030,70,2088,72,-2,414,598,69.2,1669,42.5,565,35,37.7,378,13,396,13.7,990,34.1,1011,34.9,-0.7,,193,6.7,569,19.6
178,Morehead St.,179,54.5,2070,62.7,2018,61.2,1.6,453,608,74.5,1621,43.2,599,35.9,34.1,394,11.9,493,14.9,1023,31,938,28.4,2.6,,282,8.5,618,18.7
179,Morgan St.,180,31,1934,66.7,2017,69.6,-2.9,437,646,67.6,1574,42.9,472,30.7,34.1,341,11.8,453,15.6,1015,35,1044,36,-1,,191,6.6,549,18.9
180,Mt. St. Mary's,181,27.6,1748,60.3,1946,67.1,-6.8,295,458,64.4,1525,42.4,502,31.7,32.8,332,11.4,480,16.6,952,32.8,949,32.7,0.1,,178,6.1,535,18.4
181,Murray St.,182,96.8,2301,74.2,1898,61.2,13,529,725,73,1617,47.7,566,40.6,29.5,402,13,434,14,1031,33.3,977,31.5,1.7,,261,8.4,565,18.2
182,N.C. A&T,183,37.5,2236,69.9,2326,72.7,-2.8,456,698,65.3,1852,42,667,33.6,32.4,409,12.8,501,15.7,1171,36.6,1285,40.2,-3.6,,235,7.3,617,19.3
183,N.C. Central,184,53.1,2263,70.7,2020,63.1,7.6,527,746,70.6,1644,47,539,35.6,30.2,450,14.1,487,15.2,1035,32.3,1044,32.6,-0.3,,263,8.2,590,18.4
184,Navy,185,10.3,1678,57.9,1920,66.2,-8.3,333,487,68.4,1464,40.6,559,28.1,37.5,331,11.4,423,14.6,873,30.1,904,31.2,-1.1,,218,7.5,528,18.2
185,NC State,186,64.7,2495,73.4,2313,68,5.4,499,705,70.8,1960,46.3,512,35.5,33.8,543,16,436,12.8,1264,37.2,1120,32.9,4.2,,235,6.9,579,17
186,Nebraska,187,40,1827,60.9,1969,65.6,-4.7,335,437,76.7,1521,42.7,599,32.4,36.6,381,12.7,398,13.3,901,30,932,31.1,-1,,198,6.6,496,16.5
187,Nevada,188,81.3,2262,70.7,2067,64.6,6.1,492,762,64.6,1716,45.1,603,36.8,33.1,414,12.9,442,13.8,1188,37.1,1063,33.2,3.9,,188,5.9,525,16.4
188,New Hampshire,189,44.8,1774,61.2,1821,62.8,-1.6,322,529,60.9,1547,40.1,617,34.4,29.7,285,9.8,379,13.1,970,33.4,1032,35.6,-2.1,,153,5.3,524,18.1
189,New Mexico,190,81.8,2414,73.2,1949,59.1,14.1,506,716,70.7,1790,46.3,655,38.5,30.7,541,16.4,440,13.3,1253,38,1032,31.3,6.7,,229,6.9,581,17.6
190,New Mexico St.,191,74.3,2746,78.5,2380,68,10.5,699,1048,66.7,1996,47.2,,,31.9,491,14,516,14.7,1410,40.3,1105,31.6,8.7,,239,6.8,617,17.6
191,New Orleans,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Niagara,193,42.4,2322,70.4,2448,74.2,-3.8,503,718,70.1,1940,40.5,763,32.6,36.1,393,11.9,421,12.8,1082,32.8,1205,36.5,-3.7,,274,8.3,721,21.8
193,Nicholls St.,194,33.3,1989,66.3,2338,77.9,-11.6,403,599,67.3,1616,42.9,625,31.7,38.5,365,12.2,453,15.1,918,30.6,1121,37.4,-6.8,,161,5.4,587,19.6
194,NJIT,195,46.9,2236,69.9,2175,68,1.9,404,575,70.3,1861,42.3,732,35.2,32,413,12.9,403,12.6,1121,35,1158,36.2,-1.2,,232,7.3,646,20.2
195,Norfolk St.,196,73.5,2346,69,2248,66.1,2.9,522,799,65.3,1852,44.3,592,31.1,30.3,408,12,520,15.3,1237,36.4,1168,34.4,2,,235,6.9,661,19.4
196,North Carolina,197,85.3,2787,82,2273,66.9,15.1,575,843,68.2,2214,46.1,507,33.9,31.9,593,17.4,400,11.8,1532,45.1,1165,34.3,10.8,,232,6.8,503,14.8
197,North Dakota,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,North Dakota St.,199,56.7,2192,73.1,2041,68,5,444,613,72.4,1592,48.9,514,37.4,37.4,410,13.7,375,12.5,989,33,944,31.5,1.5,,182,6.1,575,19.2
199,North Florida,200,50,2168,67.8,2266,70.8,-3.1,393,645,60.9,1720,45.8,561,35.8,35.1,392,12.3,493,15.4,1096,34.3,1106,34.6,-0.3,,186,5.8,590,18.4
200,North Texas,201,56.3,2250,70.3,2080,65,5.3,455,639,71.2,1885,43.4,,,31.5,385,12,464,14.5,1249,39,1117,34.9,4.1,,200,6.3,561,17.5
201,Northeastern,202,45.2,1941,62.6,2030,65.5,-2.9,420,598,70.2,1579,42.8,485,34.8,33.1,369,11.9,484,15.6,998,32.2,1009,32.5,-0.4,,246,7.9,578,18.6
202,Northern Ariz.,203,17.2,1804,62.2,2068,71.3,-9.1,325,469,69.3,1620,40.8,481,32.6,39.8,407,14,430,14.8,944,32.6,982,33.9,-1.3,,190,6.6,467,16.1
203,Northern Colo.,204,32.1,2026,72.4,2112,75.4,-3.1,429,614,69.9,1454,48.1,448,44.4,39.5,349,12.5,456,16.3,960,34.3,820,29.3,5,,155,5.5,556,19.9
204,Northern Ill.,205,16.1,1716,55.4,2096,67.6,-12.3,343,511,67.1,1602,37.1,584,31.7,37.9,304,9.8,497,16,1073,34.6,997,32.2,2.5,,156,5,623,20.1
205,Northern Ky.,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Northwestern,207,58.1,2155,69.5,2102,67.8,1.7,391,564,69.3,1641,45.3,720,38.6,35.7,475,15.3,314,10.1,907,29.3,1093,35.3,-6,,203,6.5,499,16.1
207,Northwestern St.,208,50,2259,70.6,2239,70,0.6,488,800,61,1852,42.6,625,30.9,32.9,418,13.1,471,14.7,1165,36.4,1293,40.4,-4,,280,8.8,633,19.8
208,Notre Dame,209,66.7,2194,66.5,2028,61.5,5,470,664,70.8,1751,43.2,644,32.9,31,478,14.5,331,10,1123,34,1137,34.5,-0.4,,171,5.2,454,13.8
209,Oakland,210,53.1,2547,79.6,2511,78.5,1.1,567,776,73.1,1861,45.3,791,37.2,39.6,422,13.2,398,12.4,1077,33.7,1087,34,-0.3,,204,6.4,597,18.7
210,Ohio,211,79.4,2405,70.7,2122,62.4,8.3,476,699,68.1,1954,42.9,743,33.8,29.6,448,13.2,451,13.3,1182,34.8,1177,34.6,0.1,,319,9.4,671,19.7
211,Ohio St.,212,79.4,2542,74.8,2008,59.1,15.7,501,718,69.8,1942,48.3,,,32.2,509,15,395,11.6,1256,36.9,1004,29.5,7.4,,245,7.2,546,16.1
212,Oklahoma,213,48.4,2142,69.1,2123,68.5,0.6,413,568,72.7,1827,43.5,,,34.1,431,13.9,396,12.8,1143,36.9,1043,33.6,3.2,,194,6.3,538,17.4
213,Oklahoma St.,214,45.5,2209,66.9,2247,68.1,-1.2,506,685,73.9,1756,42.5,633,33.3,31.5,376,11.4,395,12,1048,31.8,1240,37.6,-5.8,,214,6.5,629,19.1
214,Old Dominion,215,60.6,2162,65.5,2033,61.6,3.9,431,697,61.8,1911,40.5,587,31.2,31.9,416,12.6,451,13.7,1322,40.1,1126,34.1,5.9,,290,8.8,616,18.7
215,Ole Miss,216,60.6,2182,66.1,2154,65.3,0.8,473,784,60.3,1824,43,,,33.8,358,10.8,476,14.4,1265,38.3,1175,35.6,2.7,,214,6.5,593,18
216,Omaha,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Oral Roberts,218,81.8,2408,73,2170,65.8,7.2,551,739,74.6,1726,48.7,492,36,36.2,446,13.5,431,13.1,1058,32.1,918,27.8,4.2,,217,6.6,558,16.9
218,Oregon,219,71,2237,72.2,2078,67,5.1,451,643,70.1,1697,46.1,593,37.1,33.5,422,13.6,413,13.3,1065,34.4,996,32.1,2.2,,188,6.1,521,16.8
219,Oregon St.,220,57.6,2605,78.9,2405,72.9,6.1,584,864,67.6,1937,46.8,579,35.8,38.7,516,15.6,454,13.8,1148,34.8,1153,34.9,-0.2,,302,9.2,624,18.9
220,Pacific,221,36.7,1888,62.9,2022,67.4,-4.5,400,582,68.7,1591,40.5,624,32.1,35.6,376,12.5,361,12,959,32,1086,36.2,-4.2,,155,5.2,517,17.2
221,Penn,222,61.3,2019,65.1,1980,63.9,1.3,356,487,73.1,1617,44.6,590,37.5,34.3,418,13.5,395,12.7,933,30.1,1018,32.8,-2.7,,229,7.4,614,19.8
222,Penn St.,223,37.5,1977,61.8,2106,65.8,-4,386,563,68.6,1770,39.3,647,31.1,38.2,344,10.8,390,12.2,1084,33.9,1024,32,1.9,,218,6.8,636,19.9
223,Pepperdine,224,34.5,1719,59.3,1911,65.9,-6.6,369,560,65.9,1523,39.6,,,34.3,358,12.3,394,13.6,1055,36.4,964,33.2,3.1,,135,4.7,525,18.1
224,Pittsburgh,225,51.5,2267,68.7,2183,66.2,2.5,419,597,70.2,1830,45,592,33.8,33.4,494,15,445,13.5,1208,36.6,978,29.6,7,,162,4.9,575,17.4
225,Portland,226,22.6,2018,65.1,2357,76,-10.9,410,571,71.8,1691,42.8,507,32,36.4,368,11.9,483,15.6,1034,33.4,1047,33.8,-0.4,,145,4.7,645,20.8
226,Portland St.,227,53.1,2438,76.2,2345,73.3,2.9,561,761,73.7,1751,48.3,531,34.8,33.5,370,11.6,431,13.5,1112,34.8,1016,31.8,3,,170,5.3,539,16.8
227,Prairie View,228,43.8,2016,63,2101,65.7,-2.7,340,629,54.1,1922,39.3,532,31.2,31.2,346,10.8,514,16.1,1250,39.1,1194,37.3,1.8,,251,7.8,621,19.4
228,Presbyterian,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Princeton,230,63.3,1985,66.2,1831,61,5.1,335,496,67.5,1565,45.8,579,37.3,33.1,427,14.2,374,12.5,994,33.1,990,33,0.1,,190,6.3,499,16.6
230,Providence,231,46.9,2203,68.8,2216,69.3,-0.4,501,711,70.5,1807,42.7,,,33.8,435,13.6,391,12.2,1181,36.9,1152,36,0.9,,170,5.3,542,16.9
231,Purdue,232,63.6,2382,72.2,2178,66,6.2,425,652,65.2,1912,44.1,719,37.7,35.6,452,13.7,286,8.7,1090,33,1109,33.6,-0.6,,216,6.5,587,17.8
232,Quinnipiac,233,58.1,2208,71.2,2076,67,4.3,468,733,63.8,1885,42.5,,,34.2,388,12.5,393,12.7,1347,43.5,1025,33.1,10.4,,169,5.5,643,20.7
233,Radford,234,18.8,1959,61.2,2195,68.6,-7.4,359,564,63.7,1819,38.4,659,30.7,36.4,344,10.8,445,13.9,1057,33,1173,36.7,-3.6,,234,7.3,669,20.9
234,Rhode Island,235,22.6,2126,68.6,2339,75.5,-6.9,447,648,69,1888,40.1,593,27.8,35.5,348,11.2,451,14.5,1190,38.4,1083,34.9,3.5,,200,6.5,559,18
235,Rice,236,53.1,2226,69.6,2114,66.1,3.5,487,717,67.9,1750,44.6,512,34.6,35.8,467,14.6,429,13.4,1144,35.8,1123,35.1,0.7,,237,7.4,552,17.3
236,Richmond,237,50,2207,69,2149,67.2,1.8,509,667,76.3,1694,42.7,699,35.8,32.3,397,12.4,367,11.5,969,30.3,1148,35.9,-5.6,,194,6.1,561,17.5
237,Rider,238,40.6,2291,71.6,2387,74.6,-3,503,700,71.9,1713,45,653,37.7,35.8,443,13.8,483,15.1,1073,33.5,1168,36.5,-3,,191,6,558,17.4
238,Robert Morris,239,70.6,2335,68.7,2170,63.8,4.9,570,805,70.8,1856,41.7,622,34.9,35.7,444,13.1,470,13.8,1211,35.6,1048,30.8,4.8,,288,8.5,714,21
239,Rutgers,240,43.8,2095,65.5,2106,65.8,-0.3,398,571,69.7,1802,42.4,504,33.5,33.7,407,12.7,475,14.8,1103,34.5,1088,34,0.5,,261,8.2,673,21
240,Sacramento St.,241,35.7,1875,67,1936,69.1,-2.2,397,568,69.9,1470,45.1,448,33.9,35.9,386,13.8,383,13.7,932,33.3,891,31.8,1.5,,130,4.6,535,19.1
241,Sacred Heart,242,43.8,2277,71.2,2319,72.5,-1.3,456,612,74.5,1756,46,561,36.9,35.8,446,13.9,491,15.3,1086,33.9,1076,33.6,0.3,,211,6.6,588,18.4
242,Saint Francis (PA),243,20.7,1763,60.8,2017,69.6,-8.8,324,496,65.3,1422,45.9,,,36.6,363,12.5,457,15.8,814,28.1,987,34,-6,,188,6.5,504,17.4
243,Saint Joseph's,244,60.6,2381,72.2,2243,68,4.2,455,654,69.6,1810,47.1,601,36.6,35.7,481,14.6,421,12.8,1200,36.4,1147,34.8,1.6,,159,4.8,502,15.2
244,Saint Louis,245,78.1,2214,69.2,1841,57.5,11.7,438,612,71.6,1716,45.2,625,36.2,32,443,13.8,359,11.2,1051,32.8,997,31.2,1.7,,225,7,541,16.9
245,Saint Mary's (CA),246,84.4,2398,74.9,1996,62.4,12.6,497,684,72.7,1747,47.5,688,35,36.1,509,15.9,372,11.6,1172,36.6,941,29.4,7.2,,224,7,509,15.9
246,Saint Peter's,247,16.1,1799,58,2138,69,-10.9,309,477,64.8,1646,40.6,,,36.5,390,12.6,484,15.6,939,30.3,1114,35.9,-5.6,,236,7.6,598,19.3
247,Sam Houston St.,248,40.6,1875,58.6,1941,60.7,-2.1,412,689,59.8,1580,41.6,,,33,408,12.8,493,15.4,1110,34.7,1069,33.4,1.3,,185,5.8,591,18.5
248,Samford,249,36.7,1984,66.1,2092,69.7,-3.6,313,478,65.5,1604,44.4,739,33.4,36,419,14,386,12.9,961,32,1081,36,-4,,161,5.4,520,17.3
249,San Diego,250,41.9,2079,67.1,2179,70.3,-3.2,392,598,65.6,1648,45.1,548,36.3,36.6,421,13.6,424,13.7,958,30.9,1077,34.7,-3.8,,207,6.7,565,18.2
250,San Diego St.,251,78.8,2351,71.2,2087,63.2,8,482,689,70,1842,45.6,555,34.1,33.8,408,12.4,417,12.6,1224,37.1,1065,32.3,4.8,,186,5.6,526,15.9
251,San Francisco,252,60.6,2488,75.4,2326,70.5,4.9,487,707,68.9,1884,47,654,35.3,37,456,13.8,436,13.2,1099,33.3,1062,32.2,1.1,,278,8.4,589,17.8
252,San Jose St.,253,29,2099,67.7,2261,72.9,-5.2,437,586,74.6,1810,39.5,701,33.1,35.3,416,13.4,341,11,1044,33.7,1166,37.6,-3.9,,151,4.9,548,17.7
253,Santa Clara,254,26.7,2085,69.5,2245,74.8,-5.3,412,582,70.8,1751,40.9,657,36.4,36.7,384,12.8,348,11.6,995,33.2,1100,36.7,-3.5,,151,5,625,20.8
254,Savannah St.,255,65.6,2038,63.7,1884,58.9,4.8,399,674,59.2,1727,42,571,33.1,29.4,409,12.8,477,14.9,1156,36.1,999,31.2,4.9,,224,7,598,18.7
255,Seattle U,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Seton Hall,257,62.5,2194,68.6,2032,63.5,5.1,391,583,67.1,1806,43.7,626,35.9,30.6,451,14.1,404,12.6,1136,35.5,1073,33.5,2,,264,8.3,568,17.8
257,SFA,258,62.5,1970,61.6,1741,54.4,7.2,411,650,63.2,1620,44.7,,,33.3,442,13.8,437,13.7,1128,35.3,892,27.9,7.4,,229,7.2,535,16.7
258,Siena,259,45.2,1975,63.7,2061,66.5,-2.8,393,578,68,1692,42.4,,,36.7,391,12.6,437,14.1,1119,36.1,1074,34.6,1.5,,180,5.8,432,13.9
259,SIUE,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,SMU,261,40.6,1909,59.7,1922,60.1,-0.4,371,551,67.3,1539,41.9,728,34.1,30.8,382,11.9,403,12.6,909,28.4,1075,33.6,-5.2,,221,6.9,543,17
261,South Ala.,262,58.6,1935,66.7,1947,67.1,-0.4,435,621,70,1607,42.4,,,34.7,323,11.1,468,16.1,1152,39.7,933,32.2,7.6,,143,4.9,501,17.3
262,South Carolina,263,32.3,1903,61.4,2015,65,-3.6,321,458,70.1,1713,40.2,625,32.6,37.9,309,10,396,12.8,970,31.3,1032,33.3,-2,,212,6.8,561,18.1
263,South Carolina St.,264,13.3,1932,64.4,2341,78,-13.6,408,626,65.2,1763,39.3,,,38.6,317,10.6,472,15.7,1119,37.3,1159,38.6,-1.3,,175,5.8,549,18.3
264,South Dakota,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,South Dakota St.,266,79.4,2629,77.3,2261,66.5,10.8,561,769,73,1913,46.9,698,39.3,32.3,484,14.2,357,10.5,1172,34.5,1092,32.1,2.4,,229,6.7,550,16.2
266,South Fla.,267,60.6,1955,59.2,1877,56.9,2.4,387,549,70.5,1620,43.6,,,29.7,391,11.8,452,13.7,1131,34.3,1009,30.6,3.7,,182,5.5,506,15.3
267,Southeast Mo. St.,268,48.4,2192,70.7,2170,70,0.7,373,592,63,1724,47.5,490,36.9,38.6,462,14.9,405,13.1,1090,35.2,1011,32.6,2.5,,156,5,582,18.8
268,Southeastern La.,269,41.4,1738,59.9,1795,61.9,-2,352,596,59.1,1530,41.1,,,29,321,11.1,446,15.4,1045,36,1014,35,1.1,,180,6.2,511,17.6
269,Southern California,270,18.8,1683,52.6,1910,59.7,-7.1,272,446,61,1658,38.7,,,34.1,305,9.5,341,10.7,866,27.1,1160,36.3,-9.2,,184,5.8,476,14.9
270,Southern Ill.,271,25.8,1944,62.7,2144,69.2,-6.5,391,611,64,1711,41.4,,,39.9,363,11.7,437,14.1,1013,32.7,1047,33.8,-1.1,,230,7.4,662,21.4
271,Southern Miss.,272,75.8,2362,71.6,2142,64.9,6.7,561,762,73.6,1915,41.6,578,35.8,35.2,366,11.1,367,11.1,1212,36.7,1060,32.1,4.6,,197,6,626,19
272,Southern U.,273,54.8,1879,60.6,1981,63.9,-3.3,416,607,68.5,1607,41,,,32.9,342,11,435,14,1028,33.2,1221,39.4,-6.2,,183,5.9,601,19.4
273,Southern Utah,274,45.2,2038,65.7,2106,67.9,-2.2,446,617,72.3,1594,47.4,,,34.6,443,14.3,432,13.9,993,32,915,29.5,2.5,,169,5.5,633,20.4
274,St. Bonaventure,275,64.5,2191,70.7,2015,65,5.7,530,697,76,1630,45.8,490,34.1,32.4,428,13.8,440,14.2,1106,35.7,935,30.2,5.5,,177,5.7,576,18.6
275,St. Francis Brooklyn,276,50,2084,69.5,2062,68.7,0.7,391,590,66.3,1685,43.1,672,35.6,30.3,392,13.1,486,16.2,1085,36.2,1019,34,2.2,,205,6.8,643,21.4
276,St. John's (NY),277,40.6,2129,66.5,2268,70.9,-4.3,485,713,68,1803,42,,,33.9,345,10.8,423,13.2,1097,34.3,1215,38,-3.7,,255,8,533,16.7
