,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
42,Central Mich.,43,31,2092,67.5,2226,71.8,-4.3,35.5,482,659,21.3,73.1,1664,53.7,40.9,754,24.3,33.2,37.6,404,13,402,13,980,31.6,1074,34.6,-3,#N/A,208,6.7,514,16.6
43,Charleston So.,44,31,2290,73.9,2066,66.6,7.2,61.3,417,586,18.9,71.2,1877,60.5,42.4,790,25.5,35.8,33.5,379,12.2,380,12.3,1220,39.4,1097,35.4,4,#N/A,224,7.2,490,15.8
44,Charlotte,45,32,2163,67.6,2156,67.4,0.2,65.6,515,790,24.7,65.2,1743,54.5,44.1,0,0.0,0,33.4,375,11.7,493,15.4,1203,37.6,1064,33.3,4.3,#N/A,243,7.6,632,19.8
45,Chattanooga,46,32,2218,69.3,2318,72.4,-3.1,40.6,527,793,24.8,66.5,1822,56.9,41.8,561,17.5,29.8,37.2,379,11.8,449,14,1213,37.9,1069,33.4,4.5,#N/A,220,6.9,570,17.8
46,Chicago St.,47,32,2082,65.1,2196,68.6,-3.6,34.4,347,474,14.8,73.2,1884,58.9,40.2,665,20.8,33.2,35.5,397,12.4,478,14.9,1062,33.2,1162,36.3,-3.1,#N/A,303,9.5,652,20.4
47,Cincinnati,48,33,2199,66.6,1939,58.8,7.9,66.7,446,687,20.8,64.9,1899,57.5,40.2,709,21.5,31.7,30,403,12.2,423,12.8,1320,40,1107,33.5,6.5,#N/A,231,7,584,17.7
48,Clemson,49,31,1907,61.5,1864,60.1,1.4,41.9,356,544,17.5,65.4,1643,53.0,42.4,496,16.0,31.7,34.8,334,10.8,355,11.5,1034,33.4,1030,33.2,0.1,#N/A,208,6.7,497,16
49,Cleveland St.,50,32,2051,64.1,2226,69.6,-5.5,43.8,379,535,16.7,70.8,1734,54.2,42.3,601,18.8,34.3,35.6,389,12.2,452,14.1,1002,31.3,1049,32.8,-1.5,#N/A,233,7.3,627,19.6
50,Coastal Caro.,51,29,1943,67,1840,63.4,3.6,48.3,385,587,20.2,65.6,1626,56.1,43.9,nan,0.0,nan,34.2,308,10.6,410,14.1,1083,37.3,919,31.7,5.7,#N/A,250,8.6,538,18.6
51,Col. of Charleston,52,34,2220,65.3,2098,61.7,3.6,70.6,462,681,20.0,67.8,1772,52.1,44,581,17.1,34.4,29.5,381,11.2,454,13.4,1277,37.6,1084,31.9,5.7,#N/A,148,4.4,491,14.4
52,Colgate,53,32,2033,63.5,2230,69.7,-6.2,34.4,343,485,15.2,70.7,1760,55.0,41.8,645,20.2,34.1,35.5,412,12.9,423,13.2,1129,35.3,1127,35.2,0.1,#N/A,148,4.6,561,17.5
53,Colorado,54,32,2181,68.2,2041,63.8,4.4,65.6,492,719,22.5,68.4,1737,54.3,43.6,498,15.6,34.7,32.3,321,10,424,13.3,1191,37.2,1082,33.8,3.4,#N/A,225,7,505,15.8
54,Colorado St.,55,33,2413,73.1,2075,62.9,10.2,75.8,571,801,24.3,71.3,1870,56.7,44.8,506,15.3,33.2,33.7,431,13.1,355,10.8,1334,40.4,936,28.4,12.1,#N/A,161,4.9,564,17.1
55,Columbia,56,28,1746,62.4,1694,60.5,1.9,42.9,357,479,17.1,74.5,1435,51.3,42.1,521,18.6,34.7,36.8,337,12,306,10.9,879,31.4,850,30.4,1,#N/A,173,6.2,521,18.6
56,Coppin St.,57,32,2035,63.6,2277,71.2,-7.6,25,418,601,18.8,69.6,1878,58.7,36.6,768,24.0,31.6,29.4,328,10.3,472,14.8,1061,33.2,1335,41.7,-8.6,#N/A,250,7.8,577,18
57,Cornell,58,31,2040,65.8,2168,69.9,-4.1,41.9,368,523,16.9,70.4,1727,55.7,42.4,609,19.6,34.2,39.2,364,11.7,412,13.3,1005,32.4,1041,33.6,-1.2,#N/A,210,6.8,550,17.7
58,Creighton,59,34,2563,75.4,2145,63.1,12.3,79.4,451,601,17.7,75,1787,52.6,50.8,708,20.8,42.1,31.3,584,17.2,417,12.3,1198,35.2,1030,30.3,4.9,#N/A,170,5,551,16.2
59,CSU Bakersfield,60,30,2041,68,2070,69,-1,46.7,422,603,20.1,70,1697,56.6,41.8,591,19.7,33.7,33.8,380,12.7,424,14.1,1021,34,1017,33.9,0.1,#N/A,221,7.4,610,20.3
60,CSUN,61,31,2333,75.3,2309,74.5,0.8,45.2,534,729,23.5,73.3,1876,60.5,43.6,485,15.6,33.6,37,474,15.3,423,13.6,1143,36.9,1055,34,2.8,#N/A,262,8.5,605,19.5
61,Dartmouth,62,28,1719,61.4,1844,65.9,-4.5,32.1,364,499,17.8,72.9,1468,52.4,40.7,473,16.9,33.6,35.4,298,10.6,378,13.5,876,31.3,937,33.5,-2.2,#N/A,195,7,530,18.9
62,Davidson,63,33,2432,73.7,2051,62.2,11.5,78.8,546,682,20.7,80.1,1767,53.5,46.3,677,20.5,36.9,32.7,461,14,360,10.9,1116,33.8,1037,31.4,2.4,#N/A,187,5.7,584,17.7
63,Dayton,64,31,2225,71.8,2067,66.7,5.1,54.8,471,657,21.2,71.7,1656,53.4,47.5,474,15.3,38.4,35.3,433,14,450,14.5,1062,34.3,943,30.4,3.8,#N/A,173,5.6,613,19.8
64,Delaware,65,33,2276,69,2275,68.9,0,57.6,580,769,23.3,75.4,1833,55.5,42.3,nan,0.0,nan,34.4,319,9.7,418,12.7,1242,37.6,1177,35.7,2,#N/A,178,5.4,556,16.8
65,Delaware St.,66,33,1997,60.5,2094,63.5,-2.9,45.5,396,574,17.4,69,1731,52.5,41,621,18.8,29.5,32.5,326,9.9,453,13.7,1055,32,1142,34.6,-2.6,#N/A,228,6.9,515,15.6
66,Denver,67,30,1963,65.4,1671,55.7,9.7,70,324,439,14.6,73.8,1449,48.3,48.1,644,21.5,38,32.8,491,16.4,333,11.1,749,25,928,30.9,-6,#N/A,270,9,525,17.5
67,DePaul,68,32,2284,71.4,2409,75.3,-3.9,34.4,435,618,19.3,70.4,1951,61.0,43.4,nan,0.0,nan,36.5,440,13.8,457,14.3,1095,34.2,1220,38.1,-3.9,#N/A,265,8.3,612,19.1
68,Detroit Mercy,69,32,2500,78.1,2257,70.5,7.6,62.5,492,684,21.4,71.9,1934,60.4,45.9,666,20.8,34.8,37.1,473,14.8,350,10.9,1065,33.3,1070,33.4,-0.2,#N/A,261,8.2,563,17.6
69,Drake,70,32,2296,71.8,2319,72.5,-0.7,46.9,467,651,20.3,71.7,1732,54.1,44.7,720,22.5,38.8,35.1,433,13.5,440,13.8,1009,31.5,1096,34.3,-2.7,#N/A,183,5.7,625,19.5
70,Drexel,71,31,1953,63,1956,63.1,-0.1,41.9,412,553,17.8,74.5,1651,53.3,41.2,540,17.4,33.5,34.2,363,11.7,366,11.8,1054,34,944,30.5,3.5,#N/A,158,5.1,579,18.7
71,Duke,72,32,2505,78.3,2093,65.4,12.9,84.4,507,693,21.7,73.2,1837,57.4,47.6,611,19.1,40.6,29.3,470,14.7,343,10.7,1082,33.8,1120,35,-1.2,#N/A,209,6.5,567,17.7
72,Duquesne,73,30,2028,67.6,2269,75.6,-8,26.7,356,553,18.4,64.4,1747,58.2,40.9,722,24.1,33.8,37.9,383,12.8,437,14.6,1076,35.9,1139,38,-2.1,#N/A,156,5.2,523,17.4
73,East Carolina,74,30,2310,77,2175,72.5,4.5,60,474,661,22.0,71.7,1770,59.0,45,694,23.1,35.2,34.4,521,17.4,382,12.7,1072,35.7,1137,37.9,-2.2,#N/A,237,7.9,539,18
74,Eastern Ill.,75,32,1933,60.4,2055,64.2,-3.8,34.4,359,541,16.9,66.4,1582,49.4,43.7,548,17.1,35,38.9,420,13.1,413,12.9,953,29.8,969,30.3,-0.5,#N/A,207,6.5,529,16.5
75,Eastern Ky.,76,33,2445,74.1,2155,65.3,8.8,72.7,475,604,18.3,78.6,1807,54.8,46.7,812,24.6,35,31.3,496,15,383,11.6,912,27.6,1087,32.9,-5.3,#N/A,289,8.8,636,19.3
76,Eastern Mich.,77,34,1926,56.6,2011,59.1,-2.5,47.1,357,533,15.7,67,1751,51.5,40.1,nan,0.0,nan,29.9,364,10.7,473,13.9,1138,33.5,1173,34.5,-1,#N/A,269,7.9,571,16.8
77,Eastern Wash.,78,31,2146,69.2,2310,74.5,-5.3,32.3,380,580,18.7,65.5,1811,58.4,41.5,775,25.0,34.1,35.1,414,13.4,416,13.4,1113,35.9,1242,40.1,-4.2,#N/A,164,5.3,571,18.4
78,Elon,79,32,2220,69.4,2075,64.8,4.5,65.6,383,537,16.8,71.3,1816,56.8,43.7,715,22.3,34.8,36.5,432,13.5,366,11.4,1092,34.1,1149,35.9,-1.8,#N/A,212,6.6,544,17
79,ETSU,80,32,1994,62.3,2284,71.4,-9.1,31.3,370,554,17.3,66.8,1751,54.7,40.4,637,19.9,32.7,36.8,323,10.1,423,13.2,986,30.8,1176,36.8,-5.9,#N/A,203,6.3,512,16
80,Evansville,81,32,2178,68.1,2066,64.6,3.5,56.3,409,555,17.3,73.7,1815,56.7,43.6,505,15.8,36.6,35.2,504,15.8,360,11.3,1058,33.1,1086,33.9,-0.9,#N/A,189,5.9,568,17.8
81,Fairfield,82,34,2051,60.3,1998,58.8,1.6,55.9,357,522,15.4,68.4,1783,52.4,42.2,605,17.8,31.4,31.6,425,12.5,460,13.5,1133,33.3,1094,32.2,1.1,#N/A,241,7.1,666,19.6
82,Fairleigh Dickinson,83,31,2034,65.6,2448,79,-13.4,22.6,396,590,19.0,67.1,1675,54.0,43.2,543,17.5,35,36.3,404,13,486,15.7,953,30.7,1198,38.6,-7.9,#N/A,179,5.8,571,18.4
83,FGCU,84,34,2487,73.1,2268,66.7,6.4,70.6,453,669,19.7,67.7,1960,57.6,46,678,19.9,33.9,31.1,476,14,499,14.7,1245,36.6,1205,35.4,1.2,#N/A,306,9,598,17.6
84,FIU,85,32,2210,69.1,2209,69,0,56.3,454,642,20.1,70.7,1794,56.1,42.7,672,21.0,33.3,32.3,369,11.5,484,15.1,1044,32.6,1164,36.4,-3.8,#N/A,299,9.3,603,18.8
85,Fla. Atlantic,86,32,2092,65.4,2164,67.6,-2.3,43.8,433,618,19.3,70.1,1735,54.2,42.2,541,16.9,36,30,323,10.1,488,15.3,1168,36.5,1151,36,0.5,#N/A,167,5.2,580,18.1
86,Florida,87,33,2364,71.6,1772,53.7,17.9,78.8,357,524,15.9,68.1,1799,54.5,48.1,728,22.1,38,30.1,489,14.8,367,11.1,1157,35.1,999,30.3,4.8,#N/A,230,7,466,14.1
87,Florida A&M,88,31,2015,65,2235,72.1,-7.1,25.8,380,606,19.5,62.7,1849,59.6,39.6,560,18.1,30.5,35.1,340,11,484,15.6,1091,35.2,1242,40.1,-4.9,#N/A,256,8.3,608,19.6
88,Florida St.,89,33,2212,67,2258,68.4,-1.4,54.5,508,694,21.0,73.2,1708,51.8,44.3,549,16.6,34.6,37.2,377,11.4,479,14.5,1023,31,1106,33.5,-2.5,#N/A,207,6.3,585,17.7
89,Fordham,90,31,1997,64.4,2353,75.9,-11.5,22.6,393,583,18.8,67.4,1785,57.6,40.2,540,17.4,31.1,35.2,377,12.2,486,15.7,1165,37.6,1096,35.4,2.2,#N/A,153,4.9,630,20.3
90,Fort Wayne,91,33,2213,67.1,2178,66,1.1,48.5,437,681,20.6,64.2,1771,53.7,43.9,620,18.8,35.8,32.3,413,12.5,449,13.6,1119,33.9,1022,31,2.9,#N/A,250,7.6,583,17.7
91,Fresno St.,92,30,1798,59.9,1829,61,-1,36.7,396,593,19.8,66.8,1566,52.2,39,523,17.4,34.8,29.1,275,9.2,348,11.6,969,32.3,1078,35.9,-3.6,#N/A,216,7.2,582,19.4
92,Furman,93,31,1869,60.3,2180,70.3,-10,22.6,392,568,18.3,69,1580,51.0,40.8,565,18.2,33.5,38,340,11,451,14.5,974,31.4,1077,34.7,-3.3,#N/A,164,5.3,483,15.6
93,Ga. Southern,94,33,2050,62.1,2148,65.1,-3,42.4,423,615,18.6,68.8,1721,52.2,41.9,542,16.4,34.1,31.9,318,9.6,435,13.2,1057,32,1122,34,-2,#N/A,227,6.9,600,18.2
94,Gardner-Webb,95,33,2174,65.9,1997,60.5,5.4,63.6,454,634,19.2,71.6,1812,54.9,42.3,564,17.1,33,32.2,421,12.8,437,13.2,1168,35.4,1064,32.2,3.2,#N/A,259,7.8,565,17.1
95,George Mason,96,32,2136,66.8,2064,64.5,2.3,56.3,427,596,18.6,71.6,1764,55.1,43.7,479,15.0,34.9,34,392,12.3,424,13.3,1098,34.3,1072,33.5,0.8,#N/A,235,7.3,658,20.6
96,George Washington,97,30,1988,66.3,1966,65.5,0.7,43.3,440,670,22.3,65.7,1660,55.3,44.1,nan,0.0,nan,36,403,13.4,479,16,1129,37.6,973,32.4,5.2,#N/A,233,7.8,528,17.6
97,Georgetown,98,31,2002,64.6,1728,55.7,8.8,80.6,394,579,18.7,68,1563,50.4,45.6,509,16.4,35.8,30.5,459,14.8,393,12.7,1021,32.9,984,31.7,1.2,#N/A,234,7.5,523,16.9
98,Georgia,99,32,1946,60.8,1971,61.6,-0.8,46.9,486,700,21.9,69.4,1557,48.7,40.8,526,16.4,35.7,32.9,371,11.6,466,14.6,1132,35.4,1054,32.9,2.4,#N/A,180,5.6,541,16.9
99,Georgia St.,100,31,2114,68.2,2075,66.9,1.3,48.4,417,586,18.9,71.2,1685,54.4,43.9,611,19.7,35.8,36.7,362,11.7,358,11.5,985,31.8,1044,33.7,-1.9,#N/A,240,7.7,532,17.2
100,Georgia Tech,101,31,1993,64.3,1933,62.4,1.9,51.6,318,501,16.2,63.5,1791,57.8,41.9,544,17.5,31.8,32.3,394,12.7,399,12.9,1155,37.3,1069,34.5,2.8,#N/A,182,5.9,517,16.7
101,Gonzaga,102,33,2562,77.6,1961,59.4,18.2,93.9,518,733,22.2,70.7,1820,55.2,50.4,566,17.2,37.1,32,503,15.2,370,11.2,1231,37.3,988,29.9,7.4,#N/A,263,8,518,15.7
102,Grambling,103,28,1391,49.7,2138,76.4,-26.7,0,210,358,12.8,58.7,1436,51.3,36.1,458,16.4,31.2,37.8,290,10.4,491,17.5,874,31.2,1074,38.4,-7.1,#N/A,123,4.4,492,17.6
103,Grand Canyon,104,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,nan,0.0,nan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
104,Green Bay,105,33,2178,66,2067,62.6,3.4,54.5,518,690,20.9,75.1,1711,51.8,43.8,0,0.0,0,34.4,437,13.2,444,13.5,1155,35,997,30.2,4.8,#N/A,196,5.9,564,17.1
105,Hampton,106,31,1936,62.5,1983,64,-1.5,45.2,445,668,21.5,66.6,1731,55.8,39.2,nan,0.0,nan,30.6,352,11.4,527,17,1196,38.6,1149,37.1,1.5,#N/A,231,7.5,635,20.5
106,Hartford,107,30,1809,60.3,1835,61.2,-0.9,56.7,328,473,15.8,69.3,1527,50.9,40.9,686,22.9,34,33.7,373,12.4,427,14.2,894,29.8,1018,33.9,-4.1,#N/A,247,8.2,568,18.9
107,Harvard,108,28,1930,68.9,1788,63.9,5.1,67.9,474,658,23.5,72,1326,47.4,48.2,444,15.9,40.1,32.5,370,13.2,378,13.5,823,29.4,852,30.4,-1,#N/A,208,7.4,423,15.1
108,Hawaii,109,31,2271,73.3,2236,72.1,1.1,54.8,453,660,21.3,68.6,1800,58.1,45.2,546,17.6,34.8,36.3,431,13.9,447,14.4,1200,38.7,1023,33,5.7,#N/A,164,5.3,522,16.8
109,High Point,110,30,2150,71.7,1972,65.7,5.9,56.7,416,579,19.3,71.8,1779,59.3,45,0,0.0,0,32.6,443,14.8,365,12.2,1115,37.2,1032,34.4,2.8,#N/A,221,7.4,559,18.6
110,Hofstra,111,32,1873,58.5,2132,66.6,-8.1,21.9,416,664,20.8,62.7,1719,53.7,38.3,nan,0.0,nan,30.7,312,9.8,463,14.5,1110,34.7,1150,35.9,-1.3,#N/A,203,6.3,538,16.8
111,Holy Cross,112,30,1834,61.1,1929,64.3,-3.2,40,351,466,15.5,75.3,1555,51.8,41.4,571,19.0,34.2,31.8,366,12.2,372,12.4,1002,33.4,1001,33.4,0,#N/A,116,3.9,513,17.1
112,Houston,113,31,2421,78.1,2260,72.9,5.2,61.3,527,739,23.8,71.3,1829,59.0,46.6,514,16.6,37,31.4,465,15,407,13.1,1191,38.4,1091,35.2,3.2,#N/A,210,6.8,562,18.1
113,Houston Baptist,114,31,1982,63.9,2080,67.1,-3.2,45.2,417,627,20.2,66.5,1720,55.5,41.4,nan,0.0,nan,31,349,11.3,534,17.2,1113,35.9,1089,35.1,0.8,#N/A,215,6.9,613,19.8
114,Howard,115,31,1615,52.1,1868,60.3,-8.2,22.6,370,558,18.0,66.3,1567,50.5,36.5,nan,0.0,nan,33.3,275,8.9,461,14.9,1053,34,1052,33.9,0,#N/A,196,6.3,538,17.4
115,Idaho,116,30,2050,68.3,2079,69.3,-1,40,428,576,19.2,74.3,1532,51.1,46.7,522,17.4,36.8,35.5,394,13.1,404,13.5,1030,34.3,886,29.5,4.8,#N/A,123,4.1,499,16.6
116,Idaho St.,117,30,1710,57,1928,64.3,-7.3,20,373,548,18.3,68.1,1444,48.1,40.7,515,17.2,31.7,37.4,307,10.2,361,12,855,28.5,1033,34.4,-5.9,#N/A,209,7,473,15.8
117,Ill.-Chicago,118,32,2005,62.7,2002,62.6,0.1,53.1,439,584,18.3,75.2,1707,53.3,39.8,621,19.4,33.2,32.6,388,12.1,386,12.1,1070,33.4,1130,35.3,-1.9,#N/A,215,6.7,536,16.8
118,Illinois,119,34,2349,69.1,2220,65.3,3.8,64.7,446,615,18.1,72.5,1971,58.0,41.6,815,24.0,32.5,34.3,348,10.2,391,11.5,1140,33.5,1185,34.9,-1.3,#N/A,235,6.9,619,18.2
119,Illinois St.,120,33,2460,74.5,2265,68.6,5.9,54.5,476,658,19.9,72.3,1914,58.0,45.5,697,21.1,34.7,33.4,490,14.8,431,13.1,1159,35.1,1191,36.1,-1,#N/A,239,7.2,599,18.2
120,Incarnate Word,121,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,nan,0.0,nan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
121,Indiana,122,33,2640,80,2061,62.5,17.5,81.8,625,839,25.4,74.5,1824,55.3,48.6,586,17.8,41.1,30.6,480,14.5,429,13,1274,38.6,1019,30.9,7.7,#N/A,247,7.5,564,17.1
122,Indiana St.,123,32,2107,65.8,2096,65.5,0.3,56.3,497,706,22.1,70.4,1659,51.8,43,562,17.6,32.4,32.7,378,11.8,411,12.8,1084,33.9,1091,34.1,-0.2,#N/A,178,5.6,566,17.7
123,Iona,124,33,2663,80.7,2500,75.8,4.9,60.6,520,668,20.2,77.8,2041,61.8,45.7,743,22.5,37.3,37.3,510,15.5,402,12.2,1189,36,1184,35.9,0.2,#N/A,218,6.6,564,17.1
124,Iowa,125,33,2322,70.4,2075,62.9,7.5,63.6,575,792,24.0,72.6,1865,56.5,42.2,577,17.5,30,29,500,15.2,421,12.8,1299,39.4,1147,34.8,4.6,#N/A,229,6.9,563,17.1
125,Iowa St.,126,33,2628,79.6,2350,71.2,8.4,66.7,483,661,20.0,73.1,2000,60.6,45.5,878,26.6,37,30.7,527,16,438,13.3,1278,38.7,1122,34,4.7,#N/A,215,6.5,560,17
126,IUPUI,127,32,2096,65.5,2451,76.6,-11.1,18.8,294,439,13.7,67,1785,55.8,44.3,621,19.4,35.7,38.2,420,13.1,406,12.7,930,29.1,1159,36.2,-7.2,#N/A,177,5.5,506,15.8
127,Jackson St.,128,29,1920,66.2,2073,71.5,-5.3,37.9,445,637,22.0,69.9,1659,57.2,39,580,20.0,31.2,31.5,275,9.5,370,12.8,930,32.1,1117,38.5,-6.4,#N/A,241,8.3,568,19.6
128,Jacksonville,129,32,2181,68.2,2300,71.9,-3.7,43.8,467,664,20.8,70.3,1831,57.2,42.3,512,16.0,32.4,33.8,414,12.9,488,15.3,1154,36.1,1137,35.5,0.5,#N/A,215,6.7,615,19.2
129,Jacksonville St.,130,28,1857,66.3,1817,64.9,1.4,60.7,424,625,22.3,67.8,1433,51.2,44.5,450,16.1,35.3,30.8,363,13,365,13,805,28.8,944,33.7,-5,#N/A,237,8.5,472,16.9
130,James Madison,131,34,2216,65.2,2188,64.4,0.8,58.8,489,698,20.5,70.1,1823,53.6,42,585,17.2,33.3,35,399,11.7,380,11.2,1112,32.7,1164,34.2,-1.5,#N/A,268,7.9,583,17.1
131,Kansas,132,34,2563,75.4,2090,61.5,13.9,85.3,548,748,22.0,73.3,1886,55.5,48,558,16.4,36.7,30.7,532,15.6,465,13.7,1330,39.1,1104,32.5,6.6,#N/A,244,7.2,577,17
132,Kansas St.,133,34,2353,69.2,2052,60.4,8.9,79.4,423,614,18.1,68.9,1945,57.2,43.6,645,19.0,36.3,31.5,545,16,394,11.6,1199,35.3,1090,32.1,3.2,#N/A,241,7.1,617,18.1
133,Kennesaw St.,134,30,1831,61,2150,71.7,-10.6,10,391,601,20.0,65.1,1609,53.6,40,502,16.7,30.3,38.2,312,10.4,414,13.8,913,30.4,1032,34.4,-4,#N/A,211,7,603,20.1
134,Kent St.,135,33,2352,71.3,2229,67.5,3.7,60.6,551,776,23.5,71,1803,54.6,43.5,634,19.2,36.4,31.2,386,11.7,427,12.9,1154,35,1124,34.1,0.9,#N/A,228,6.9,646,19.6
135,Kentucky,136,32,2339,73.1,2068,64.6,8.5,65.6,473,739,23.1,64,1775,55.5,47.4,522,16.3,34.9,32.5,434,13.6,416,13,1224,38.3,1088,34,4.3,#N/A,184,5.8,549,17.2
136,La Salle,137,30,2173,72.4,1979,66,6.5,70,401,543,18.1,73.8,1722,57.4,44.8,615,20.5,37.1,29.9,431,14.4,351,11.7,951,31.7,1040,34.7,-3,#N/A,242,8.1,459,15.3
137,La.-Monroe,138,27,1621,60,1959,72.6,-12.5,14.8,256,444,16.4,57.7,1409,52.2,42.7,462,17.1,34.8,36.2,367,13.6,439,16.3,798,29.6,937,34.7,-5.1,#N/A,194,7.2,498,18.4
138,Lafayette,139,34,2349,69.1,2346,69,0.1,55.9,389,516,15.2,75.4,1842,54.2,45.7,718,21.1,38.4,36.2,486,14.3,424,12.5,1014,29.8,1149,33.8,-4,#N/A,231,6.8,530,15.6
139,Lamar University,140,31,1862,60.1,2398,77.4,-17.3,9.7,385,548,17.7,70.3,1741,56.2,40.8,nan,0.0,nan,35.8,353,11.4,564,18.2,1138,36.7,1158,37.4,-0.6,#N/A,133,4.3,508,16.4
140,Lehigh,141,30,2200,73.3,1955,65.2,8.2,70,443,602,20.1,73.6,1653,55.1,46.2,587,19.6,39.4,28.8,444,14.8,329,11,987,32.9,1080,36,-3.1,#N/A,212,7.1,462,15.4
141,Liberty,142,35,2417,69.1,2446,69.9,-0.8,42.9,546,752,21.5,72.6,1900,54.3,42.9,646,18.5,37.3,30,428,12.2,468,13.4,1248,35.7,1271,36.3,-0.7,#N/A,193,5.5,668,19.1
142,Lipscomb,143,30,2079,69.3,2300,76.7,-7.4,40,486,754,25.1,64.5,1690,56.3,42.4,497,16.6,32,33.5,345,11.5,504,16.8,1146,38.2,1052,35.1,3.1,#N/A,209,7,657,21.9
143,Little Rock,144,32,2127,66.5,2132,66.6,-0.2,53.1,501,741,23.2,67.6,1736,54.3,42.2,481,15.0,33.7,33.3,372,11.6,488,15.3,1097,34.3,1119,35,-0.7,#N/A,215,6.7,632,19.8
144,LIU Brooklyn,145,33,2622,79.5,2521,76.4,3.1,60.6,591,857,26.0,69,1849,56.0,48.4,631,19.1,38.5,37.3,504,15.3,475,14.4,1168,35.4,1108,33.6,1.8,#N/A,225,6.8,585,17.7
145,Long Beach St.,146,32,2225,69.5,2248,70.3,-0.7,59.4,427,652,20.4,65.5,1773,55.4,44.6,640,20.0,34.1,36.1,388,12.1,472,14.8,1127,35.2,1148,35.9,-0.7,#N/A,205,6.4,550,17.2
146,Longwood,147,33,2270,68.8,2687,81.4,-12.6,24.2,421,593,18.0,71,1898,57.5,44.3,524,15.9,31.9,38.5,459,13.9,548,16.6,1097,33.2,1199,36.3,-3.1,#N/A,226,6.8,592,17.9
147,Louisiana,148,33,2337,70.8,2413,73.1,-2.3,39.4,457,681,20.6,67.1,1935,58.6,42.7,663,20.1,34.1,35,367,11.1,466,14.1,1128,34.2,1280,38.8,-4.6,#N/A,235,7.1,622,18.8
148,Louisiana Tech,149,32,2347,73.3,2022,63.2,10.2,81.3,479,686,21.4,69.8,1978,61.8,41,750,23.4,32.8,29.4,436,13.6,391,12.2,1233,38.5,1229,38.4,0.1,#N/A,290,9.1,590,18.4
149,Louisville,150,34,2501,73.6,1971,58,15.6,85.3,545,766,22.5,71.1,1974,58.1,44.5,599,17.6,33.1,31.2,510,15,431,12.7,1275,37.5,1154,33.9,3.6,#N/A,365,10.7,603,17.7
150,Loyola Chicago,151,31,1995,64.4,1934,62.4,2,48.4,395,550,17.7,71.8,1586,51.2,44.6,505,16.3,36.4,33.7,430,13.9,408,13.2,1030,33.2,947,30.5,2.7,#N/A,157,5.1,480,15.5
151,Loyola Maryland,152,32,2140,66.9,2029,63.4,3.5,65.6,489,716,22.4,68.3,1758,54.9,43.2,0,0.0,0,30.4,383,12,378,11.8,1102,34.4,1082,33.8,0.6,#N/A,233,7.3,590,18.4
152,Loyola Marymount,153,34,2202,64.8,2338,68.8,-4,32.4,466,663,19.5,70.3,1915,56.3,40.2,599,17.6,33.1,37.7,367,10.8,450,13.2,1196,35.2,1190,35,0.2,#N/A,246,7.2,629,18.5
153,LSU,154,31,2194,70.8,2138,69,1.8,61.3,384,614,19.8,62.5,1839,59.3,42.8,658,21.2,35.6,31.5,442,14.3,445,14.4,1150,37.1,1166,37.6,-0.5,#N/A,282,9.1,584,18.8
154,Maine,155,30,1988,66.3,2091,69.7,-3.4,36.7,366,559,18.6,65.5,1688,56.3,43.4,530,17.7,29.4,35.5,384,12.8,450,15,1117,37.2,1088,36.3,1,#N/A,209,7,547,18.2
155,Manhattan,156,32,1865,58.3,1916,59.9,-1.6,43.8,456,689,21.5,66.2,1506,47.1,40.8,537,16.8,33.7,34.9,341,10.7,518,16.2,1027,32.1,1038,32.4,-0.3,#N/A,212,6.6,674,21.1
156,Marist,157,31,2045,66,2191,70.7,-4.7,32.3,428,661,21.3,64.8,1670,53.9,42.5,569,18.4,34.6,36.8,396,12.8,443,14.3,1018,32.8,1152,37.2,-4.3,#N/A,194,6.3,530,17.1
157,Marquette,158,31,2139,69,1945,62.7,6.3,74.2,487,674,21.7,72.3,1629,52.5,46.7,0,0.0,0,31.8,445,14.4,422,13.6,1084,35,949,30.6,4.4,#N/A,209,6.7,526,17
158,Marshall,159,32,2208,69,2327,72.7,-3.7,40.6,476,796,24.9,59.8,1796,56.1,42.7,646,20.2,30.7,37,448,14,506,15.8,1214,37.9,1168,36.5,1.4,#N/A,207,6.5,617,19.3
159,Maryland,160,34,2422,71.2,2183,64.2,7,64.7,452,668,19.6,67.7,1914,56.3,46.3,584,17.2,33.6,30.3,505,14.9,504,14.8,1388,40.8,1084,31.9,8.9,#N/A,170,5,567,16.7
