,Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
326,Vermont,327,32,2030,63.4,1877,58.7,4.8,65.6,507,714,22.3,71,1567,49.0,43.8,0,0.0,0,32.5,360,11.3,405,12.7,1099,34.3,957,29.9,4.4,#N/A,213,6.7,514,16.1
327,Villanova,328,33,2236,67.8,2136,64.7,3,60.6,626,870,26.4,72,1698,51.5,41.5,596,18.1,33.6,36.6,407,12.3,517,15.7,1197,36.3,1097,33.2,3,#N/A,254,7.7,629,19.1
328,Virginia,329,32,2049,64,1764,55.1,8.9,65.6,344,482,15.1,71.4,1654,51.7,45.6,507,15.8,38.5,31,449,14,346,10.8,1031,32.2,970,30.3,1.9,#N/A,182,5.7,501,15.7
329,Virginia Tech,330,32,2248,70.3,2393,74.8,-4.5,40.6,484,683,21.3,70.9,1857,58.0,42.6,580,18.1,31.4,34.8,325,10.2,385,12,1145,35.8,1194,37.3,-1.5,#N/A,138,4.3,603,18.8
330,VMI,331,31,2423,78.2,2411,77.8,0.4,45.2,397,604,19.5,65.7,2011,64.9,43.4,869,28.0,32.5,35.4,465,15,410,13.2,1183,38.2,1261,40.7,-2.5,#N/A,250,8.1,538,17.4
331,Wagner,332,31,2136,68.9,2079,67.1,1.8,61.3,492,698,22.5,70.5,1732,55.9,43.6,nan,0.0,nan,35,381,12.3,472,15.2,1153,37.2,1042,33.6,3.6,#N/A,253,8.2,635,20.5
332,Wake Forest,333,31,2093,67.5,2178,70.3,-2.7,41.9,491,722,23.3,68,1652,53.3,43.4,487,15.7,34.5,35.9,352,11.4,445,14.4,1008,32.5,1083,34.9,-2.4,#N/A,220,7.1,562,18.1
333,Washington,334,33,2230,67.6,2195,66.5,1.1,54.5,431,636,19.3,67.8,1864,56.5,43.6,506,15.3,34.2,34.3,387,11.7,439,13.3,1203,36.5,1058,32.1,4.4,#N/A,170,5.2,566,17.2
334,Washington St.,335,32,2061,64.4,2015,63,1.4,40.6,395,574,17.9,68.8,1681,52.5,42.7,669,20.9,34.7,34.8,392,12.3,385,12,1067,33.3,1004,31.4,2,#N/A,144,4.5,488,15.3
335,Weber St.,336,32,2421,75.7,1968,61.5,14.2,81.3,489,676,21.1,72.3,1691,52.8,50.5,535,16.7,41.9,28.6,434,13.6,404,12.6,1155,36.1,946,29.6,6.5,#N/A,170,5.3,548,17.1
336,West Virginia,337,32,2116,66.1,2178,68.1,-1.9,40.6,501,721,22.5,69.5,1769,55.3,40.8,541,16.9,31.6,38.1,396,12.4,417,13,1121,35,1082,33.8,1.2,#N/A,234,7.3,626,19.6
337,Western Caro.,338,33,2288,69.3,2299,69.7,-0.3,42.4,425,604,18.3,70.4,1925,58.3,43,611,18.5,33.9,32.2,373,11.3,429,13,1141,34.6,1162,35.2,-0.6,#N/A,250,7.6,652,19.8
338,Western Ill.,339,30,1778,59.3,1582,52.7,6.5,73.3,358,558,18.6,64.2,1362,45.4,46.5,397,13.2,38.8,33,356,11.9,342,11.4,916,30.5,873,29.1,1.4,#N/A,173,5.8,379,12.6
339,Western Ky.,340,35,2352,67.2,2300,65.7,1.5,57.1,497,737,21.1,67.4,1893,54.1,43.1,689,19.7,32.4,32.7,392,11.2,527,15.1,1266,36.2,1154,33,3.2,#N/A,214,6.1,667,19.1
