Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,32,2552,79.8,2226,69.6,10.2,81.3,582,822,18.2,70.8,1701,53.2,52.4,466,14.6,39.9,0,579,18.094,520,16.25,1139,35.6,930,29.1,6.5,0,252,7.9,605,18.9
Air Force,3,31,2137,68.9,1738,56.1,12.9,74.2,424,560,13.7,75.7,1457,47.0,49.1,696,22.5,40.7,0,472,15.226,319,10.29,851,27.5,901,29.1,-1.6,0,205,6.6,464,15
Akron,4,33,2485,75.3,2014,61,14.3,78.8,440,657,13.3,67,1857,56.3,48.5,624,18.9,39.3,0,503,15.242,414,12.545,1159,35.1,1081,32.8,2.4,0,267,8.1,611,18.5
Alabama,5,31,2282,73.6,2134,68.8,4.8,64.5,456,644,14.7,70.8,1776,57.3,45.8,542,17.5,36.9,0,407,13.129,424,13.677,1200,38.7,1074,34.6,4.1,0,173,5.6,435,14
Alabama A&M,6,30,1856,61.9,2052,68.4,-6.5,33.3,400,633,13.3,63.2,1690,56.3,38.6,555,18.5,27,0,324,10.8,539,17.967,1071,35.7,1324,44.1,-8.4,0,224,7.5,600,20
Alabama St.,7,30,1826,60.9,2007,66.9,-6,33.3,447,690,14.9,64.8,1650,55.0,36.4,580,19.3,30.5,0,283,9.4333,421,14.033,1031,34.4,1123,37.4,-3.1,0,183,6.1,607,20.2
Albany (NY),8,32,2184,68.3,2063,64.5,3.8,71.9,413,572,12.9,72.2,1704,53.3,45.5,581,18.2,37.7,0,420,13.125,428,13.375,1087,34,977,30.5,3.4,0,189,5.9,615,19.2
Alcorn,9,30,2012,67.1,2265,75.5,-8.4,36.7,456,678,15.2,67.3,1706,56.9,41.3,0,0.0,0,0,283,9.4333,561,18.7,1077,35.9,1108,36.9,-1,0,196,6.5,719,24
American,10,30,1945,64.8,1865,62.2,2.7,53.3,417,572,13.9,72.9,1584,52.8,42.8,502,16.7,34.3,0,404,13.467,414,13.8,1037,34.6,969,32.3,2.3,0,173,5.8,563,18.8
Appalachian St.,11,32,2449,76.5,2166,67.7,8.8,78.1,418,606,13.1,69,1850,57.8,48.2,673,21.0,36.7,0,504,15.75,473,14.781,1113,34.8,1064,33.3,1.5,0,271,8.5,578,18.1
Arizona,12,30,2354,78.5,2175,72.5,6,66.7,536,719,17.9,74.5,1719,57.3,48,490,16.3,34.3,0,495,16.5,410,13.667,1126,37.5,945,31.5,6,0,183,6.1,402,13.4
Arizona St.,13,30,1755,58.5,1853,61.8,-3.3,26.7,293,447,9.8,65.5,1535,51.2,41.2,616,20.5,31.8,0,392,13.067,434,14.467,975,32.5,917,30.6,1.9,0,181,6,538,17.9
Ark.-Pine Bluff,14,31,1862,60.1,2022,65.2,-5.2,38.7,367,587,11.8,62.5,1750,56.5,39.4,0,0.0,0,0,300,9.6774,486,15.677,1161,37.5,1205,38.9,-1.4,0,198,6.4,578,18.6
Arkansas,15,34,2427,71.4,2234,65.7,5.7,61.8,498,710,14.6,70.1,1853,54.5,46.4,593,17.4,35.2,0,516,15.176,521,15.324,1207,35.5,1109,32.6,2.9,0,235,6.9,592,17.4
Arkansas St.,16,33,2392,72.5,2375,72,0.5,54.5,489,718,14.8,68.1,1820,55.2,45.7,608,18.4,39.6,0,457,13.848,508,15.394,1176,35.6,1210,36.7,-1,0,196,5.9,653,19.8
Army West Point,17,31,1896,61.2,1892,61,0.1,48.4,381,547,12.3,69.7,1535,49.5,43.3,473,15.3,39.5,0,412,13.29,501,16.161,971,31.3,986,31.8,-0.5,0,221,7.1,593,19.1
Auburn,18,32,2340,73.1,2307,72.1,1,53.1,403,639,12.6,63.1,1876,58.6,45.4,701,21.9,33.5,0,532,16.625,526,16.438,1164,36.4,1140,35.6,0.8,0,270,8.4,613,19.2
Austin Peay,19,32,2259,70.6,2136,66.8,3.8,65.6,499,731,15.6,68.3,1733,54.2,45,571,17.8,35.4,0,427,13.344,422,13.188,1064,33.3,1078,33.7,-0.4,0,248,7.8,557,17.4
Ball St.,20,31,1848,59.6,1974,63.7,-4.1,29,433,623,14.0,69.5,1676,54.1,38.5,0,0.0,0,0,320,10.323,419,13.516,1012,32.6,1036,33.4,-0.8,0,242,7.8,644,20.8
Baylor,21,31,2333,75.3,2262,73,2.3,48.4,431,641,13.9,67.2,1793,57.8,46,694,22.4,36.3,0,434,14,451,14.548,1123,36.2,1055,34,2.2,0,184,5.9,625,20.2
Belmont,22,32,2335,73,2048,64,9,71.9,397,570,12.4,69.6,1780,55.6,46.5,785,24.5,35.9,0,503,15.719,516,16.125,1198,37.4,1100,34.4,3.1,0,195,6.1,589,18.4
Bethune-Cookman,23,30,1631,54.4,1925,64.2,-9.8,30,339,553,11.3,61.3,1485,49.5,38.9,0,0.0,0,0,321,10.7,485,16.167,950,31.7,1000,33.3,-1.7,0,198,6.6,574,19.1
Binghamton,24,29,1905,65.7,1918,66.1,-0.4,44.8,345,505,11.9,68.3,1592,54.9,42.3,611,21.1,35,0,302,10.414,416,14.345,966,33.3,1021,35.2,-1.9,0,216,7.4,586,20.2
Boise St.,25,31,2360,76.1,2234,72.1,4.1,54.8,466,705,15.0,66.1,1828,59.0,45.8,649,20.9,33.9,0,457,14.742,475,15.323,1190,38.4,1127,36.4,2,0,208,6.7,538,17.4
Boston College,26,31,2314,74.6,2166,69.9,4.8,64.5,550,760,17.7,72.4,1651,53.3,47.9,521,16.8,34.9,0,458,14.774,438,14.129,1074,34.6,1022,33,1.7,0,179,5.8,478,15.4
Boston U.,27,30,1802,60.1,1801,60,0,40,350,517,11.7,67.7,1480,49.3,42,577,19.2,36,0,343,11.433,425,14.167,959,32,956,31.9,0.1,0,162,5.4,573,19.1
Bowling Green,28,31,2062,66.5,2137,68.9,-2.4,41.9,393,581,12.7,67.6,1661,53.6,43.9,597,19.3,35,0,453,14.613,440,14.194,999,32.2,1139,36.7,-4.5,0,230,7.4,717,23.1
Bradley,29,33,2454,74.4,2296,69.6,4.8,63.6,381,569,11.5,67,1874,56.8,46.4,784,23.8,42.7,0,511,15.485,365,11.061,967,29.3,1196,36.2,-6.9,0,266,8.1,616,18.7
Brown,30,29,1759,60.7,1840,63.4,-2.8,37.9,477,643,16.4,74.2,1250,43.1,43.1,552,19.0,37,0,357,12.31,447,15.414,759,26.2,929,32,-5.9,0,209,7.2,534,18.4
Bucknell,32,31,1965,63.4,1791,57.8,5.6,71,453,627,14.6,72.2,1415,45.6,46.8,508,16.4,37,0,427,13.774,456,14.71,953,30.7,797,25.7,5,0,196,6.3,532,17.2
Buffalo,33,31,2109,68,2226,71.8,-3.8,38.7,520,752,16.8,69.1,1734,55.9,41.1,523,16.9,31.5,0,427,13.774,592,19.097,1186,38.3,981,31.6,6.6,0,237,7.6,661,21.3
Butler,34,33,2258,68.4,1886,57.2,11.3,81.8,529,693,16.0,76.3,1644,49.8,43.7,802,24.3,36.5,0,404,12.242,309,9.3636,985,29.8,1023,31,-1.2,0,172,5.2,633,19.2
BYU,35,33,2577,78.1,2268,68.7,9.4,75.8,444,675,13.5,65.8,1914,58.0,49.3,598,18.1,41.3,0,532,16.121,446,13.515,1237,37.5,1026,31.1,6.4,0,203,6.2,639,19.4
Cal Poly,36,30,2265,75.5,2160,72,3.5,63.3,373,583,12.4,64,1733,57.8,46.5,713,23.8,39.3,0,430,14.333,388,12.933,1056,35.2,1092,36.4,-1.2,0,201,6.7,517,17.2
Cal St. Fullerton,37,30,2462,82.1,2291,76.4,5.7,66.7,405,629,13.5,64.4,1973,65.8,45.9,673,22.4,36.7,0,519,17.3,463,15.433,1180,39.3,1112,37.1,2.3,0,204,6.8,584,19.5
California,38,33,2293,69.5,2281,69.1,0.4,48.5,400,520,12.1,76.9,1850,56.1,44.4,693,21.0,35.9,0,447,13.545,385,11.667,1018,30.8,1105,33.5,-2.6,0,151,4.6,559,16.9
Campbell,39,31,2433,78.5,2446,78.9,-0.4,45.2,577,799,18.6,72.2,1806,58.3,44.9,692,22.3,34.1,0,509,16.419,553,17.839,1109,35.8,1181,38.1,-2.3,0,300,9.7,601,19.4
Canisius,40,31,2154,69.5,2249,72.5,-3.1,38.7,388,596,12.5,65.1,1839,59.3,42.2,638,20.6,33.5,0,408,13.161,511,16.484,1149,37.1,1099,35.5,1.6,0,217,7,634,20.5
Centenary (LA),352,31,2125,68.5,2328,75.1,-6.5,32.3,442,617,14.3,71.6,1715,55.3,44,504,16.3,34.7,0,414,13.355,476,15.355,933,30.1,1123,36.2,-6.1,0,247,8,668,21.5
Central Ark.,41,30,1958,65.3,2018,67.3,-2,33.3,411,564,13.7,72.9,1672,55.7,41.3,539,18.0,30.6,0,340,11.333,439,14.633,1105,36.8,1041,34.7,2.1,0,154,5.1,599,20
Central Conn. St.,42,33,2287,69.3,2169,65.7,3.6,66.7,493,678,14.9,72.7,1769,53.6,43.6,662,20.1,38.1,0,416,12.606,469,14.212,1153,34.9,1080,32.7,2.2,0,200,6.1,532,16.1
Central Mich.,43,31,2035,65.6,2182,70.4,-4.7,41.9,520,717,16.8,72.5,1559,50.3,41.9,572,18.5,36.5,0,305,9.8387,543,17.516,978,31.5,965,31.1,0.4,0,233,7.5,741,23.9
Charleston So.,44,30,2043,68.1,2198,73.3,-5.2,26.7,325,509,10.8,63.9,1722,57.4,43.9,607,20.2,33.9,0,423,14.1,470,15.667,1069,35.6,1049,35,0.7,0,209,7,514,17.1
Charlotte,45,30,2101,70,2151,71.7,-1.7,46.7,440,628,14.7,70.1,1736,57.9,40.3,786,26.2,33.2,0,368,12.267,382,12.733,1074,35.8,1008,33.6,2.2,0,164,5.5,588,19.6
Chattanooga,46,33,2261,68.5,2256,68.4,0.2,45.5,464,733,14.1,63.3,1804,54.7,43,726,22.0,34,0,438,13.273,531,16.091,1216,36.8,1095,33.2,3.7,0,179,5.4,580,17.6
