Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FTPG,FT%,FGA,FGPG,FG%,3FGA,3FGPG,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
UCF,303,30,2137,71.2,1863,62.1,9.1,83.3,358,500,16.7,71.6,1680,56,46.2,638,21.3,0,35.6,510,17.0,459,15.3,1096,36.5,952,31.7,4.8,0,273,9.1,552,18.4
UCLA,304,28,1863,66.5,1960,70,-3.5,39.3,340,530,18.9,64.2,1510,53.9,46.2,0,0.0,0,0,404,14.4,442,15.8,965,34.5,923,33,1.5,0,127,4.5,516,18.4
UConn,305,33,2610,79.1,2110,63.9,15.2,81.8,411,667,20.2,61.6,2067,62.6,48.1,527,16.0,0,40,602,18.2,455,13.8,1478,44.8,1165,35.3,9.5,0,203,6.2,535,16.2
UMBC,307,28,1684,60.1,1787,63.8,-3.7,25,303,484,17.3,62.6,1536,54.9,41.3,0,0.0,0,0,364,13.0,398,14.2,962,34.4,987,35.3,-0.9,0,194,6.9,555,19.8
UMES,308,29,1704,58.8,2016,69.5,-10.8,27.6,386,552,19,69.9,1502,51.8,38.2,567,19.6,0,30,232,8.0,440,15.2,932,32.1,1034,35.7,-3.5,0,153,5.3,587,20.2
UMKC,309,29,2145,74,2043,70.4,3.5,51.7,450,650,22.4,69.2,1689,58.2,42.7,712,24.6,0,35.5,408,14.1,360,12.4,984,33.9,1105,38.1,-4.2,0,242,8.3,568,19.6
UNC Asheville,310,29,1827,63,2054,70.8,-7.8,31,301,440,15.2,68.4,1652,57,40.4,606,20.9,0,31.7,399,13.8,448,15.4,966,33.3,1097,37.8,-4.5,0,220,7.6,481,16.6
UNCG,311,28,2043,73,2103,75.1,-2.1,39.3,369,507,18.1,72.8,1650,58.9,45.9,483,17.3,0,33.1,377,13.5,473,16.9,973,34.8,1033,36.9,-2.1,0,236,8.4,525,18.8
UNCW,312,30,1844,61.5,1787,59.6,1.9,50,363,537,17.9,67.6,1584,52.8,40.8,554,18.5,0,33.8,360,12.0,405,13.5,976,32.5,1035,34.5,-2,0,238,7.9,578,19.3
UNI,313,30,2087,69.6,1950,65,4.6,70,470,638,21.3,73.7,1590,53,44.2,603,20.1,0,35.3,395,13.2,378,12.6,1040,34.7,1036,34.5,0.1,0,163,5.4,501,16.7
UNLV,314,30,2225,74.2,2126,70.9,3.3,60,498,708,23.6,70.3,1623,54.1,47.7,494,16.5,0,36.2,444,14.8,451,15.0,1002,33.4,1062,35.4,-2,0,202,6.7,570,19
UT Arlington,316,29,2097,72.3,2036,70.2,2.1,58.6,555,745,25.7,74.5,1518,52.3,46.4,0,0.0,0,0,355,12.2,481,16.6,1007,34.7,919,31.7,3,0,193,6.7,511,17.6
UT Martin,317,28,2037,72.8,2138,76.4,-3.6,35.7,384,570,20.4,67.4,1683,60.1,43.8,564,20.1,0,31.7,439,15.7,441,15.8,1031,36.8,1038,37.1,-0.3,0,229,8.2,539,19.3
Utah,318,32,2083,65.1,1835,57.3,7.8,75,392,546,17.1,71.8,1580,49.4,47.4,488,15.3,0,39.5,414,12.9,455,14.2,1114,34.8,871,27.2,7.6,0,144,4.5,554,17.3
Utah St.,319,28,1935,69.1,1599,57.1,12,89.3,402,560,20,71.8,1342,47.9,51.1,402,14.4,0,40,429,15.3,357,12.8,924,33,735,26.3,6.8,0,147,5.3,401,14.3
UTEP,321,31,2396,77.3,2075,66.9,10.4,77.4,594,793,25.6,74.9,1692,54.6,47.6,496,16.0,0,38.7,510,16.5,431,13.9,1077,34.7,1072,34.6,0.2,0,226,7.3,547,17.6
UTRGV,322,28,2005,71.6,1996,71.3,0.3,50,465,663,23.7,70.1,1649,58.9,40.1,643,23.0,0,33.9,380,13.6,456,16.3,1101,39.3,1051,37.5,1.8,0,224,8,583,20.8
UTSA,323,32,2355,73.6,2296,71.8,1.8,59.4,527,754,23.6,69.9,1833,57.3,43.5,633,19.8,0,36.7,419,13.1,545,17.0,1203,37.6,1173,36.7,0.9,0,243,7.6,620,19.4
Valparaiso,324,30,2168,72.3,2125,70.8,1.4,60,515,729,24.3,70.6,1677,55.9,44.5,512,17.1,0,31.1,466,15.5,487,16.2,1152,38.4,1062,35.4,3,0,204,6.8,672,22.4
Vanderbilt,325,30,2215,73.8,1942,64.7,9.1,70,437,613,20.4,71.3,1721,57.4,44.9,648,21.6,0,36.1,499,16.6,383,12.8,1069,35.6,1022,34.1,1.6,0,227,7.6,534,17.8
VCU,326,30,2124,70.8,1907,63.6,7.2,76.7,363,601,20,60.4,1650,55,47.4,510,17.0,0,38.6,390,13.0,493,16.4,1132,37.7,987,32.9,4.8,0,202,6.7,527,17.6
Vermont,327,30,1992,66.4,1863,62.1,4.3,73.3,370,545,18.2,67.9,1679,56,42.6,585,19.5,0,32.8,437,14.6,377,12.6,1097,36.6,1007,33.6,3,0,211,7,458,15.3
Villanova,328,32,2253,70.4,2199,68.7,1.7,50,461,630,19.7,73.2,1731,54.1,45.3,620,19.4,0,35.8,457,14.3,522,16.3,1149,35.9,1080,33.8,2.2,0,198,6.2,617,19.3
Virginia,329,29,2163,74.6,2184,75.3,-0.7,58.6,471,693,23.9,68,1700,58.6,44.5,542,18.7,0,32.8,420,14.5,410,14.1,1007,34.7,1146,39.5,-4.8,0,205,7.1,579,20
Virginia Tech,330,29,1931,66.6,1962,67.7,-1.1,51.7,391,653,22.5,59.9,1702,58.7,41.1,0,0.0,0,0,384,13.2,387,13.3,1007,34.7,1035,35.7,-1,0,298,10.3,544,18.8
VMI,331,28,1608,57.4,1942,69.4,-11.9,21.4,299,472,16.9,63.3,1471,52.5,40.3,0,0.0,0,0,350,12.5,507,18.1,909,32.5,1013,36.2,-3.7,0,206,7.4,484,17.3
Wagner,332,29,1932,66.6,2024,69.8,-3.2,44.8,429,653,22.5,65.7,1612,55.6,41.3,528,18.2,0,32.4,338,11.7,464,16.0,1189,41,1010,34.8,6.2,0,139,4.8,473,16.3
Wake Forest,333,28,2347,83.8,2118,75.6,8.2,67.9,537,753,26.9,71.3,1692,60.4,47.2,559,20.0,0,38.3,441,15.8,421,15.0,1051,37.5,963,34.4,3.1,0,259,9.3,585,20.9
Washington,334,30,2443,81.4,2347,78.2,3.2,63.3,538,754,25.1,71.4,1847,61.6,46.3,549,18.3,0,35.5,482,16.1,456,15.2,1062,35.4,1072,35.7,-0.3,0,220,7.3,637,21.2
Washington St.,335,29,1678,57.9,1730,59.7,-1.8,44.8,325,434,15,74.9,1466,50.6,40,540,18.6,0,33.5,328,11.3,352,12.1,844,29.1,909,31.3,-2.2,0,176,6.1,504,17.4
Weber St.,336,29,1980,68.3,1927,66.4,1.8,51.7,466,658,22.7,70.8,1489,51.3,44.9,455,15.7,0,38.7,340,11.7,389,13.4,952,32.8,876,30.2,2.6,0,141,4.9,522,18
West Virginia,337,28,1827,65.3,1848,66,-0.8,53.6,341,489,17.5,69.7,1492,53.3,43,588,21.0,0,34.7,405,14.5,367,13.1,881,31.5,1046,37.4,-5.9,0,206,7.4,425,15.2
Western Caro.,338,28,2092,74.7,1966,70.2,4.5,46.4,522,715,25.5,73,1527,54.5,46.5,442,15.8,0,33.9,391,14.0,512,18.3,978,34.9,976,34.9,0.1,0,246,8.8,534,19.1
Western Ill.,339,28,1844,65.9,2204,78.7,-12.9,10.7,435,622,22.2,69.9,1430,51.1,42.9,510,18.2,0,35.9,378,13.5,493,17.6,829,29.6,1008,36,-6.4,0,173,6.2,501,17.9
Western Ky.,340,28,2137,76.3,1989,71,5.3,53.6,415,668,23.9,62.1,1621,57.9,47,534,19.1,0,37.1,405,14.5,428,15.3,1085,38.8,884,31.6,7.2,0,180,6.4,575,20.5
Western Mich.,341,30,2376,79.2,1978,65.9,13.3,86.7,515,715,23.8,72,1777,59.2,46.3,566,18.9,0,38,464,15.5,399,13.3,1141,38,962,32.1,6,0,263,8.8,581,19.4
Wichita St.,342,31,2213,71.4,1985,64,7.4,67.7,479,648,20.9,73.9,1643,53,46.5,555,17.9,0,37.1,508,16.4,466,15.0,1167,37.6,986,31.8,5.8,0,171,5.5,593,19.1
William & Mary,343,28,2007,71.7,2147,76.7,-5,25,442,634,22.6,69.7,1605,57.3,43.3,556,19.9,0,31.5,442,15.8,439,15.7,1033,36.9,963,34.4,2.5,0,173,6.2,547,19.5
Winthrop,344,28,1856,66.3,1782,63.6,2.6,57.1,390,560,20,69.6,1512,54,43.3,484,17.3,0,32.2,363,13.0,401,14.3,953,34,886,31.6,2.4,0,246,8.8,538,19.2
Wisconsin,345,30,2059,68.6,1700,56.7,12,80,461,643,21.4,71.7,1588,52.9,44.8,528,17.6,0,33,402,13.4,298,9.9,989,33,898,29.9,3,0,209,7,462,15.4
Wofford,346,29,2118,73,2266,78.1,-5.1,31,359,582,20.1,61.7,1705,58.8,44.9,643,22.2,0,35.6,474,16.3,529,18.2,1007,34.7,1104,38.1,-3.3,0,238,8.2,602,20.8
Wright St.,347,28,1857,66.3,1890,67.5,-1.2,50,407,580,20.7,70.2,1474,52.6,44.6,0,0.0,0,0,321,11.5,357,12.8,943,33.7,938,33.5,0.2,0,126,4.5,488,17.4
Wyoming,348,28,1959,70,1932,69,1,39.3,417,619,22.1,67.4,1569,56,43.8,501,17.9,0,33.5,327,11.7,418,14.9,1028,36.7,967,34.5,2.2,0,161,5.8,544,19.4
Xavier,349,33,2324,70.4,2058,62.4,8.1,69.7,453,667,20.2,67.9,1836,55.6,44.1,679,20.6,0,37,444,13.5,414,12.5,1171,35.5,1105,33.5,2,0,232,7,551,16.7
Yale,350,27,1788,66.2,1798,66.6,-0.4,44.4,307,459,17,66.9,1426,52.8,46.8,420,15.6,0,34.5,406,15.0,408,15.1,882,32.7,871,32.3,0.4,0,184,6.8,490,18.1
Youngstown St.,351,28,1876,67,2029,72.5,-5.5,28.6,440,648,23.1,67.9,1497,53.5,43.8,0,0.0,0,0,376,13.4,462,16.5,920,32.9,968,34.6,-1.7,0,218,7.8,613,21.9
