,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
238,Robert Morris,239,41.6,1780,32,31.3,,,,645,27.6,33.5,400,12.5,454,14.2,1041,32.5,1253,39.2,-6.6,23.06,265,8.3,553,17.3,2082,65.1,2267,70.8,-5.8
239,Rutgers,240,41.8,1878,32,21.9,435,640,68,503,32,37.3,377,11.8,443,13.8,1113,34.8,1334,41.7,-6.9,24.97,195,6.1,562,17.6,2166,67.7,2571,80.3,-12.7
240,Sacramento St.,241,44.3,1784,31,45.2,421,627,67.1,618,33.8,31.6,nan,nan,367,11.8,1112,35.9,1182,38.1,-2.3,26.13,175,5.6,631,20.4,2210,71.3,2237,72.2,-0.9
241,Sacred Heart,242,43.7,1795,30,40,478,695,68.8,544,31.1,35.9,363,12.1,442,14.7,1128,37.6,1114,37.1,0.5,25,190,6.3,625,20.8,2217,73.9,2336,77.9,-4
242,Saint Francis (PA),243,42.1,1700,30,43.3,460,662,69.5,607,35.9,31.8,356,11.9,379,12.6,1093,36.4,1062,35.4,1,24.8,140,4.7,515,17.2,2110,70.3,2181,72.7,-2.4
243,Saint Joseph's,244,45.4,2038,34,79.4,548,769,71.3,728,32.7,31,514,15.1,344,10.1,1312,38.6,1212,35.6,2.9,28.44,175,5.1,545,16,2638,77.6,2377,69.9,7.7
244,Saint Louis,245,41.9,1726,32,34.4,459,653,70.3,607,32.8,32.8,426,13.3,436,13.6,1045,32.7,1196,37.4,-4.7,25.47,175,5.5,646,20.2,2106,65.8,2305,72,-6.2
245,Saint Mary's (CA),246,50.9,1726,32,84.4,355,509,69.7,687,41.3,33.3,0,0,304,9.5,1126,35.2,936,29.3,5.9,26.16,156,4.9,500,15.6,2397,74.9,1951,61,13.9
246,Saint Peter's,247,42.2,1660,30,46.7,383,582,65.8,560,32.7,34.1,357,11.9,392,13.1,1105,36.8,1015,33.8,3,26.1,167,5.6,528,17.6,1966,65.5,1987,66.2,-0.7
247,Sam Houston St.,248,43.5,1957,33,54.5,517,747,69.2,745,34.2,35.1,nan,nan,383,11.6,1222,37,1127,34.2,2.9,25.73,182,5.5,727,22,2474,75,2346,71.1,3.9
248,Samford,249,45.5,1857,33,42.4,573,798,71.8,548,32.3,36.2,435,13.2,455,13.8,1143,34.6,1157,35.1,-0.4,24.15,226,6.8,691,20.9,2440,73.9,2442,74,-0.1
249,San Diego,250,39,1614,30,30,370,559,66.2,673,28.5,36.1,328,10.9,410,13.7,995,33.2,1081,36,-2.9,23.53,139,4.6,640,21.3,1822,60.7,2074,69.1,-8.4
250,San Diego St.,251,42,1852,34,73.5,562,817,68.8,617,31.9,30.1,360,10.6,426,12.5,1318,38.8,1125,33.1,5.7,27.03,192,5.6,590,17.4,2315,68.1,2049,60.3,7.8
251,San Francisco,252,43.9,1839,30,50,480,708,67.8,659,35.4,38.6,371,12.4,378,12.6,1181,39.4,1096,36.5,2.8,26.43,162,5.4,621,20.7,2329,77.6,2362,78.7,-1.1
252,San Jose St.,253,42.4,1782,31,29,462,701,65.9,689,30.8,35.2,449,14.5,428,13.8,1130,36.5,1132,36.5,-0.1,25.9,186,6,687,22.2,2186,70.5,2290,73.9,-3.4
253,Santa Clara,254,41,1740,31,35.5,425,592,71.8,674,34.4,34.6,382,12.3,350,11.3,1047,33.8,1144,36.9,-3.1,24.77,134,4.3,613,19.8,2083,67.2,2272,73.3,-6.1
254,Savannah St.,255,39.8,1637,31,51.6,431,659,65.4,623,31.5,34.7,323,10.4,458,14.8,998,32.2,1113,35.9,-3.7,22.84,188,6.1,621,20,1931,62.3,2092,67.5,-5.2
255,Seattle U,256,,,30,46.7,,,,510,35.7,33.7,393,13.1,471,15.7,1101,36.7,1024,34.1,2.6,25.33,182,6.1,543,18.1,1952,65.1,2004,66.8,-1.7
256,Seton Hall,257,45,1937,33,75.8,524,787,66.6,573,35.3,31.6,447,13.5,457,13.8,1321,40,1185,35.9,4.1,27.15,240,7.3,616,18.7,2470,74.8,2237,67.8,7.1
257,SFA,258,48.4,1915,32,84.4,477,653,73,691,36.8,32.3,605,18.9,398,12.4,1130,35.3,1020,31.9,3.4,23.44,290,9.1,660,20.6,2583,80.7,2021,63.2,17.6
258,Siena,259,46.5,1937,33,63.6,573,792,72.3,565,36.5,32.1,477,14.5,527,16,1336,40.5,1062,32.2,8.3,26.88,202,6.1,697,21.1,2579,78.2,2408,73,5.2
259,SIUE,260,39.8,1591,28,21.4,413,587,70.4,519,30.4,37.2,303,10.8,377,13.5,999,35.7,981,35,0.6,23.57,138,4.9,619,22.1,1839,65.7,2068,73.9,-8.2
260,SMU,261,49.7,1727,30,83.3,409,584,70,462,42,33.1,528,17.6,372,12.4,1183,39.4,878,29.3,10.2,26.23,182,6.1,472,15.7,2319,77.3,1903,63.4,13.9
261,South Ala.,262,40.9,1917,33,42.4,503,747,67.3,660,32.3,31.9,350,10.6,483,14.6,1228,37.2,1262,38.2,-1,25.39,221,6.7,665,20.2,2284,69.2,2426,73.5,-4.3
262,South Carolina,263,42.7,1921,32,75,587,861,68.2,574,35.2,35,424,13.3,445,13.9,1311,41,1101,34.4,6.6,26.69,221,6.9,646,20.2,2429,75.9,2208,69,6.9
263,South Carolina St.,264,45.2,1894,33,57.6,503,696,72.3,571,34.3,34.7,422,12.8,385,11.7,1109,33.6,1147,34.8,-1.2,23.55,150,4.5,632,19.2,2411,73.1,2407,72.9,0.1
264,South Dakota,265,46.7,1954,32,43.8,418,596,70.1,565,35.6,38.9,492,15.4,388,12.1,1077,33.7,1179,36.8,-3.2,24.63,209,6.5,662,20.7,2443,76.3,2537,79.3,-2.9
265,South Dakota St.,266,45.3,1836,32,78.1,549,744,73.8,669,35.7,33,364,11.4,381,11.9,1212,37.9,1047,32.7,5.2,26.72,160,5,636,19.9,2450,76.6,2178,68.1,8.5
266,South Fla.,267,41.8,1852,33,24.2,404,612,66,465,28.6,31.9,331,10,485,14.7,1271,38.5,1192,36.1,2.4,26,150,4.5,588,17.8,2085,63.2,2352,71.3,-8.1
267,Southeast Mo. St.,268,40.9,1711,29,17.2,392,612,64.1,513,30,35,358,12.3,402,13.9,1023,35.3,1104,38.1,-2.8,24.03,218,7.5,514,17.7,1944,67,2252,77.7,-10.6
268,Southeastern La.,269,45.3,1833,33,36.4,441,694,63.5,649,37.1,37.4,nan,nan,504,15.3,1140,34.5,1192,36.1,-1.6,24.36,211,6.4,688,20.8,2344,71,2489,75.4,-4.4
269,Southern California,270,45.8,2085,33,63.6,500,737,67.8,675,38.5,32.3,0,0,403,12.2,1302,39.5,1249,37.8,1.6,27.45,209,6.3,576,17.5,2668,80.8,2467,74.8,6.1
270,Southern Ill.,271,45.3,1827,32,68.8,492,718,68.5,618,34.3,31.8,369,11.5,438,13.7,1135,35.5,1038,32.4,3,24.31,232,7.3,686,21.4,2360,73.8,2229,69.7,4.1
271,Southern Miss.,272,40.9,1496,29,27.6,385,540,71.3,721,35.6,35.6,353,12.2,388,13.4,920,31.7,1026,35.4,-3.7,23.86,156,5.4,543,18.7,1866,64.3,2045,70.5,-6.2
272,Southern U.,273,44.6,1990,34,64.7,497,743,66.9,590,35.3,31.7,372,10.9,382,11.2,1224,36,1282,37.7,-1.7,25.53,255,7.5,660,19.4,2479,72.9,2347,69,3.9
273,Southern Utah,274,43.6,1621,29,17.2,426,598,71.2,550,36.4,42.1,338,11.7,381,13.1,878,30.3,1052,36.3,-6,22.07,163,5.6,602,20.8,2040,70.3,2388,82.3,-12
274,St. Bonaventure,275,44.6,1764,30,73.3,515,667,77.2,656,37.7,31.9,408,13.6,345,11.5,1069,35.6,1098,36.6,-1,24.63,177,5.9,587,19.6,2334,77.8,2185,72.8,5
275,St. Francis Brooklyn,276,39.7,1787,32,46.9,435,652,66.7,776,30.9,33,nan,nan,442,13.8,1185,37,1155,36.1,0.9,24.84,191,6,601,18.8,2095,65.5,2131,66.6,-1.1
276,St. John's (NY),277,40.6,1865,32,25,454,714,63.6,632,32.6,37,418,13.1,491,15.3,1142,35.7,1263,39.5,-3.8,24.91,202,6.3,683,21.3,2174,67.9,2472,77.3,-9.3
277,Stanford,278,42.6,1653,30,50,508,743,68.4,538,32,36.4,nan,nan,355,11.8,1024,34.1,1050,35,-0.9,23.2,203,6.8,600,20,2088,69.6,2111,70.4,-0.8
278,Stetson,279,45.2,2126,34,35.3,523,725,72.1,775,36.4,34.5,519,15.3,418,12.3,1215,35.7,1366,40.2,-4.4,26,214,6.3,614,18.1,2729,80.3,2807,82.6,-2.3
279,Stony Brook,280,47.6,1917,32,81.3,415,618,67.2,584,37.2,32.7,531,16.6,365,11.4,1266,39.6,1014,31.7,7.9,27.03,198,6.2,509,15.9,2458,76.8,2030,63.4,13.4
280,Syracuse,281,42.7,1796,32,59.4,435,637,68.3,776,36.1,30.4,450,14.1,388,12.1,1137,35.5,1182,36.9,-1.4,23.72,259,8.1,530,16.6,2247,70.2,2103,65.7,4.5
281,TCU,282,40.6,1810,33,36.4,554,826,67.1,558,33.5,34.8,382,11.6,478,14.5,1113,33.7,1204,36.5,-2.8,22.97,213,6.5,677,20.5,2209,66.9,2359,71.5,-4.5
282,Temple,283,40.5,1957,32,65.6,362,529,68.4,739,34,31.4,433,13.5,293,9.2,1176,36.8,1224,38.3,-1.5,25.56,171,5.3,516,16.1,2197,68.7,2158,67.4,1.2
283,Tennessee,284,42.1,2116,34,44.1,523,721,72.5,767,32.7,34.2,458,13.5,380,11.2,1292,38,1361,40,-2,25.41,180,5.3,662,19.5,2554,75.1,2556,75.2,-0.1
284,Tennessee St.,285,45.5,1691,30,66.7,495,711,69.6,495,32.9,35.6,316,10.5,408,13.6,1115,37.2,1017,33.9,3.3,25.83,231,7.7,622,20.7,2198,73.3,2056,68.5,4.7
285,Tennessee Tech,286,45.9,1681,30,63.3,556,749,74.2,710,36.5,36.4,432,14.4,375,12.5,1076,35.9,1083,36.1,-0.2,26.37,158,5.3,584,19.5,2357,78.6,2265,75.5,3.1
286,Texas,287,43.2,1828,32,62.5,482,725,66.5,658,33.9,34.3,0,0,332,10.4,1105,34.5,1151,36,-1.4,23.53,165,5.2,664,20.8,2283,71.3,2178,68.1,3.3
287,Texas A&M,288,44.9,2016,34,76.5,508,755,67.3,745,35,32.9,574,16.9,401,11.8,1323,38.9,1191,35,3.9,26.09,235,6.9,615,18.1,2581,75.9,2228,65.5,10.4
288,Texas Southern,289,45.8,1788,32,56.3,473,752,62.9,642,34.1,33.4,458,14.3,426,13.3,1208,37.8,1044,32.6,5.1,25.41,143,4.5,483,15.1,2330,72.8,2245,70.2,2.7
289,Texas St.,290,42.9,1693,31,48.4,443,658,67.3,459,32.5,34.6,366,11.8,370,11.9,1065,34.4,1061,34.2,0.1,23.52,190,6.1,576,18.6,2046,66,1993,64.3,1.7
290,Texas Tech,291,44.7,1700,31,61.3,546,732,74.6,517,34.4,35.2,404,13,371,12,1059,34.2,1045,33.7,0.5,23.84,182,5.9,573,18.5,2244,72.4,2165,69.8,2.5
291,The Citadel,292,41.7,2249,32,31.3,514,705,72.9,1123,32.3,35,498,15.6,441,13.8,1157,36.2,1441,45,-8.9,23.53,285,8.9,771,24.1,2753,86,2962,92.6,-6.5
292,Toledo,293,46,1881,32,53.1,489,655,74.7,722,36.4,38.6,nan,nan,373,11.7,1161,36.3,1065,33.3,3,26.72,167,5.2,552,17.3,2482,77.6,2286,71.4,6.1
293,Towson,294,42.7,1825,32,62.5,550,810,67.9,553,32.2,34.3,361,11.3,392,12.3,1257,39.3,1022,31.9,7.3,24.88,199,6.2,653,20.4,2286,71.4,2137,66.8,4.7
294,Troy,295,40.7,1816,31,29,457,713,64.1,674,30.9,35.5,nan,nan,376,12.1,1132,36.5,1200,38.7,-2.2,25.26,185,6,582,18.8,2145,69.2,2329,75.1,-5.9
295,Tulane,296,39.7,2021,34,35.3,420,621,67.6,719,30,35.3,nan,nan,451,13.3,1266,37.2,1264,37.2,0.1,25.03,218,6.4,649,19.1,2240,65.9,2398,70.5,-4.6
296,Tulsa,297,44.4,1793,31,64.5,486,717,67.8,656,32.9,36.3,425,13.7,335,10.8,1086,35,1146,37,-1.9,24.94,211,6.8,549,17.7,2294,74,2160,69.7,4.3
297,UAB,298,47.9,1911,32,81.3,457,637,71.7,643,37,32.3,591,18.5,400,12.5,1231,38.5,1104,34.5,4,27.25,207,6.5,568,17.8,2527,79,2226,69.6,9.4
298,UC Davis,299,43.3,1608,30,36.7,356,557,63.9,463,35.4,31,342,11.4,427,14.2,1034,34.5,1058,35.3,-0.8,25.93,186,6.2,532,17.7,1914,63.8,1980,66,-2.2
299,UC Irvine,300,46,1876,34,73.5,480,702,68.4,569,37.1,34,518,15.2,417,12.3,1251,36.8,1174,34.5,2.3,27.15,189,5.6,628,18.5,2417,71.1,2240,65.9,5.2
300,UC Riverside,301,42.9,1837,33,42.4,471,669,70.4,716,35.2,34,410,12.4,433,13.1,1161,35.2,1137,34.5,0.7,25.24,170,5.2,655,19.8,2299,69.7,2300,69.7,0
301,UC Santa Barbara,302,44.4,1837,31,58.1,348,493,70.6,643,36.7,30.1,473,15.3,388,12.5,1165,37.6,1104,35.6,2,26.97,189,6.1,614,19.8,2216,71.5,2092,67.5,4
302,UCF,303,43,1664,30,40,425,619,68.7,651,31.8,32.3,nan,nan,440,14.7,1165,38.8,1089,36.3,2.5,27.87,137,4.6,468,15.6,2062,68.7,2147,71.6,-2.8
303,UCLA,304,45.4,2016,32,46.9,450,651,69.1,551,36.3,35.4,502,15.7,392,12.3,1267,39.6,1188,37.1,2.5,27.31,175,5.5,596,18.6,2480,77.5,2455,76.7,0.8
304,UConn,305,45.9,1959,34,70.6,457,581,78.7,660,36.2,32.7,471,13.9,378,11.1,1242,36.5,1164,34.2,2.3,27.06,194,5.7,612,18,2496,73.4,2145,63.1,10.3
305,UMass Lowell,306,,,,,,,,,,,nan,nan,,,,,,,,,,,,,,,,,
306,UMBC,307,44.1,1788,32,21.9,515,754,68.3,652,33.1,38,395,12.3,398,12.4,1017,31.8,1141,35.7,-3.9,23.06,223,7,640,20,2307,72.1,2579,80.6,-8.5
307,UMES,308,44.3,1715,32,31.3,459,648,70.8,610,33,35.2,403,12.6,512,16,1077,33.7,1019,31.8,1.8,23.13,188,5.9,692,21.6,2178,68.1,2399,75,-6.9
308,UMKC,309,42.9,1738,31,38.7,447,663,67.4,588,36.2,34.4,350,11.3,415,13.4,1084,35,1066,34.4,0.6,23.48,181,5.8,652,21,2152,69.4,2240,72.3,-2.8
309,UNC Asheville,310,45.8,1916,33,66.7,552,795,69.4,586,32.4,28.4,411,12.5,430,13,1247,37.8,1172,35.5,2.3,26.15,307,9.3,575,17.4,2496,75.6,2227,67.5,8.2
310,UNCG,311,44.9,1871,32,43.8,377,553,68.2,760,36.3,37.2,0,0,385,12,1098,34.3,1110,34.7,-0.4,24.75,194,6.1,641,20,2333,72.9,2357,73.7,-0.8
311,UNCW,312,45.6,1971,32,78.1,520,741,70.2,651,33.6,33.7,428,13.4,365,11.4,1203,37.6,1170,36.6,1,25.59,241,7.5,761,23.8,2535,79.2,2286,71.4,7.8
312,UNI,313,45.7,1751,34,64.7,432,574,75.3,742,37.5,32.3,406,11.9,334,9.8,1022,30.1,1156,34,-3.9,24.68,193,5.7,515,15.1,2312,68,2139,62.9,5.1
313,UNLV,314,44,2015,33,54.5,555,815,68.1,760,33.2,33,499,15.1,466,14.1,1266,38.4,1282,38.8,-0.5,27.12,266,8.1,701,21.2,2581,78.2,2427,73.5,4.7
314,USC Upstate,315,44.9,1915,32,31.3,377,592,63.7,641,34,36.6,484,15.1,449,14,1225,38.3,1171,36.6,1.7,25.25,175,5.5,623,19.5,2315,72.3,2495,78,-5.6
315,UT Arlington,316,42.4,2130,33,69.7,527,758,69.5,896,32.8,33.3,561,17,448,13.6,1447,43.8,1182,35.8,8,28.88,241,7.3,691,20.9,2627,79.6,2295,69.5,10.1
316,UT Martin,317,44.3,1879,33,57.6,476,671,70.9,746,34.3,34.1,400,12.1,406,12.3,1208,36.6,1131,34.3,2.3,25.82,191,5.8,582,17.6,2398,72.7,2338,70.8,1.8
317,Utah,318,48.9,1898,34,76.5,524,734,71.4,713,36.3,36.7,532,15.6,418,12.3,1270,37.4,1118,32.9,4.5,27.71,183,5.4,526,15.5,2639,77.6,2351,69.1,8.5
318,Utah St.,319,45.1,1779,31,51.6,413,597,69.2,695,37,34.4,454,14.6,373,12,1107,35.7,1070,34.5,1.2,25.42,170,5.5,546,17.6,2274,73.4,2217,71.5,1.8
319,Utah Valley,320,42.8,1834,30,40,454,628,72.3,729,35.1,32.6,435,14.5,399,13.3,1102,36.7,1204,40.1,-3.4,27.5,176,5.9,627,20.9,2280,76,2360,78.7,-2.7
320,UTEP,321,46.5,1926,33,57.6,539,809,66.6,618,36.1,33.7,512,15.5,417,12.6,1196,36.2,1294,39.2,-3,27.18,197,6,673,20.4,2554,77.4,2471,74.9,2.5
321,UTRGV,322,41.8,1712,30,26.7,349,520,67.1,633,33.5,34.4,459,15.3,374,12.5,1004,33.5,1235,41.2,-7.7,24.9,143,4.8,536,17.9,1993,66.4,2330,77.7,-11.2
322,UTSA,323,41.6,1915,32,15.6,505,719,70.2,691,31.8,40.8,366,11.4,435,13.6,1086,33.9,1180,36.9,-2.9,23.72,206,6.4,704,22,2317,72.4,2698,84.3,-11.9
323,Valparaiso,324,44.2,1892,32,81.3,493,681,72.4,718,36.2,33.5,444,13.9,414,12.9,1346,42.1,1030,32.2,9.9,29.03,222,6.9,640,20,2425,75.8,1991,62.2,13.6
324,Vanderbilt,325,46.1,1826,32,59.4,504,721,69.9,695,38.8,29.2,478,14.9,374,11.7,1234,38.6,1192,37.3,1.3,29.06,138,4.3,612,19.1,2456,76.8,2155,67.3,9.4
325,VCU,326,45,2116,34,70.6,472,684,69,694,35.6,33.6,488,14.4,389,11.4,1270,37.4,1179,34.7,2.7,24.85,299,8.8,665,19.6,2625,77.2,2288,67.3,9.9
326,Vermont,327,48.7,1877,34,61.8,486,689,70.5,604,38.7,36.5,460,13.5,451,13.3,1199,35.3,1110,32.6,2.6,26.24,187,5.5,659,19.4,2550,75,2397,70.5,4.5
327,Villanova,328,46.7,1936,34,85.3,516,664,77.7,847,34.4,33.5,549,16.1,378,11.1,1211,35.6,1147,33.7,1.9,26.35,229,6.7,596,17.5,2617,77,2166,63.7,13.3
328,Virginia,329,48.7,1743,33,78.8,426,565,75.4,489,40.5,34.9,473,14.3,310,9.4,1052,31.9,935,28.3,3.5,22.91,181,5.5,540,16.4,2322,70.4,1969,59.7,10.7
329,Virginia Tech,330,44.9,1822,33,57.6,634,906,70,535,35.7,31.1,402,12.2,423,12.8,1141,34.6,1184,35.9,-1.3,24.21,178,5.4,634,19.2,2461,74.6,2379,72.1,2.5
330,VMI,331,41.2,1770,30,30,360,498,72.3,783,33.6,36.4,330,11,397,13.2,994,33.1,1164,38.8,-5.7,23.47,184,6.1,586,19.5,2081,69.4,2264,75.5,-6.1
331,Wagner,332,42.7,1896,32,68.8,448,629,71.2,577,32.9,32.5,0,0,428,13.4,1284,40.1,1042,32.6,7.6,26.13,221,6.9,698,21.8,2256,70.5,2047,64,6.5
332,Wake Forest,333,44,1804,31,35.5,514,779,66,618,31.6,33.4,nan,nan,451,14.5,1186,38.3,1143,36.9,1.4,26.1,184,5.9,650,21,2295,74,2450,79,-5
333,Washington,334,42.5,2124,32,56.3,624,863,72.3,720,33.3,32.7,462,14.4,445,13.9,1275,39.8,1353,42.3,-2.4,26.03,245,7.7,769,24,2668,83.4,2553,79.8,3.6
334,Washington St.,335,45.6,1764,31,29,393,552,71.2,530,34.7,35.8,419,13.5,440,14.2,1049,33.8,1114,35.9,-2.1,25.87,156,5,614,19.8,2187,70.5,2394,77.2,-6.7
335,Weber St.,336,48.4,1831,34,76.5,548,810,67.7,768,37.4,34.5,472,13.9,451,13.3,1275,37.5,1127,33.1,4.4,28.94,169,5,598,17.6,2609,76.7,2273,66.9,9.9
336,West Virginia,337,45.2,2050,34,76.5,633,945,67,627,32.9,33.2,502,14.8,476,14,1332,39.2,1045,30.7,8.4,23.26,338,9.9,795,23.4,2693,79.2,2265,66.6,12.6
337,Western Caro.,338,43,1922,33,48.5,517,736,70.2,706,33.1,34.1,0,0,475,14.4,1200,36.4,1187,36,0.4,24.58,265,8,677,20.5,2405,72.9,2411,73.1,-0.2
338,Western Ill.,339,44.4,1521,27,37,362,502,72.1,490,38.8,37.1,361,13.4,332,12.3,948,35.1,943,34.9,0.2,26.48,163,6,555,20.6,1904,70.5,1914,70.9,-0.4
339,Western Ky.,340,47,1970,34,52.9,537,768,69.9,644,36.2,37.7,463,13.6,450,13.2,1312,38.6,1128,33.2,5.4,26.68,151,4.4,611,18,2620,77.1,2586,76.1,1
340,Western Mich.,341,43.1,1824,32,40.6,573,805,71.2,569,34.6,35.1,382,11.9,401,12.5,1190,37.2,1094,34.2,3,25.97,183,5.7,633,19.8,2342,73.2,2352,73.5,-0.3
341,Wichita St.,342,43.4,1846,32,75,507,710,71.4,710,33,32.4,459,14.3,318,9.9,1199,37.5,1051,32.8,4.6,25.81,231,7.2,646,20.2,2343,73.2,1896,59.3,14
342,William & Mary,343,48,1755,31,64.5,457,636,71.9,653,36.9,32.7,501,16.2,331,10.7,1135,36.6,1068,34.5,2.2,28.29,171,5.5,512,16.5,2384,76.9,2205,71.1,5.8
343,Winthrop,344,47.6,1869,32,71.9,566,756,74.9,768,37.1,33.8,378,11.8,403,12.6,1160,36.3,1201,37.5,-1.3,27.16,174,5.4,603,18.8,2631,82.2,2429,75.9,6.3
344,Wisconsin,345,43,1748,32,62.5,491,694,70.7,590,35.8,37.9,371,11.6,351,11,1117,34.9,1017,31.8,3.1,23.47,188,5.9,542,16.9,2204,68.9,2066,64.6,4.3
345,Wofford,346,44.7,1726,32,46.9,484,645,75,662,40.8,35.3,470,14.7,378,11.8,1015,31.7,1005,31.4,0.3,23.16,163,5.1,609,19,2296,71.8,2295,71.7,0
346,Wright St.,347,44.7,1916,35,62.9,431,621,69.4,687,37.3,32.9,478,13.7,397,11.3,1094,31.3,1215,34.7,-3.5,24.63,193,5.5,770,22,2399,68.5,2303,65.8,2.7
347,Wyoming,348,43.9,1570,31,41.9,508,710,71.5,829,37,35.2,372,12,346,11.2,943,30.4,1148,37,-6.6,24.77,126,4.1,581,18.7,2193,70.7,2240,72.3,-1.5
348,Xavier,349,45.2,1938,32,84.4,608,832,73.1,672,36.2,31.5,524,16.4,408,12.8,1312,41,1072,33.5,7.5,27.94,234,7.3,646,20.2,2603,81.3,2273,71,10.3
349,Yale,350,47.1,1580,28,78.6,436,657,66.4,484,37.4,31.6,425,15.2,374,13.4,1131,40.4,821,29.3,11.1,26.86,162,5.8,496,17.7,2105,75.2,1768,63.1,12
350,Youngstown St.,351,43,2021,32,34.4,440,619,71.1,704,36.5,33.9,467,14.6,387,12.1,1080,33.8,1336,41.8,-8,24.91,219,6.8,571,17.8,2437,76.2,2682,83.8,-7.7
