,Team name,Team ID,FG%,FGA,Games,Win %,FT,FTA,FT%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DRPG,ST,STPG,Fouls,PFPG,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
160,Massachusetts,161,42.9,1903,32,43.8,485,694,69.9,709,33,31.3,443,13.8,409,12.8,1141,35.7,1242,38.8,-3.2,26.06,207,6.5,668,20.9,2353,73.5,2427,75.8,-2.3
161,McNeese,162,41,1752,29,31,440,629,70,617,33.2,37.4,331,11.4,370,12.8,1045,36,1164,40.1,-4.1,24.97,171,5.9,583,20.1,2083,71.8,2301,79.3,-7.5
162,Memphis,163,41.3,2124,34,55.9,643,890,72.2,635,32.4,30.5,510,15,413,12.1,1375,40.4,1304,38.4,2.1,27.62,261,7.7,681,20,2603,76.6,2390,70.3,6.3
163,Mercer,164,44.8,1897,33,57.6,485,668,72.6,590,34.9,35.6,491,14.9,417,12.6,1324,40.1,1034,31.3,8.8,27.3,167,5.1,574,17.4,2389,72.4,2274,68.9,3.5
164,Miami (FL),165,47.7,1756,32,78.1,527,702,75.1,599,36.6,33.6,410,12.8,341,10.7,1112,34.8,1038,32.4,2.3,25.06,194,6.1,530,16.6,2420,75.6,2138,66.8,8.8
165,Miami (OH),166,40.3,1782,33,39.4,471,646,72.9,582,30.6,35.8,336,10.2,402,12.2,1067,32.3,1160,35.2,-2.8,22.45,218,6.6,619,18.8,2087,63.2,2249,68.2,-4.9
166,Michigan,167,46.6,1926,34,64.7,404,548,73.7,849,38.4,34.5,509,15,333,9.8,1089,32,1122,33,-1,24.18,188,5.5,530,15.6,2526,74.3,2294,67.5,6.8
167,Michigan St.,168,48.4,2024,34,85.3,444,608,73,715,43.4,30.2,699,20.6,402,11.8,1424,41.9,1027,30.2,11.7,29.56,150,4.4,649,19.1,2712,79.8,2155,63.4,16.4
168,Middle Tenn.,169,45.1,1902,33,72.7,425,689,61.7,673,38.6,34.4,0,0,399,12.1,1220,37,1146,34.7,2.2,26.64,205,6.2,674,20.4,2399,72.7,2254,68.3,4.4
169,Milwaukee,170,45.6,1927,33,60.6,554,718,77.2,842,36.3,38.1,566,17.2,362,11,1195,36.2,1117,33.8,2.4,26.48,149,4.5,562,17,2618,79.3,2391,72.5,6.9
170,Minnesota,171,40.5,1786,31,25.8,469,663,70.7,617,31,38.1,379,12.2,354,11.4,1068,34.5,1170,37.7,-3.3,24.45,170,5.5,566,18.3,2108,68,2294,74,-6
171,Mississippi St.,172,45.6,1862,31,45.2,398,549,72.5,674,33.4,34.3,431,13.9,393,12.7,1094,35.3,1145,36.9,-1.6,24.81,202,6.5,597,19.3,2323,74.9,2256,72.8,2.2
172,Mississippi Val.,173,38.4,2081,34,20.6,436,638,68.3,578,29.8,30.5,359,10.6,449,13.2,1209,35.6,1448,42.6,-7,24.53,236,6.9,654,19.2,2206,64.9,2631,77.4,-12.5
173,Missouri,174,42.2,1736,31,32.3,487,688,70.8,565,31,33.6,363,11.7,386,12.5,1109,35.8,1152,37.2,-1.4,26.26,169,5.5,637,20.5,2126,68.6,2262,73,-4.4
174,Missouri St.,175,41.4,1817,32,40.6,481,713,67.5,532,31.6,36.6,390,12.2,409,12.8,1135,35.5,1158,36.2,-0.7,25.06,199,6.2,622,19.4,2153,67.3,2321,72.5,-5.3
175,Monmouth,176,43.6,2074,34,79.4,623,813,76.6,722,37,31.1,417,12.3,426,12.5,1320,38.8,1333,39.2,-0.4,28.06,283,8.3,721,21.2,2700,79.4,2437,71.7,7.7
176,Montana,177,46.4,1750,32,65.6,452,651,69.4,658,36.8,31.8,431,13.5,394,12.3,1109,34.7,1014,31.7,3,25.34,169,5.3,693,21.7,2318,72.4,2146,67.1,5.4
177,Montana St.,178,43.4,1916,31,45.2,410,598,68.6,797,37.3,36.7,392,12.6,375,12.1,1159,37.4,1087,35.1,2.3,24.68,149,4.8,683,22,2369,76.4,2411,77.8,-1.4
178,Morehead St.,179,43.9,1826,31,61.3,455,657,69.3,496,37.5,35.4,0,0,397,12.8,1153,37.2,982,31.7,5.5,22.45,246,7.9,710,22.9,2243,72.4,2084,67.2,5.1
179,Morgan St.,180,39.6,1854,31,29,460,672,68.5,535,30.1,31.5,349,11.3,368,11.9,1089,35.1,1205,38.9,-3.7,22.97,188,6.1,573,18.5,2089,67.4,2223,71.7,-4.3
180,Mt. St. Mary's,181,40.1,1967,33,42.4,416,601,69.2,713,31.7,33.7,361,10.9,401,12.2,1022,31,1299,39.4,-8.4,21.33,248,7.5,655,19.8,2218,67.2,2282,69.2,-1.9
181,Murray St.,182,45.5,1694,31,54.8,444,613,72.4,621,36.4,36.2,445,14.4,367,11.8,1018,32.8,969,31.3,1.6,22.9,186,6,618,19.9,2210,71.3,2093,67.5,3.8
182,N.C. A&T,183,40.6,1836,32,31.3,480,675,71.1,633,31.4,33.9,339,10.6,439,13.7,1148,35.9,1188,37.1,-1.3,24.72,162,5.1,718,22.4,2169,67.8,2433,76,-8.3
183,N.C. Central,184,43.3,1746,31,38.7,446,669,66.7,560,34.6,34.3,400,12.9,438,14.1,1136,36.6,1075,34.7,2,24.42,183,5.9,614,19.8,2152,69.4,2169,70,-0.5
184,Navy,185,45.5,1768,33,57.6,479,748,64,469,30.1,35.4,448,13.6,430,13,1187,36,1031,31.2,4.7,24.76,188,5.7,648,19.6,2230,67.6,2135,64.7,2.9
185,NC State,186,43.3,1999,33,48.5,543,777,69.9,595,34.8,37.4,383,11.6,366,11.1,1306,39.6,1173,35.5,4,25.73,149,4.5,558,16.9,2482,75.2,2456,74.4,0.8
186,Nebraska,187,44.7,1976,34,47.1,470,644,73,634,34.7,36.6,397,11.7,401,11.8,1198,35.2,1130,33.2,2,24.15,250,7.4,657,19.3,2456,72.2,2345,69,3.3
187,Nevada,188,41.6,1966,32,59.4,586,801,73.2,567,28.7,31.6,392,12.3,424,13.3,1309,40.9,1250,39.1,1.8,28.44,232,7.3,685,21.4,2383,74.5,2287,71.5,3
188,New Hampshire,189,41.8,1824,31,61.3,478,664,72,617,32.6,34.4,367,11.8,359,11.6,1211,39.1,1045,33.7,5.4,27.52,123,4,552,17.8,2203,71.1,2164,69.8,1.3
189,New Mexico,190,46.5,1782,32,53.1,578,783,73.8,540,36.3,32.5,461,14.4,489,15.3,1173,36.7,1053,32.9,3.8,26.97,180,5.6,659,20.6,2432,76,2348,73.4,2.6
190,New Mexico St.,191,46.6,1854,33,69.7,467,691,67.6,520,33.3,33.8,0,0,455,13.8,1362,41.3,1035,31.4,9.9,29.12,136,4.1,521,15.8,2368,71.8,2087,63.2,8.5
191,New Orleans,192,41.9,1821,30,33.3,561,817,68.7,481,33.7,35.9,nan,nan,452,15.1,1136,37.9,1113,37.1,0.8,23.8,252,8.4,638,21.3,2249,75,2325,77.5,-2.5
192,Niagara,193,40.4,1820,32,21.9,431,620,69.5,589,28.2,35.7,nan,nan,461,14.4,1167,36.5,1144,35.8,0.7,24.47,165,5.2,626,19.6,2067,64.6,2304,72,-7.4
193,Nicholls St.,194,42,1875,34,32.4,512,782,65.5,694,30.5,34.6,433,12.7,534,15.7,1144,33.6,1345,39.6,-5.9,24.38,229,6.7,689,20.3,2298,67.6,2598,76.4,-8.8
194,NJIT,195,44.4,1811,31,54.8,465,626,74.3,768,34.6,35.3,488,15.7,402,13,1077,34.7,1127,36.4,-1.6,25.1,207,6.7,611,19.7,2339,75.5,2310,74.5,0.9
195,Norfolk St.,196,42.6,1858,33,51.5,616,795,77.5,679,35.3,36.8,401,12.2,412,12.5,1146,34.7,1168,35.4,-0.7,23.73,187,5.7,703,21.3,2440,73.9,2408,73,1
196,North Carolina,197,47.9,2187,34,82.4,520,705,73.8,583,31.4,36,616,18.1,371,10.9,1393,41,1112,32.7,8.3,26.94,234,6.9,609,17.9,2797,82.3,2363,69.5,12.8
197,North Dakota,198,45.6,1862,32,53.1,499,732,68.2,536,35.6,34.3,423,13.2,423,13.2,1173,36.7,1152,36,0.7,27.78,251,7.8,674,21.1,2388,74.6,2277,71.2,3.5
198,North Dakota St.,199,44.5,1788,32,62.5,410,604,67.9,618,34,32.2,345,10.8,339,10.6,1123,35.1,1075,33.6,1.5,25.78,196,6.1,507,15.8,2212,69.1,2062,64.4,4.7
199,North Florida,200,48.6,2010,33,66.7,443,611,72.5,977,41.1,32.8,547,16.6,362,11,1135,34.4,1277,38.7,-4.3,25.7,173,5.2,538,16.3,2797,84.8,2607,79,5.8
200,North Texas,201,45.2,1838,32,37.5,539,838,64.3,567,33,36,362,11.3,443,13.8,1158,36.2,1179,36.8,-0.7,24.88,210,6.6,686,21.4,2386,74.6,2505,78.3,-3.7
